conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
julia| I think that Laura should do the invitations as she is super creative in that way| [person:julia f 0-0][person:laura f 3-3][person:laura f 9-9]
jen| Agreed I would give Alice the appetizer responsibility She is a foodie and knows what people like| [person:jen f 1-1][person:alice f 4-4][person:alice f 8-8]
julia| Perfect That leaves something for Amy I guess that she can help you decorate I have the main meal planned out so I ll coordinate that with Alice so the food works together| [person:amy f 5-5][person:julia f 6-6][person:amy f 9-9][person:jen f 12-12][person:julia f 14-14][person:julia f 22-22][person:alice f 27-27]
julia| I d say we do the Fiesta theme that we spoke about Makes the food and drinks that much easier| [person:julia f 0-0][person:we g(julia:jen) 3-3][person:we g(julia:jen) 9-9]
jen| I m with you Who doesn t love a good sangria or margarita| [person:jen f 0-0][person:julia f 3-3]
jen| I can handle the drinks Is that sufficient| [person:jen f 0-0]
julia| Yes that is good I will buy the alcohol and all the food for the main meal and apps| [person:julia f 4-4]
jen| Sounds good I ll give you some money towards it and I m sure the other girls will to It s going to be a blast| [person:jen f 2-2][person:julia f 5-5][person:jen f 11-11][person:girls g(laura:alice:amy) 16-16]
jen| Are all the regulars coming I haven t seen some of them in a long time| [person:jen f 5-5][person:them g(laura:alice:amy) 11-11]
julia| Yup everyone is tentatively confirmed It will be a good time| [person:them g() 1-1]

conv:people_2019081902_15:aug_0:chat_0:chataug_0| helen rebecca| [person:helen f 0-0][person:rebecca f 1-1]
rebecca| Hi Hele|
rebecca| How are you| [person:helen f 2-2]
helen| Hi Rebecca I am good How are you| [person:rebecca f 1-1][person:helen f 2-2][person:rebecca f 7-7]
rebecca| I am good too Actually I am planning to visit Las Vegas And I was thinking meeting you Abigail Jason and Ben What do you think| [person:rebecca f 0-0][person:rebecca f 5-5][person:rebecca f 13-13][person:helen f 17-17][person:abigail f 18-18][person:jason m 19-19][person:helen f 24-24]
helen| That sounds great I will inform the others They will be excited too It has been a long time since we got together| [person:helen f 3-3][person:others g(abigail:jason) 7-7][person:others g(abigail:jason) 8-8][person:helen___rebecca g(rebecca:helen) 20-20]
helen| So Where do you want to meet us| [person:rebecca f 3-3][person:us g(helen:abigail:jason) 7-7]
rebecca| I was hoping as you live there You can suggest me some place which is near to everyone s home| [person:rebecca f 0-0][person:helen f 4-4][location:las_vegas s 6-6][person:helen f 7-7][person:rebecca f 10-10][location:place s 12-12][person:others g(abigail:jason) 17-17]
helen| I am sure noone other than Jason would have a problem about the meeting place The meeting place should be near to his place Because he does not like to drive too far| [person:helen f 0-0][person:jason m 6-6][location:place s 14-14][location:place s 17-17][person:jason m 22-22][location:place s 23-23][person:jason m 25-25]
rebecca| Okay Do you have a place in mind| [person:helen f 2-2][location:place s 5-5]
helen| Yes I will send you the location soon| [person:helen f 1-1][person:rebecca f 4-4]
rebecca| Thank you so much See you soon| [person:helen f 1-1][person:helen f 5-5]
helen| Anytime my love See you| [person:helen f 1-1][person:rebecca f 4-4]

conv:people_2019081902_16:aug_0:chat_0:chataug_0| eva jackie| [person:eva f 0-0][person:jackie f 1-1]
jackie| Hi Eva How are you It looks great to see you after long time| [person:eva f 1-1][person:eva f 4-4][person:eva f 10-10]
eva| Hey I am so happy to see you here I am good How about you| [person:eva f 1-1][person:jackie f 7-7][person:eva f 9-9][person:jackie f 14-14]
jackie| Good I came here to meet all of our friends| [person:jackie f 1-1][person:our g(jackie:eva) 8-8][person:friends g() 9-9]
jackie| What about Grace Steve and Frank Where are they staying Do you know it| [person:grace f 2-2][person:steve m 3-3][person:frank m 5-5][person:they g(grace:steve:frank) 8-8][person:eva f 11-11]
eva| Yes Of course But we have to decide about a common place to meet them all as they are located in various places| [person:our g(jackie:eva) 4-4][location:place s 11-11][person:they g(grace:steve:frank) 14-14][person:they g(grace:steve:frank) 17-17][location:places g() 22-22]
jackie| Then suggest me a good place as you know it very well| [person:eva f 2-2][location:place s 5-5][person:eva f 7-7]
eva| We have to decide a place which is little nearer to Steve s place as he doesn t like to drive long| [person:our g(jackie:eva) 0-0][location:place s 5-5][person:steve m 11-11][location:place s 13-13][person:steve m 15-15]
jackie| Oh yeah I know him Okay you can check with him about the convenient place| [person:jackie f 2-2][person:steve m 4-4][person:eva f 6-6][person:steve m 10-10][location:place s 14-14]
eva| I will check with Steve and also will discuss about this with our other friends| [person:eva f 0-0][person:steve m 4-4][person:our g(jackie:eva) 12-12][person:friends g() 14-14]
jackie| That s nice and thanks for your help| [person:eva f 6-6]
eva| Always no thanks among good friends Got it| [person:friends g() 5-5]
jackie| Got it|

conv:people_2019081902_17:aug_0:chat_0:chataug_0| dorothy george| [person:dorothy f 0-0][person:george m 1-1]
dorothy| I have class Friday night so that s not a good time| [person:dorothy f 0-0]
george| Saturday morning I m coaching a game How about Sunday morning for brunch| [person:george m 2-2]
dorothy| Sounds wonderful I have some new recipes that I have been waiting to try| [person:dorothy f 2-2][person:dorothy f 8-8]
dorothy| Wait We have that church meeting on Sunday remember| [person:we g(dorothy:george) 1-1][location:church s 4-4]
george| Oh yeah I forgot about that| [person:george m 2-2]
dorothy| We should just wait until next Saturday and have the Smiths and Robinsons over for brunch| [person:we g(dorothy:george) 0-0][person:smiths g() 10-10][person:robinsons g() 12-12]
george| Yeah sounds good I m free next weekend| [person:george m 3-3]
dorothy| So brunch next Saturday morning it is|
george| Yes I ll tell the Smiths and you tell the Robinsons since you work with them| [person:george m 1-1][person:smiths g() 5-5][person:dorothy f 7-7][person:robinsons g() 10-10][person:dorothy f 12-12][person:robinsons g() 15-15]
dorothy| Okay great I ll tell them tomorrow| [person:dorothy f 2-2][person:robinsons g() 5-5]
george| I ll call the Smiths up and invite them now| [person:george m 0-0][person:smiths g() 4-4][person:smiths g() 8-8]

conv:people_2019081902_22:aug_0:chat_0:chataug_0| april natalie| [person:april f 0-0][person:natalie f 1-1]
april| Hey are you going to dinner with Teresa and Rose tonight too| [person:natalie f 2-2][person:teresa f 7-7][person:rose f 9-9]
natalie| Yes I ll be there| [person:natalie f 1-1]
april| I m wondering where we should go for drinks beforehand| [person:april f 0-0][person:we g(april:natalie:teresa:rose) 4-4]
natalie| I know Teresa and Rose like wine bars| [person:natalie f 0-0][person:teresa f 2-2][person:rose f 4-4][location:bars g() 7-7]
april| Yeah I like beer but I d be willing to do wine to make everyone happy| [person:april f 1-1][person:april f 5-5][person:we g(april:natalie:teresa:rose) 14-14]
natalie| Me too Do you know any place that is convenient for everyone| [person:natalie f 0-0][person:april f 3-3][location:place s 6-6][person:we g(april:natalie:teresa:rose) 11-11]
april| We should find some place that is right in the middle of where we live and where they live| [person:we g(april:natalie) 0-0][person:we g(april:natalie) 13-13][person:they g(teresa:rose) 17-17]
natalie| Yeah how about the Luxe Wine Bar Isn t that in the middle| [location:luxe_wine_bar s 4-6][location:luxe_wine_bar s 6-6]
april| It is I ll let them know to meet us there at 6| [location:luxe_wine_bar s 0-0][person:april f 2-2][person:they g(teresa:rose) 5-5][person:we g(april:natalie) 9-9][location:luxe_wine_bar s 10-10]
natalie| Can we do 7 instead I have something else at 6| [person:we g(april:natalie) 1-1][person:natalie f 5-5]
april| I ll ask them and get back to you You could always meet us later if need be| [person:april f 0-0][person:they g(teresa:rose) 3-3][person:natalie f 8-8][person:natalie f 9-9][person:us g(april:teresa:rose) 13-13]

conv:people_2019081902_23:aug_0:chat_0:chataug_0| laura rachel| [person:laura f 0-0][person:rachel f 1-1]
rachel| Laura when we are goint to Wilboroghs| [person:laura f 0-0][person:we g(rachel:laura) 2-2][person:wilboroghs g() 6-6]
laura| Oh I have forgotten it Ok we shall push off at 5 o clock| [person:laura f 1-1][person:we g(rachel:laura) 6-6]
rachel| But Laura we cannot go with empty hands no| [person:laura f 1-1][person:we g(rachel:laura) 2-2]
laura| you are right what will be buy for them| [person:rachel f 0-0][person:wilboroghs g() 8-8]
rachel| I think we can buy some carrot cake They like it| [person:rachel f 0-0][person:we g(rachel:laura) 2-2][person:wilboroghs g() 8-8]
laura| Thats ok but we should get some toffees for Ethan| [person:we g(rachel:laura) 3-3][person:ethan m 9-9]
rachel| Right he likes that Anything else we should by| [person:ethan m 1-1][person:we g(rachel:laura) 6-6]
laura| I think thats enough Can you buy it| [person:laura f 0-0][person:rachel f 5-5]
rachel| No Laura I am busy with some works Can you please get it| [person:laura f 1-1][person:rachel f 2-2][person:laura f 9-9]
laura| Ok I shall then go to supermarket now to get it| [person:laura f 1-1]
rachel| Great we shall meet in the evening| [person:we g(rachel:laura) 1-1]

conv:people_2019081902_25:aug_0:chat_0:chataug_0| shawn walter| [person:shawn m 0-0][person:walter m 1-1]
walter| Hi Shawn how are you What are you doing| [person:shawn m 1-1][person:shawn m 4-4][person:shawn m 7-7]
shawn| Hi Walter I am fine thanks And you I m reading a book| [person:walter m 1-1][person:shawn m 2-2][person:walter m 7-7][person:shawn m 8-8]
walter| All right I thought I was going to watch a movie Do you want to come with me| [person:walter m 2-2][person:walter m 4-4][person:shawn m 12-12][person:walter m 17-17]
walter| We could also invite Christopher and Virginia| [person:we g(walter:shawn) 0-0][person:christopher m 4-4][person:virginia f 6-6]
shawn| Good idea It s OK for me When| [person:shawn m 6-6]
walter| I am free in the next few days you are on vacation Are your friends free| [person:walter m 0-0][person:shawn m 8-8][person:shawn m 13-13][person:friends g(christopher:virginia) 14-14]
shawn| Virgina will work until Wednesday Christopher will go on vacation from Tuesday| [person:christopher m 5-5]
walter| Good so Thursday night could be good What do you think about it| [person:shawn m 9-9]
shawn| Yes I guess that s fine Book the 7pm show| [person:shawn m 1-1]
walter| Okay I book the seats You invite your friends See you soon| [person:walter m 1-1][person:shawn m 5-5][person:shawn m 7-7][person:friends g(christopher:virginia) 8-8][person:shawn m 10-10]
shawn| Perfect I ll let you know Thank you see you soon| [person:shawn m 1-1][person:walter m 4-4][person:walter m 7-7][person:walter m 9-9]

conv:people_2019081902_27:aug_0:chat_0:chataug_0| andrea christina| [person:andrea f 0-0][person:christina f 1-1]
christina| Hi Andrea Can we talk about dinner| [person:andrea f 1-1][person:we g(christina:andrea) 3-3]
andrea| Sure I have time right now to talk| [person:andrea f 1-1]
christina| Do you know what Margaret Doris and Helen like to eat| [person:christina f 1-1][person:margaret f 4-4][person:doris f 5-5][person:helen f 7-7]
andrea| Margart and Helen like Mexican food I m trying to remember what Doris likes| [person:helen f 2-2][person:andrea f 6-6][person:doris f 12-12]
christina| They do I know how to cook several Mexican dishes| [person:they g(margaret:doris:helen) 0-0][person:christina f 2-2]
andrea| I recall now she likes Italian| [person:andrea f 0-0][person:doris f 3-3]
christina| So they like Mexican food and she likes Italian food Well let me think| [person:they g(margaret:doris:helen) 1-1][person:doris f 6-6][person:christina f 12-12]
andrea| Should we serve both| [person:we g(christina:andrea) 1-1]
christina| What if we combine them Fusion cooking I could make a Mexican pasta bake| [person:we g(christina:andrea) 2-2][person:christina f 7-7]
andrea| It sounds like a great idea|

conv:people_2019081902_30:aug_0:chat_0:chataug_0| jordan marilyn| [person:jordan m 0-0][person:marilyn f 1-1]
jordan| Are you excited| [person:marilyn f 1-1]
marilyn| About what|
jordan| Ashley Sophia Carl and Raphael are coming to visit us| [person:ashley f 0-0][person:sophia f 1-1][person:carl m 2-2][person:us g(jordan:marilyn) 9-9]
marilyn| I am not exactly excited More like worried| [person:marilyn f 0-0]
jordan| What are you worrying about I thought you liked them| [person:marilyn f 2-2][person:jordan m 5-5][person:marilyn f 7-7][person:them g(ashley:sophia:carl) 9-9]
marilyn| Don t get me wrong I really do| [person:marilyn f 3-3][person:marilyn f 5-5]
