conv:chats_1126_306:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
george| That s a good idea We can also invite Mary and Joseph it will be fun| [person:we g(alex:george) 5-5][person:mary f 9-9][person:joseph m 11-11]
alex| Now I am even more excited as I get to see Mary| [person:alex m 1-1][person:alex m 7-7][person:mary f 11-11]
george| Where do you want to go We should make sure that Mary and Joseph like the place too| [person:alex m 2-2][person:we g(alex:george) 6-6][person:mary f 11-11][person:joseph m 13-13][location:place s 16-16]
alex| We shall go to the same place we went to last time I am sure both of them will like it| [person:we g(alex:george) 0-0][location:place s 6-6][person:we g(alex:george) 7-7][person:alex m 12-12][person:them g(mary:joseph) 17-17]
george| I think we should a new place this time How about the mall that just opened on 7th Avenue| [person:george m 0-0][person:we g(alex:george) 2-2][location:place s 6-6][location:mall s 12-12]
alex| It is too far how about the one on 15th street| [location:street s 10-10]
george| Alright let s go with your choice| [person:alex m 5-5]
alex| I ll talk to Joseph and Mary and let you now what they say| [person:alex m 0-0][person:joseph m 4-4][person:mary f 6-6][person:george m 9-9][person:them g(mary:joseph) 12-12]
george| Okay I m so excited for the weekend| [person:george m 1-1]

conv:chats_1126_334:aug_0:chat_0:chataug_0| ethan mellisa| [person:ethan m 0-0][person:mellisa f 1-1]
ethan| Hey Melissa Garry had a hard time at the water park today| [person:mellisa f 1-1][person:garry m 2-2][location:park s 10-10]
mellisa| Hi Ethan really what did he do| [person:ethan m 1-1][person:garry m 5-5]
ethan| He was denied entry on a ride due to his height He felt bad about it| [person:garry m 0-0][person:garry m 9-9][person:garry m 11-11]
mellisa| Hmmmm that s ok Try to take him to other rides| [person:garry m 7-7]
ethan| I tried talking to the guy to see if he would allow Not sure decent people exist in this town anymore| [person:ethan m 0-0][person:garry m 9-9][location:town s 19-19]
mellisa| Is it we have no option right at present| [person:we g(ethan:mellisa:garry) 2-2]
ethan| Sure looks like it You ve got any ideas to cheer up the kids and make them forget the incident| [person:mellisa f 4-4][person:kids g() 13-13][person:kids g() 16-16]
mellisa| Buy them any candy s and some toys which will be useful to them at home| [person:kids g() 1-1][person:kids g() 13-13][location:home s 15-15]
ethan| I ll try that Will see what happens and let you know| [person:ethan m 0-0][person:mellisa f 10-10]
mellisa| OK i hope they enjoyed their time at park| [person:mellisa f 1-1][person:kids g() 3-3][person:kids g() 5-5][location:park s 8-8]

conv:chats_1126_335:aug_0:chat_0:chataug_0| leslie megan| [person:leslie f 0-0][person:megan f 1-1]
leslie| Hi Megan Do you remember what happened in the last tennis match| [person:megan f 1-1][person:megan f 3-3]
megan| Hey Leslie Are you talking about Kate and Jasmine| [person:leslie f 1-1][person:leslie f 3-3][person:kate f 6-6][person:jasmine f 8-8]
leslie| Yes I want to take my revenge on them for beating us| [person:leslie f 1-1][person:leslie f 5-5][person:kate_and_jasmine g(kate:jasmine) 8-8][person:leslie_and_megan g(leslie:megan) 11-11]
megan| Last time we lost to them because we were overconfident| [person:leslie_and_megan g(leslie:megan) 2-2][person:kate_and_jasmine g(kate:jasmine) 5-5][person:leslie_and_megan g(leslie:megan) 7-7]
leslie| That is true Let s plan our strategies this time| [person:leslie_and_megan g(leslie:megan) 6-6]
megan| Let s focus on their weakness and try to beat them this time| [person:kate_and_jasmine g(kate:jasmine) 4-4][person:kate_and_jasmine g(kate:jasmine) 10-10]
leslie| Kate always goes for cross court shots Now that we know this we can use it to our advantage| [person:kate f 0-0][person:leslie_and_megan g(leslie:megan) 9-9][person:leslie_and_megan g(leslie:megan) 12-12][person:leslie_and_megan g(leslie:megan) 17-17]
megan| That is a good observation Leslie this will surely give us an edge| [person:leslie f 5-5][person:leslie_and_megan g(leslie:megan) 10-10]
leslie| Also we will practice a lot for our match| [person:leslie_and_megan g(leslie:megan) 1-1][person:leslie_and_megan g(leslie:megan) 7-7]
megan| Alright see you at the usual time for practice| [person:leslie f 2-2]

conv:chats_1126_336:aug_0:chat_0:chataug_0| lilly nicholas| [person:lilly f 0-0][person:nicholas m 1-1]
nicholas| Hey Lilly can you give Louis a ride home on Friday| [person:lilly f 1-1][person:lilly f 3-3][person:louis m 5-5][location:home s 8-8]
lilly| I am sorry I am busy this Friday| [person:lilly f 0-0][person:lilly f 3-3]
nicholas| Can you check with any other parent you know please| [person:lilly f 1-1][person:lilly f 6-6][person:lilly f 7-7]
lilly| Sarah has helped a couple of other parents in the past with similar needs Unfortunately she is also unavailable| [person:sarah f 0-0][person:lilly f 7-7][person:sarah f 15-15]
nicholas| What should I do now| [person:nicholas m 2-2]
lilly| I could take Louis home with me Later Daniel can drop Louis off at your house| [person:lilly f 0-0][person:louis m 3-3][location:home s 4-4][person:lilly f 6-6][person:daniel m 8-8][person:louis m 11-11][person:louis m 14-14][location:house s 15-15]
nicholas| Are you sure that s a good idea| [person:nicholas m 1-1]
lilly| Louis always has a nice time at my house I m sure he ll be okay with this| [person:louis m 0-0][person:lilly f 7-7][location:house s 8-8][person:lilly f 9-9][person:louis m 12-12]
nicholas| Alright thank you very much| [person:lilly f 2-2]
lilly| No problem Remember you owe me| [person:louis m 3-3][person:louis m 5-5]

conv:chats_1126_337:aug_0:chat_0:chataug_0| leslie rose| [person:leslie f 0-0][person:rose f 1-1]
rose| Hey Leslie I was wondering if you could join me and Cassie in a pool game| [person:leslie f 1-1][person:rose f 2-2][person:leslie f 6-6][person:rose f 9-9][person:cassie f 11-11]
leslie| Sorry Rose I m not interested| [person:rose f 1-1][person:leslie f 2-2]
rose| But it will be so much fun you should join us| [person:leslie f 7-7][person:us g(rose:cassie) 10-10]
leslie| Let me think about it| [person:leslie f 1-1]
rose| Please say yes We need an extra player| [person:us g(rose:cassie) 3-3]
leslie| Okay I ll meet you guys at the pool| [person:leslie f 1-1][person:rose f 4-4]
rose| Can you ask Macy if she wants to play too| [person:leslie f 1-1][person:macy f 3-3][person:macy f 5-5]
leslie| Macy loves pool I ll check with her| [person:macy f 0-0][person:leslie f 3-3][person:macy f 7-7]
rose| Great try to make it quick please|
leslie| Sure I ll be there in 10 min| [person:leslie f 1-1]

conv:chats_1126_338:aug_0:chat_0:chataug_0| joanna lawrence| [person:joanna f 0-0][person:lawrence m 1-1]
lawrence| Hey Joanna Getting confused in choosing donuts Marie is suggesting to go with cruller| [person:joanna f 1-1][person:marie f 7-7]
joanna| That s a nice choice I want the glazed ones with sprinkles| [person:joanna f 5-5]
lawrence| Fine Joanna Do you need anything else other than this| [person:joanna f 1-1][person:joanna f 3-3]
joanna| Yes Please get one for Tim too| [person:tim m 5-5]
lawrence| Alright Do you have any idea about getting cheese cakes You promised me that you will suggest me the best shop| [location:alright_ s 0-0][person:joanna f 2-2][person:joanna f 10-10][person:lawrence m 12-12][person:joanna f 14-14][person:lawrence m 17-17][location:shop s 20-20]
joanna| You could go to the new shop on 9th Street You can also ask Marie for recommendations Her suggestions are always great| [person:lawrence m 0-0][location:shop s 6-6][location:street s 9-9][person:lawrence m 10-10][person:marie f 14-14][person:marie f 17-17]
lawrence| Great I will speak to her Meanwhile ask Tim about his toppings in the pizza| [person:lawrence m 1-1][person:marie f 5-5][person:tim m 8-8][person:tim m 10-10]
joanna| He says he wants olives onions and extra cheese| [person:tim m 0-0][person:tim m 2-2]
lawrence| Good I ll make sure about that I hope I have got everything Will be there in 15 minutes| [person:lawrence m 1-1][person:lawrence m 7-7][person:lawrence m 9-9][location:there u 15-15]
joanna| Alright Tim and I are eagerly waiting| [person:tim m 1-1][person:joanna f 3-3]

conv:chats_1126_339:aug_0:chat_0:chataug_0| colin sally| [person:colin m 0-0][person:sally f 1-1]
colin| Hey Sally What about the plans of our reception| [person:sally f 1-1][person:our g(colin:sally) 7-7]
sally| Hey Colin We shall hand it over to the wedding planner Rose Don t worry| [person:colin m 1-1][person:we g(colin:sally) 2-2][person:rose f 11-11]
colin| Yeah That was a good idea Let us do it| [person:colin m 7-7]
sally| We should also discuss about the prices for the decorations things with her| [person:we g(colin:sally) 0-0][person:rose f 12-12]
colin| Yes I think using china for all the guest will be costly Rather we need to plan alternative arrangements in cheaper price| [person:colin m 1-1][location:china s 4-4][person:colin m 13-13]
sally| I don t think that it will be costly any ways we can find alternative arrangement| [person:sally f 0-0][person:we g(colin:sally) 11-11]
colin| Okay Then what about your opinion| [person:sally f 4-4]
sally| You just speak with Rose regarding that she can shop the items in china So she will get some discounts| [person:colin m 0-0][person:rose f 4-4][person:sally f 7-7][location:shop s 9-9][location:china s 13-13][person:rose f 15-15]
colin| Okay Also I will talk about the stage decorations and the seating alignments too| [person:colin m 2-2]
sally| Yeah That s a good idea after you spoke with her just call me| [person:colin m 7-7][person:rose f 10-10][person:sally f 13-13]

conv:chats_1126_340:aug_0:chat_0:chataug_0| abigail henry| [person:abigail f 0-0][person:henry m 1-1]
henry| Hey Abigail Where are you| [person:abigail f 1-1][person:abigail f 4-4]
abigail| Hi Henry I am on the way to our home| [person:henry m 1-1][person:abigail f 2-2][person:we g(henry:abigail) 8-8][location:home s 9-9]
henry| What do you say about our plan for the club| [person:abigail f 2-2][person:we g(henry:abigail) 5-5][location:club s 9-9]
abigail| Yeah I know How can I forget We shall invite our neighbors too| [person:abigail f 1-1][person:abigail f 5-5][person:we g(henry:abigail) 7-7][person:we g(henry:abigail) 10-10][person:neighbors g() 11-11]
henry| Yes That will be a good idea to invite our neighbors Maria and Albert| [person:we g(henry:abigail) 9-9][person:neighbors g() 10-10][person:maria f 11-11][person:albert m 13-13]
abigail| Yeah We all going to enjoy a lot I like Maria very much But I think Albert has a crush on me| [person:we g(henry:abigail:maria:albert) 1-1][person:abigail f 8-8][person:maria f 10-10][person:abigail f 14-14][person:albert m 16-16][person:abigail f 21-21]
henry| Yes I am very excited to have Albert with us Don t think in such a way he is behaving just as a friend| [person:henry m 1-1][person:albert m 7-7][person:we g(henry:abigail) 9-9][person:albert m 17-17][person:albert m 23-23]
abigail| Okay Then we shall invite them as soon as you reach home| [person:we g(henry:abigail) 2-2][person:neighbors g(maria:albert) 5-5][person:henry m 9-9][location:home s 11-11]
henry| I will be there in 5 min Then will go and invite them See you| [person:henry m 0-0][location:home s 3-3][person:neighbors g(maria:albert) 12-12][person:abigail f 14-14]
abigail| Okay I will be waiting for you Bye| [person:abigail f 1-1][person:henry m 6-6]

conv:chats_1126_343:aug_0:chat_0:chataug_0| jaime maya| [person:jaime m 0-0][person:maya f 1-1]
jaime| Hey Maya what do you think about a surprise birthday party Pat| [person:maya f 1-1][person:maya f 4-4][person:pat m 11-11]
maya| That is a great idea What do you have in mind| [person:jaime m 7-7]
jaime| First thing is inviting people to the party|
maya| Pat would want all of his friends to be there| [person:pat m 0-0][person:pat m 5-5][person:friends g() 6-6][location:there s 9-9]
jaime| But Randy was so out of control in last two parties I think we should not invite him| [person:randy m 1-1][person:jaime m 11-11][person:we g(jaime:maya) 13-13][person:randy m 17-17]
maya| But what will Pat think about it| [person:pat m 3-3]
jaime| We will convince him after the party| [person:we g(jaime:maya) 0-0][person:pat m 3-3]
maya| You re right we want this party to go smoothly| [person:jaime m 0-0][person:we g(jaime:maya) 3-3]
jaime| This will be the best party ever|
maya| I m so excited for the party| [person:maya f 0-0]

conv:chats_1126_346:aug_0:chat_0:chataug_0| javier logan| [person:javier m 0-0][person:logan m 1-1]
javier| Hi Logan What do you feel about coach Liam s decision| [person:logan m 1-1][person:logan m 4-4][person:liam m 8-8]
logan| Hi I can t believe that he made us second string| [person:logan m 1-1][person:liam m 6-6][person:us g(javier:logan) 8-8]
javier| Exactly It is unbelievable We did good in the practice match| [person:us g(javier:logan) 4-4]
