conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
lance| Or we can invite them to just stay in and watch SATC| [person:we g(lance:macy) 1-1][person:them g(kevin:bonnie) 4-4]
macy| That s what they do every night| [person:they g(kevin:bonnie) 3-3]
lance| LOL What have we gotten ourselves into| [person:we g(lance:macy) 3-3]
macy| There is no way out We must take them to a chick flick Or they ll make us come over and watch SATC with them| [person:we g(lance:macy) 5-5][person:them g(kevin:bonnie) 8-8][person:they g(kevin:bonnie) 14-14][person:us g(lance:macy) 17-17][person:them g(kevin:bonnie) 24-24]

conv:people_1011_1528_78:aug_0:chat_0:chataug_0| juan nick| [person:juan m 0-0][person:nick m 1-1]
juan| Hey Nick excited to go to Cheryl and Donald s wedding| [person:nick m 1-1][person:cheryl f 6-6][person:donald m 8-8]
nick| Yeah totally It s going to be a blast|
juan| Have you decided what you re going to get them| [person:nick m 1-1][person:nick m 4-4][person:them g(cheryl:donald) 9-9]
nick| I was just thinking about that I have no idea| [person:nick m 0-0][person:nick m 6-6]
juan| Well they do have a registry I ve been looking at that| [person:they g(cheryl:donald) 1-1][person:juan m 6-6]
nick| I looked at that all day too but I still don t know| [person:nick m 0-0][person:nick m 8-8]
juan| Donald really loves cooking but someone got him the pot he wants| [person:donald m 0-0][person:someone u 5-5][person:donald m 7-7][person:donald m 10-10]
nick| Yeah and Cheryl really likes decorating but that nice rug was paid for also| [person:cheryl f 2-2]
juan| Maybe we should just get them anything on the registry| [person:we g(juan:nick) 1-1][person:them g(cheryl:donald) 5-5]
nick| Yeah I mean everything on there is something they want right| [person:nick m 1-1][person:they g(cheryl:donald) 8-8]
juan| Yeah I think let s get them whatever is left| [person:juan m 1-1][person:them g(cheryl:donald) 6-6]
nick| Okay good idea|

conv:people_1011_1528_79:aug_0:chat_0:chataug_0| megan monica| [person:megan f 0-0][person:monica f 1-1]
monica| Hi Megan I really need your help| [person:megan f 1-1][person:monica f 2-2][person:megan f 5-5]
megan| Why What is the matter Is something wrong with you| [person:monica f 9-9]
monica| No its just that Garry the guy I met at speed dating is asking me out for a second date| [person:garry m 4-4][person:monica f 7-7][person:monica f 14-14]
megan| Wow Isn t that great then What is the issue with you| [person:monica f 11-11]
monica| I am afraid that it will be awkward for the both of us like what happened the other time| [person:monica f 0-0][person:us g(monica:garry) 12-12]
monica| Could you possibly invite Stephan along and tag along with us| [person:megan f 1-1][person:stephan m 4-4][person:us g(monica:garry) 10-10]
megan| Oh I see of course I will do anything for you my friend| [person:megan f 1-1][person:megan f 5-5][person:monica f 10-10][person:megan f 11-11][person:monica f 12-12]
megan| What would you like to do on the date then| [person:monica f 2-2]
monica| I was thinking about just having a simple dinner since all of us love eating| [person:monica f 0-0][person:us g(monica:garry:stephan) 12-12]
megan| Sure thing then I ll inform Stephan about it| [person:megan f 3-3][person:stephan m 6-6]

conv:people_1011_1528_81:aug_0:chat_0:chataug_0| eva scott| [person:eva f 0-0][person:scott m 1-1]
scott| The trash outside Karina s door is getting out of control| [person:karina f 3-3]
eva| I think i saw a rat| [person:eva f 0-0][person:eva f 2-2]
scott| Are you serious that is so gross We should say something| [person:eva f 1-1][person:we g(scott:eva) 7-7]
eva| I don t really want to be confrontational| [person:eva f 0-0]
scott| Maybe she feels unsafe going out to the bin area at night| [person:karina f 1-1]
eva| Maybe Perhaps we can offer to go with her| [person:we g(scott:eva) 2-2][person:karina f 8-8]
scott| I think we should tell her there was a rat and she won t one in her house| [person:scott m 0-0][person:we g(scott:eva) 2-2][person:karina f 5-5][location:karina_s_door s 6-6][person:karina f 11-11][person:karina f 16-16]
eva| Okay well lets go over tonight and see if she wants us to go with her| [person:karina f 9-9][person:us g(scott:eva) 11-11][person:karina f 15-15]
scott| Okay sounds good I hope it works| [person:scott m 3-3]
eva| Well we don t have many option tbh| [person:we g(scott:eva) 1-1]

conv:people_1011_1528_82:aug_0:chat_0:chataug_0| judy steve| [person:judy f 0-0][person:steve m 1-1]
steve| Hey Judy good news| [person:judy f 1-1]
judy| Don t keep me in suspense what is it| [person:judy f 3-3]
steve| Tracey just told me that she got a text from Aunt Alice She s ready for our yearly shopping trip| [person:tracey f 0-0][person:steve m 3-3][person:tracey f 5-5][person:alice f 10-10][person:alice f 11-11][person:alice f 12-12][person:our g(steve:judy:tracey) 16-16][location:trip s 19-19]
judy| Oh awesome When|
steve| Today she wants us to be ready by 4| [person:alice f 1-1][person:us g(steve:judy:tracey) 3-3]
judy| Woah that was sudden I m super stoked I love shopping with aunt alice| [person:judy f 4-4][person:judy f 8-8][person:alice f 12-12][person:alice f 13-13]
steve| Me too its one of the highlights of the year| [person:steve m 0-0]
judy| Do you think she ll take us to that one restaurant she loves what was it| [person:steve m 1-1][person:alice f 3-3][person:us g(steve:judy:tracey) 6-6][location:restaurant s 10-10][person:alice f 11-11]
steve| I forget the name too but I hope so that was delicious| [person:steve m 0-0][person:steve m 6-6]
judy| Well i guess we better get home we don t want to keep her waiting| [person:judy f 1-1][person:we g(steve:judy:tracey) 3-3][location:home s 6-6][person:we g(steve:judy:tracey) 7-7][person:alice f 13-13]
steve| I already am home so we ll be waiting on you if you re late| [person:steve m 0-0][location:home s 3-3][person:we g(steve:judy:tracey) 5-5][person:judy f 10-10][person:judy f 12-12]
judy| Don t worry I m on my way| [person:judy f 3-3][person:judy f 6-6]

conv:people_1011_1528_83:aug_0:chat_0:chataug_0| aaron judy| [person:aaron m 0-0][person:judy f 1-1]
judy| Hey Aaron I am so happy now Did you know the reason| [person:aaron m 1-1][person:judy f 2-2][person:aaron m 8-8]
aaron| That s how do I know Tell me the reason first| [person:aaron m 4-4][person:aaron m 7-7]
judy| Just now I got a message from our aunt Diana that she wants to take us to the shopping| [person:judy f 2-2][person:our g(judy:aaron) 7-7][person:diana f 8-8][person:diana f 9-9][person:diana f 11-11][person:us g(judy:aaron) 15-15]
aaron| Wow it was a nice thing As usual every year we are going to enjoy our shopping with our aunt| [person:we g(judy:aaron) 10-10][person:our g(judy:aaron) 15-15][person:our g(judy:aaron) 18-18][person:diana f 19-19]
judy| Yeah so that only I am so happy And we are going to purchase for our next year studies What is your plan| [person:judy f 4-4][person:we g(judy:aaron) 9-9][person:our g(judy:aaron) 15-15][person:aaron m 21-21]
aaron| I want to purchase some things for my school reopening and that s all secret and I don t tell you| [person:aaron m 0-0][person:aaron m 7-7][location:school s 8-8][person:aaron m 16-16][person:judy f 20-20]
judy| Okay then I will not tell you the time for shopping planned by our aunt Because I only have the message| [person:judy f 2-2][person:aaron m 6-6][person:our g(judy:aaron) 13-13][person:diana f 14-14][person:judy f 16-16]
aaron| Okay Okay Tell me the time and I will tell my plan to you after that| [person:aaron m 3-3][person:aaron m 7-7][person:aaron m 10-10][person:judy f 13-13]
judy| She wants to pick up us at 4 and get ready for that| [person:diana f 0-0][person:us g(judy:aaron) 5-5]
aaron| Okay done I will tell my plan while we are going to the shopping| [person:aaron m 2-2][person:aaron m 5-5][person:we g(judy:aaron:diana) 8-8]
judy| That s nice okay|

conv:people_1011_1528_84:aug_0:chat_0:chataug_0| dan rafael| [person:dan m 0-0][person:rafael m 1-1]
dan| I still have no idea what to get Tina and Anthony how about you| [person:dan m 0-0][person:tina f 8-8][person:anthony m 10-10][person:rafael m 13-13]
rafael| Nope not a clue we could ask them but they are so busy with all the wedding stuff and that s what the registry is for| [person:we g(dan:rafael) 4-4][person:them g(tina:anthony) 7-7][person:they g(tina:anthony) 9-9]
dan| Some of that stuff seems goofy like his and her soap dishes or the candy dish that costs 50 I don t think they even eat candy| [person:anthony m 7-7][person:tina f 9-9][person:dan m 19-19][person:they g(tina:anthony) 23-23]
rafael| Well supposedly they are asking for everything listed but some of it does seem weird and all of its expensive| [person:they g(tina:anthony) 2-2]
dan| We could just get nice cards and give them money| [person:we g(dan:rafael) 0-0][person:them g(tina:anthony) 8-8]
rafael| We could but that makes it seem like we were to lazy or thoughtless or both to spend time picking out a gift| [person:we g(dan:rafael) 0-0][person:we g(dan:rafael) 8-8]
dan| I guess so but what are we going to do the wedding is in three days| [person:dan m 0-0][person:we g(dan:rafael) 6-6]
rafael| I know lets make personal coupons to do stuff to free them up to spend time together like for yard work or trash hauling stuff we can do| [person:rafael m 0-0][person:them g(tina:anthony) 11-11][person:we g(dan:rafael) 25-25]
dan| That s kind of corny but definitely would show thought and effort I ll go for it| [person:dan m 12-12]
rafael| Okay I ll get with you later we can make sure we don t double up on to much that way bye| [person:rafael m 1-1][person:dan m 5-5][person:we g(dan:rafael) 7-7][person:we g(dan:rafael) 11-11]

conv:people_1011_1528_85:aug_0:chat_0:chataug_0| ashley beverly| [person:ashley f 0-0][person:beverly f 1-1]
beverly| Girl s night is so close|
ashley| I m so ready for it Can t wait| [person:ashley f 0-0]
beverly| Don t forget that we ll still have to cook dinner| [person:we g(beverly:ashley) 4-4]
ashley| Yeah I know Make sure the music is ready| [person:ashley f 1-1]
beverly| It s ready but I m nervous about Chloe| [person:beverly f 4-4][person:chloe f 8-8]
ashley| Why What s going on with Chloe| [person:chloe f 6-6]
beverly| I m scared that she might complain about the music| [person:beverly f 0-0][person:chloe f 4-4]
ashley| That shouldn t be a problem We can invite her to the party| [person:we g(beverly:ashley) 6-6][person:chloe f 9-9]
beverly| That s actually a good idea|
ashley| Yeah there s nothing to lose by inviting her| [person:chloe f 8-8]

conv:people_1011_1528_86:aug_0:chat_0:chataug_0| maria rafael| [person:maria f 0-0][person:rafael m 1-1]
maria| So I am making the dinner| [person:maria f 1-1]
rafael| That is good to hear|
maria| I am low on veggies though| [person:maria f 0-0]
rafael| I will get them for you| [person:rafael m 0-0][person:maria f 5-5]
maria| Since Shawn Laura Alan and Peggy are coming I need a lot| [person:shawn m 1-1][person:laura f 2-2][person:alan m 3-3][person:peggy f 5-5][person:maria f 8-8]
rafael| sure tell me what you need| [person:rafael m 2-2][person:maria f 4-4]
maria| I think we need a lot of lettuce| [person:maria f 0-0][person:we g(maria:rafael) 2-2]
rafael| Yeah and I know Alan and Peggy both really like carrots| [person:rafael m 2-2][person:alan m 4-4][person:peggy f 6-6]
maria| God idea Get some of those|
rafael| I will look around| [person:rafael m 0-0]
maria| Thanks a lot|

conv:people_1011_1528_88:aug_0:chat_0:chataug_0| joshua steven| [person:joshua m 0-0][person:steven m 1-1]
steven| Hi Joshua remember our basketball game next week| [person:joshua m 1-1][person:our g(steven:joshua) 3-3]
joshua| Of course How could I forget about it I have been looking forward to it| [person:joshua m 4-4][person:joshua m 8-8]
steven| Yes but the problem is we need two more people to join us| [person:we g(steven:joshua) 5-5][person:us g(steven:joshua) 12-12]
joshua| Oh no worries Why not we invite Paulo and Rafael to join us| [person:we g(steven:joshua) 5-5][person:paulo m 7-7][person:rafael m 9-9][person:us g(steven:joshua) 12-12]
steven| Are you sure Paulo has a poor shooting skill and Rafael s defence is rather bad| [person:joshua m 1-1][person:paulo m 3-3][person:rafael m 10-10]
joshua| Oh now you mentioned about it that is rather true But we could still tap on their strengths| [person:steven m 2-2][person:we g(steven:joshua) 11-11][person:their g(paulo:rafael) 16-16]
steven| That s true you can cover Paulo s shooting and i can cover Rafael s defence| [person:joshua m 3-3][person:paulo m 6-6][person:steven m 10-10][person:rafael m 13-13]
joshua| Sounds great to me Like that we can complement each other very well| [person:joshua m 3-3][person:we g(steven:joshua) 6-6]
steven| That settles it then Will you inform them about it| [person:joshua m 5-5][person:them g(paulo:rafael) 7-7]
joshua| Sure thing I will update you when they respond then| [person:joshua m 2-2][person:steven m 5-5][person:they g(paulo:rafael) 7-7]

conv:people_1011_1528_89:aug_0:chat_0:chataug_0| chloe donna| [person:chloe f 0-0][person:donna f 1-1]
donna| I am really worried about what could happen to us| [person:donna f 0-0][person:us g(donna:chloe) 9-9]
chloe| I know so am I Do you think e need to think about legal aspects| [person:chloe f 0-0][person:chloe f 4-4][person:donna f 6-6]
donna| I don t think it can hurt Do you know any lawyers| [person:donna f 0-0][person:chloe f 8-8]
chloe| I actually have a referral from a friend Two women have a firm| [person:chloe f 0-0][person:friend u 7-7]
