conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
tania| For that I am really excited One more thing you told me to search a groomer for our poodle| [person:tania f 2-2][person:sophia f 9-9][person:tania f 11-11][person:our g(sophia:tania) 17-17]
sophia| Yes even I want our poodle to look good on the Christmas day What happened with your search| [person:sophia f 2-2][person:our g(sophia:tania) 4-4][person:tania f 16-16]
tania| I have selected Ann for her I am sending you her contact details| [person:tania f 0-0][person:ann f 3-3][person:ann f 5-5][person:tania f 6-6][person:sophia f 9-9][person:ann f 10-10]
sophia| Yes I spoke to Ann and she suggested me a good hair cut I m sending it to you please have a look and share your opinion| [person:sophia f 1-1][person:ann f 4-4][person:ann f 6-6][person:sophia f 8-8][person:sophia f 13-13][person:tania f 18-18][person:tania f 25-25]
tania| Well all I want is she should look different and cute that s it If Ann has suggested you she might be confident about it Have you taken the appointment| [person:tania f 2-2][person:ann f 5-5][person:ann f 15-15][person:sophia f 18-18][person:ann f 19-19][person:sophia f 26-26]
sophia| Yes I have taken the appointment for tonight I heard Ann is among the top 10 groomers in the world It is hard to get an appointment and I manged it somehow| [person:sophia f 1-1][person:sophia f 8-8][person:ann f 10-10][person:sophia f 28-28]
tania| Wow Today only you managed the appointment That s really a great news Just let me know the time as I ve to complete my all work| [person:sophia f 3-3][person:tania f 15-15][person:tania f 20-20][person:tania f 24-24]
sophia| Sure Listen I might be coming late today I have some urgent work in the office So please take our poodle to Ann If you fail to go then we might not get an appointment later| [person:sophia f 2-2][person:sophia f 8-8][location:office s 15-15][person:our g(sophia:tania) 19-19][person:ann f 22-22][person:tania f 24-24][person:we g(sophia:tania) 29-29]
tania| You don t worry I have already covered all my work I will take her to Ann If possible for you join us there| [person:sophia f 0-0][person:tania f 4-4][person:tania f 9-9][person:tania f 11-11][person:ann f 14-14][person:ann f 16-16][person:sophia f 20-20]

conv:chats_1126_120:aug_0:chat_0:chataug_0| beverly sandra| [person:beverly f 0-0][person:sandra f 1-1]
sandra| Hey Beverly don t you think Mr Smith is being unfair by making us do those horrible workouts| [person:beverly f 1-1][person:beverly f 4-4][person:mr_smith m 7-7][person:sandra___beverly g(sandra:beverly) 13-13]
beverly| Yes Somebody will end up getting injured if he continues these dangerous workouts| [person:mr_smith m 8-8]
sandra| I hate that Mr Johnson had to move away he never made us do such difficult workouts| [person:sandra f 0-0][person:mr__johnson m 4-4][person:mr__johnson m 9-9][person:sandra___beverly g(sandra:beverly) 12-12]
beverly| Exactly I miss Mr Johnson He was very good| [person:beverly f 1-1][person:mr__johnson m 4-4][person:mr__johnson m 5-5]
sandra| You are right he understood our limits I never felt tired of his routine| [person:sandra f 0-0][person:mr__johnson m 3-3][person:sandra___beverly g(sandra:beverly) 5-5][person:sandra f 7-7][person:mr__johnson m 12-12]
beverly| Mr Smith is the exact opposite That s why a lot of people quit the gym in last few days| [person:mr_smith m 1-1][location:gym s 15-15]
sandra| I agree with you We should try to get him replaced| [person:sandra f 0-0][person:beverly f 3-3][person:sandra___beverly g(sandra:beverly) 4-4][person:mr_smith m 9-9]
beverly| How do you plan on doing that| [person:sandra f 2-2]
sandra| We will talk to the management and see what they can do| [person:sandra___beverly g(sandra:beverly) 0-0][person:management g() 9-9]
beverly| Alright We will talk to them tomorrow| [person:sandra___beverly g(sandra:beverly) 1-1][person:management g() 5-5]

conv:chats_1126_121:aug_0:chat_0:chataug_0| alexander karina| [person:alexander m 0-0][person:karina f 1-1]
alexander| Hey Karina are you busy| [person:karina f 1-1][person:karina f 3-3]
karina| Nothing much Alexander Tell me is that anything important| [person:alexander m 2-2][person:karina f 4-4]
alexander| Yeah it is important I will not be available to pick Todd from the school so can you pick him or is there any other parent available to pick him| [person:alexander m 4-4][person:todd m 11-11][location:school s 14-14][person:karina f 17-17][person:alexander m 19-19][person:parent u 25-25][person:todd m 29-29]
karina| Are you talking about today If it is today then I can do it with pleasure| [person:alexander m 1-1][person:karina f 10-10]
alexander| No it is not about today it is about coming friday|
karina| I am really sorry I have a meeting on that day I thing Judith can help us| [person:karina f 0-0][person:karina f 4-4][person:karina f 11-11][person:judith f 13-13][person:karina f 16-16]
alexander| Will Judith be okay with this I am afraid whether Todd would feel comfortable staying with Judith| [person:judith f 1-1][person:alexander m 6-6][person:todd m 10-10][person:judith f 16-16]
karina| Judith is doing this very often for lots of parents I can pick Tod to my home so that he will be very comfortable| [person:judith f 0-0][person:parents g() 9-9][person:karina f 10-10][person:judith f 15-15][location:home s 16-16][person:todd m 19-19]
alexander| Okay I think this wiil actually work outs I will message you one s I am home so that you can drop Todd in my place| [person:alexander m 1-1][person:alexander m 8-8][person:karina f 11-11][person:alexander m 14-14][person:karina f 19-19][person:todd m 22-22][person:alexander m 24-24]
karina| Fine I will see that Gus will join with Todd To drop him off| [person:karina f 1-1][person:gus m 5-5][person:todd m 9-9][person:alexander m 12-12]

conv:chats_1126_122:aug_0:chat_0:chataug_0| april charles| [person:april f 0-0][person:charles m 1-1]
april| Hey Charles we re having terrible issues with the hallbath toilet It s continuously running water Can you call a plumber| [person:charles m 1-1][person:we g(april:charles) 2-2][person:charles m 17-17]
charles| Hi April yea i called Donald he will fix the issue do not worry| [person:april f 1-1][person:charles m 3-3][person:donald m 5-5][person:donald m 6-6]
april| I m really happy you called him Donald He s excellent When is he coming| [person:april f 0-0][person:charles m 4-4][person:donald m 6-6][person:donald m 7-7][person:donald m 8-8][person:donald m 13-13]
charles| May be he will be in few hours because its running water issue| [person:donald m 2-2]
april| It s super good that he s going to be early The issue isn t tolerable| [person:donald m 5-5]
charles| Yea i understand but there is one thing to be noted that he is more expensive| [person:charles m 1-1][person:donald m 12-12]
april| Don t mind that Expertise comes at a price Charles| [person:charles m 9-9]
charles| Maybe But I don t think we need that much expertise to fix running water issue| [person:charles m 2-2][person:we g(april:charles) 6-6]
april| Well let s just get this over with for now|
charles| Sure hope you will be satisfied with the work| [person:april f 2-2]

conv:chats_1126_124:aug_0:chat_0:chataug_0| aaron janet| [person:aaron m 0-0][person:janet f 1-1]
janet| Hi Aaron Do you remember about our vacation plan by this week| [person:aaron m 1-1][person:aaron m 3-3][person:our g(janet:aaron) 6-6]
aaron| Yeah Janet I know that How can I forget it| [person:janet f 1-1][person:aaron m 2-2][person:aaron m 7-7]
janet| But my coworker Amelie had invited me to their home by this week| [person:janet f 1-1][person:amelie f 2-2][person:amelie f 3-3][person:janet f 6-6][person:their g(amelie) 8-8][location:home s 9-9]
aaron| Is it so Even my coworker Sam had invited me to his home by this week What shall we do now| [person:aaron m 4-4][person:sam m 5-5][person:sam m 6-6][person:aaron m 9-9][person:sam m 11-11][location:home s 12-12][person:we g(janet:aaron) 18-18]
janet| Oh I see we cannot change our plan and also we cannot neglect their offer s too| [person:janet f 1-1][person:we g(janet:aaron) 3-3][person:our g(janet:aaron) 6-6][person:we g(janet:aaron) 10-10][person:their g(amelie:sam) 13-13]
aaron| Okay We will visit Amelie s home on the way to picnic| [person:we g(janet:aaron) 1-1][person:amelie f 4-4][location:home s 6-6]
janet| It s fine but what you will say to your college Sam| [person:aaron m 5-5][person:aaron m 9-9][person:sam m 11-11]
aaron| No worries I can explain it to Sam about the situation So he will definitely understand| [person:aaron m 2-2][person:sam m 7-7][person:sam m 12-12]
janet| That s nice shall we buy a wrist watch to them while we return from the trip| [person:we g(janet:aaron) 4-4][person:them g(sam) 10-10][person:we g(janet:aaron) 12-12][location:trip s 16-16]
aaron| Okay That s a nice idea It will be a memorable one for them| [person:them g(sam) 13-13]

conv:chats_1126_125:aug_0:chat_0:chataug_0| drew pablo| [person:drew m 0-0][person:pablo m 1-1]
pablo| Hey Drew I have an issue Would you like to spend sometime and listen to it| [person:drew m 1-1][person:pablo m 2-2][person:drew m 7-7]
drew| What s wrong with you Pablo Why will you only have problems every time when the others are doing fine| [person:pablo m 4-4][person:pablo m 5-5][person:pablo m 8-8][person:others g() 16-16]
pablo| It s not just about me Our cubicle bay itself finds Sally very much disturbing I am getting irritated with her loud voice and find it very difficult to focus on my work| [person:pablo m 5-5][person:our g(pablo:drew) 6-6][person:sally f 11-11][person:pablo m 15-15][person:sally f 20-20][person:pablo m 31-31]
drew| You know she gets hyper for what so ever she listens And she has a strong voice too So you can t do much about it| [person:pablo m 0-0][person:sally f 2-2][person:sally f 9-9][person:sally f 12-12][person:pablo m 19-19]
pablo| I am planing to report this to our team leader I am left with no other choice| [person:pablo m 0-0][person:our g(pablo:drew) 7-7][person:team g(pablo:drew:sally) 8-8][person:pablo m 10-10]
drew| Please don t do that She is the only source for their family s income Try telling the same to Sally that will work out| [person:sally f 5-5][person:their g(sally) 11-11][person:family g(sally) 12-12][person:sally f 20-20]
pablo| I have told her in all ways She is either ignoring it or she is just taking it as a fun| [person:pablo m 0-0][person:sally f 3-3][person:sally f 7-7][person:sally f 13-13]
drew| But mailing to team leader is not the right choice He barely responds and you know that as well It wouldn t help you| [person:team g(pablo:drew:sally) 3-3][person:pablo m 10-10][person:pablo m 14-14][person:drew m 23-23]
pablo| I have posted a mail regarding this to our team leader I did this because there are lots of other people who also has to change their behaviors May this become a moral to everyone| [person:pablo m 0-0][person:our g(pablo:drew) 8-8][person:team g(pablo:drew:sally) 9-9][person:pablo m 11-11][person:their g(sally) 26-26][person:everyone g(pablo:drew:sally) 34-34]
drew| You re so sick I should be very careful with you| [person:pablo m 0-0][person:drew m 4-4][person:pablo m 10-10]

conv:chats_1126_126:aug_0:chat_0:chataug_0| cole ollie| [person:cole m 0-0][person:ollie m 1-1]
cole| Hello Ollie did you reach home| [person:ollie m 1-1][person:ollie m 3-3][location:home s 5-5]
ollie| Yeah Cole just reached home What about you| [person:cole m 1-1][location:home s 4-4][person:cole m 7-7]
cole| I even reached home but I m disappointed with our football coach Ralph s decision| [person:cole m 0-0][location:home s 3-3][person:cole m 5-5][person:our g(cole:ollie) 9-9][person:ralph m 12-12]
ollie| I m even disappointed and still cant believe that he has chosen us as a second string| [person:ollie m 0-0][person:ralph m 9-9][person:our g(cole:ollie) 12-12]
cole| This was the reason I couldn t control myself talking to him| [person:cole m 4-4][person:cole m 8-8][person:ralph m 11-11]
ollie| Now I m nervous and really scared about his next step| [person:ollie m 1-1][person:ralph m 8-8]
cole| Yeah you are right he will definitely take action against us as we questioned against his decision| [person:ollie m 1-1][person:ralph m 4-4][person:our g(cole:ollie) 10-10][person:our g(cole:ollie) 12-12][person:ralph m 15-15]
ollie| But that s our right to question him as we performed well| [person:our g(cole:ollie) 3-3][person:ralph m 7-7][person:our g(cole:ollie) 9-9]
cole| Well we have to wait till tomorrow Don t get panic| [person:our g(cole:ollie) 1-1]
ollie| Yeah lets hope for the best See you tomorrow| [person:cole m 7-7]

conv:chats_1126_127:aug_0:chat_0:chataug_0| lilly paulo| [person:lilly f 0-0][person:paulo m 1-1]
paulo| Hey Lilly I have got a surprise for you I have found our old teacher Mr Smith near the dunk tank| [person:lilly f 1-1][person:paulo m 2-2][person:lilly f 8-8][person:paulo m 9-9][person:our g(paulo:lilly) 12-12][person:smith m 16-16]
lilly| Are you playing with me I don t believe that he is still around this school Are you really sure about it| [person:paulo m 1-1][person:lilly f 4-4][person:lilly f 5-5][person:smith m 10-10][location:school s 15-15][person:paulo m 17-17]
