conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
marcus| Are we all bringing stuff| [person:we g(derrick:marcus:darren:nate:jesse) 1-1]
derrick| Yeah I was going to ask for your help in dividing up the items we need| [person:derrick m 1-1][person:marcus m 7-7][person:we g(derrick:marcus:darren:nate:jesse) 14-14]
marcus| Well I still have a bunch of beer left over from my party the other night so let me take care of that| [person:marcus m 1-1][person:marcus m 11-11][person:marcus m 18-18]
derrick| Awesome I can bring stuff for burgers and hot dogs| [person:derrick m 1-1]
marcus| Darren is a vegetarian so we ll have him bring a veggie tray and anything else he likes You should probably get him a veggie patty too| [person:darren m 0-0][person:we g(derrick:marcus:darren:nate:jesse) 5-5][person:darren m 8-8][person:darren m 16-16][person:derrick m 18-18][person:darren m 22-22]
derrick| Okay I ll do that Nate is useless around food so let s just have him get some assorted chips and dip| [person:derrick m 1-1][person:nate m 5-5][person:nate m 15-15]
marcus| That should be plenty And Jesse can bring his bocce ball and croquet set and whatever other games he has| [person:jesse m 5-5][person:jesse m 8-8][person:jesse m 18-18]
derrick| Perfect I ll text everyone now See you tomorrow| [person:derrick m 1-1][person:everyone g(marcus:darren:nate:jesse) 4-4][person:marcus m 7-7]

conv:people_2019082001_46:aug_0:chat_0:chataug_0| andrew evelyn| [person:andrew m 0-0][person:evelyn f 1-1]
andrew| So what do you have in mind about this get together with Wilboroghs and Andersons| [person:evelyn f 3-3][person:wilboroghs g() 12-12][person:andersons g() 14-14]
evelyn| I dont know Andrew seems like everyone is busy with their schedule| [person:evelyn f 0-0][person:andrew m 3-3][person:everyone g(andrew:evelyn) 6-6][person:their g(andrew) 10-10]
andrew| Yeah i agree with you| [person:andrew m 1-1][person:evelyn f 4-4]
evelyn| Maybe we should invite them separately based on their own schedule| [person:we g(andrew:evelyn) 1-1][person:them g(andrew) 4-4][person:wilboroghs g(evelyn) 8-8]
andrew| hmm i think that will work the best Since i am close to Andersons i guess i will invite them| [person:andrew m 1-1][person:andrew m 9-9][person:andersons g() 13-13][person:andrew m 14-14][person:andrew m 16-16][person:them g(evelyn) 19-19]
evelyn| Ok i will invite the Willboroghs then| [person:evelyn f 1-1]
andrew| Ok great lets work on this and get back together in 10 minutes|
evelyn| Sure i will call Wilboroghs right now and let you know soon| [person:andrew m 1-1][person:wilboroghs g(evelyn) 4-4][person:andrew m 9-9]
andrew| Perfect i will see you in a bit| [person:andrew m 1-1][person:evelyn f 4-4]
evelyn| Also are we inviting them to your place or mine place| [person:we g(andrew:evelyn) 2-2][person:them g(andrew) 4-4][person:andrew m 6-6][location:place s 7-7][person:evelyn f 9-9][location:place s 10-10]
andrew| Your house is much better lets go to your house| [person:evelyn f 0-0][person:evelyn f 8-8]
evelyn| Ok sure thats that do|

conv:people_2019082001_47:aug_0:chat_0:chataug_0| jesse lawrence| [person:jesse m 0-0][person:lawrence m 1-1]
lawrence| Hey Jesse how s it going| [person:jesse m 1-1]
jesse| It s going pretty good And you| [person:jesse m 6-6]
lawrence| Great I was wondering if you wanted to get a quick meal tomorrow| [person:lawrence m 1-1][person:jesse m 5-5]
jesse| Yes I d love to Ill invite Margaret and Sam too| [person:jesse m 1-1][person:margaret f 7-7][person:sam m 9-9]
lawrence| Cool what restaurant do you have in mind| [location:restaurant s 2-2][person:jesse m 4-4]
jesse| Maybe we can go to the restaurant downtown that sells seafood| [person:we g(lawrence:jesse) 1-1][location:restaurant s 6-6][location:downtown s 7-7]
lawrence| That sounds cool Do you mind making reservations for all of us| [person:jesse m 4-4][person:us g(lawrence:jesse:margaret:sam) 11-11]
jesse| Yeah no problem does 8pm sound good|
lawrence| Yes that s perfect I ll see you guys then| [person:lawrence m 4-4][person:jesse m 7-7]
jesse| Great I can t wait see you guys soon| [person:jesse m 1-1][person:lawrence m 6-6]

conv:people_2019082001_48:aug_0:chat_0:chataug_0| anna karen| [person:anna f 0-0][person:karen f 1-1]
anna| Hi Karen| [person:karen f 1-1]
karen| Hi Anna| [person:anna f 1-1]
anna| Do you get ready to go to campbells place| [person:karen f 1-1][person:campbells g() 7-7][location:place s 8-8]
karen| Yes I am ready| [person:karen f 1-1]
anna| I am really excited to see about them| [person:anna f 0-0][person:campbells g() 7-7]
karen| I am also We should buy something for them| [person:karen f 0-0][person:we g(anna:karen) 3-3][person:campbells g() 8-8]
anna| Definitely Do you have any ideas| [person:karen f 2-2]
karen| I want to buy Tshirt for Joshua| [person:karen f 0-0][person:joshua m 6-6]
anna| Cynthia always asking me for a ring So I will bring it to her| [person:cynthia f 0-0][person:anna f 3-3][person:anna f 8-8][person:cynthia f 13-13]
karen| Thats awesome|
anna| For Willie we can buy books to read He is interested in it| [person:willie m 1-1][person:we g(anna:karen) 2-2][person:willie m 8-8]
karen| Sure We should also buy some sweets and fruits to meet them| [person:we g(anna:karen) 1-1][person:campbells g(joshua:cynthia:willie) 11-11]
anna| Definitely|
karen| So when we are going to shopping for these things| [person:we g(anna:karen) 2-2]
anna| Shall we go now| [person:we g(anna:karen) 1-1]
karen| Sure|

conv:people_2019082001_49:aug_0:chat_0:chataug_0| nathan pam| [person:nathan m 0-0][person:pam f 1-1]
nathan| Hi there|
pam| Hi|
nathan| Can we hangout this weekend with my friends| [person:we g(nathan:pam) 1-1][person:nathan m 6-6][person:friends g() 7-7]
pam| Your friends who are they| [person:nathan m 0-0][person:friends g() 1-1][person:friends g() 4-4]
nathan| They were my campus classmates| [person:friends g() 0-0][person:nathan m 2-2][person:friends g() 4-4]
pam| I wont fit in you know| [person:pam f 0-0][person:nathan m 4-4]
nathan| Why do you say so| [person:pam f 2-2]
pam| I will feel out of place because i have never interacted them| [person:pam f 0-0][location:place s 5-5][person:pam f 7-7][person:friends g() 11-11]
nathan| Noo Kate is the most intresting girl ever She loves loud music| [person:kate f 1-1][person:kate f 8-8]
nathan| On the other hand Debra loves music and dancing She enjoys nature and loves good company| [person:debra f 4-4][person:debra f 9-9]
pam| Wow But i am an introvert I wont fit in honestly| [person:pam f 2-2][person:pam f 6-6]
nathan| No jose is an introvert too but he fit in easily| [person:jose m 1-1][person:jose m 7-7]
pam| Wow i will let you know if i will make it| [person:pam f 1-1][person:nathan m 4-4][person:pam f 7-7]
nathan| Ok I know you wont dissapoint me| [person:nathan m 1-1][person:pam f 3-3][person:nathan m 6-6]

conv:people_2019082001_50:aug_0:chat_0:chataug_0| kyle randy| [person:kyle m 0-0][person:randy m 1-1]
randy| It is nice to meet up with you and have dinner How about asking billy and bill to join us| [person:kyle m 7-7][person:billy m 14-14][person:bill m 16-16][person:us g(randy:kyle) 19-19]
kyle| I am looking forward to our dinner date as well but I am not sure I want to invite bill| [person:kyle m 0-0][person:us g(randy:kyle) 5-5][person:kyle m 11-11][person:kyle m 15-15][person:bill m 19-19]
randy| What s up with bill| [person:bill m 4-4]
kyle| He likes to go to Steak House and that s not a preference for me| [person:bill m 0-0][person:kyle m 14-14]
randy| I see I know that bill also likes asian cuisine as well which is a favorite for all of us so let s just pick an asian restaurant so everyone can come along| [person:randy m 0-0][person:randy m 2-2][person:bill m 5-5][person:us2 g(randy:kyle:billy:bill) 19-19][location:restaurant s 27-27][person:us2 g(randy:kyle:billy:bill) 29-29]
kyle| marvelous which asian restaurant do you have in mind| [location:restaurant s 3-3][person:randy m 5-5]
randy| How about your favorite place The one in city center you always seem to enjoy yourself there| [person:kyle m 2-2][location:place s 4-4][location:city s 8-8][person:kyle m 10-10][person:kyle m 15-15][location:place s 16-16]
kyle| you are right I will call and make the reservation for the four of us| [person:randy m 0-0][person:kyle m 3-3][person:us2 g(randy:kyle:billy:bill) 14-14]
randy| great make the reservation after 6pm and window seating|
kyle| got it see you and the other guys then| [person:randy m 3-3]

conv:people_2019082001_51:aug_0:chat_0:chataug_0| jane ruth| [person:jane f 0-0][person:ruth f 1-1]
jane| Ruth I really need a big favor from you Rodger and Brandon are visiting me this week which has been great We were supposed to go sight seeing today but my boss called me to come in to work at the last minute and I can t get out of it| [person:ruth f 0-0][person:jane f 1-1][person:ruth f 8-8][person:rodger m 9-9][person:brandon m 11-11][person:jane f 14-14][person:we g(jane:rodger:brandon) 21-21][person:jane f 30-30]
ruth| Oh that stinks Just tell me what you need girl| [person:ruth f 5-5][person:jane f 7-7]
jane| I was hoping you could fill in for me and take them around Go do some fun things maybe have a bite to eat at a nice restaurant I don t want to leave them alone and bored all day at my house| [person:jane f 0-0][person:ruth f 3-3][person:jane f 8-8][person:them g(rodger:brandon) 11-11][person:jane f 28-28][person:them g(rodger:brandon) 34-34][person:jane f 41-41]
ruth| Of course They are such a nice couple What do they like to do| [person:them g(rodger:brandon) 2-2][person:them g(rodger:brandon) 10-10]
jane| Well I know Rodger loves art so maybe the art gallery| [person:jane f 1-1][person:rodger m 3-3][location:art_gallery s 9-10]
ruth| That s a good idea What does Brandon enjoy| [person:brandon m 7-7]
jane| Brandon really enjoys movies He is such a movie buff There s a highly recommended comedy at the theater on 2nd It s has some great reviews| [person:brandon m 0-0][person:brandon m 4-4]
ruth| Okay we ll go to the art gallery and Capri Theater Then I will see if they want to have some seafood on the pier Do you think that would work| [person:we g(ruth:rodger:brandon) 1-1][location:art_gallery s 6-7][location:capri_theater_ s 9-10][person:ruth f 12-12][person:them g(rodger:brandon) 16-16][location:pier s 24-24][person:jane f 26-26]
jane| Perfect Your e a lifesaver Thank you so much| [person:ruth f 1-1][person:ruth f 6-6]
ruth| No problem It ll be fun for me too I need to get out more it s been some time| [person:ruth f 7-7][person:ruth f 9-9]

conv:people_2019082001_53:aug_0:chat_0:chataug_0| kate laura| [person:kate f 0-0][person:laura f 1-1]
laura| Hey how are you| [person:kate f 3-3]
kate| I m doing great how are you doing| [person:kate f 0-0][person:laura f 6-6]
laura| I m doing well Hey are you still coming around for drinks tonight| [person:laura f 0-0][person:kate f 6-6]
kate| Yes Are Brittany and Marilyn still coming too| [person:brittany f 2-2][person:marilyn f 4-4]
laura| Yes I think so but we haven t decided on a place to go yet| [person:laura f 1-1][person:we g(laura:brittany:marilyn) 5-5][location:place s 11-11]
kate| Oh no Well what type of drinks do you like| [person:laura f 8-8]
laura| I like margaritas What do you like| [person:laura f 0-0][person:kate f 5-5]
kate| I love margaritas I know Brittany does too I m not sure about Marilyn| [person:kate f 0-0][person:kate f 3-3][person:brittany f 5-5][person:kate f 8-8][person:marilyn f 13-13]
laura| Marilyn likes beers There s a bar by my house that serves margaritas and beer| [person:marilyn f 0-0][location:bar s 6-6][person:laura f 8-8][location:house s 9-9]
kate| Let s go there| [location:bar s 3-3]
laura| Sounds good to me| [person:laura f 3-3]
kate| I ll see you there| [person:kate f 0-0][person:laura f 3-3][location:bar s 4-4]

conv:people_2019082001_54:aug_0:chat_0:chataug_0| douglas dylan| [person:douglas m 0-0][person:dylan m 1-1]
dylan| I can t wait for poker night You better watch out because I ve been sharpening my skills| [person:dylan m 0-0][person:douglas m 7-7][person:dylan m 12-12][person:dylan m 16-16]
douglas| You wish Did you invite anyone else over to play| [person:dylan m 0-0][person:dylan m 3-3]
dylan| Not yet I wanted to run some names by you first| [person:dylan m 2-2][person:douglas m 9-9]
douglas| I was thinking about asking Louis from work He s a pretty cool guy| [person:douglas m 0-0][person:louis m 5-5][person:louis m 8-8]
dylan| He seems alright How about Kevin and Wilson| [person:louis m 0-0][person:kevin m 5-5][person:wilson m 7-7]
douglas| I don t know man Last time we had a poker night Wilson got pretty mad about losing Remember the argument he started He accused us all of cheating| [person:douglas m 0-0][person:we g(dylan:douglas:wilson) 7-7][person:wilson m 12-12][person:wilson m 21-21][person:wilson m 23-23][person:us g(dylan:douglas) 25-25]
dylan| I totally forgot about that Yeah he was kind of a jerk that day| [person:dylan m 0-0][person:wilson m 6-6]
douglas| Do you know if Kevin gets along with Louis| [person:dylan m 1-1][person:kevin m 4-4][person:wilson m 8-8]
dylan| I think they are fine Kevin said Louis was a cool guy| [person:dylan m 0-0][person:they g(louis:kevin) 2-2][person:kevin m 5-5][person:wilson m 7-7]
douglas| Great I ll let Louis know and you can ask Kevin| [person:douglas m 1-1][person:wilson m 4-4][person:dylan m 7-7][person:kevin m 10-10]
dylan| Will do Looking forward to it|

conv:people_2019082001_55:aug_0:chat_0:chataug_0| jessica ricky| [person:jessica f 0-0][person:ricky m 1-1]
jessica| So what should we do with Pam and Tiffany when they finally get here| [person:we g(jessica:ricky) 3-3][person:pam f 6-6][person:tiffany f 8-8][person:they g(pam:tiffany) 10-10][location:here u 13-13]
