conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
janet| Can you get off early tomorrow We could go to Whole Foods I know they have some really good vegan dressings And we can get everything else we need for the curry| [person:maria f 1-1][person:we g(janet:maria) 6-6][person:janet f 12-12][person:campbells g() 14-14][person:we g(janet:maria) 22-22][person:we g(janet:maria) 27-27]
maria| Yeah I can swing by about 200 p m and pick you up since your car is in the shop| [person:maria f 1-1][person:janet f 11-11][person:janet f 14-14]
janet| Great thanks I ll check the fridge and see what we have and make the list of stuff we ll need We should be able to get everything at one store since we already have chicken in the freezer| [person:janet f 2-2][person:we g(janet:maria) 10-10][person:we g(janet:maria) 18-18][person:we g(janet:maria) 21-21][person:we g(janet:maria) 32-32]
maria| We re gonna need dessert and wine too Should I make my cobbler| [person:we g(janet:maria) 0-0][person:maria f 9-9][person:maria f 11-11]
janet| Absolutely and we can pick up some vegan ice cream The Campbells should like it even if it s vegan| [person:we g(janet:maria) 2-2][person:campbells g() 11-11]
maria| And we can pick up some wine at Whole Foods if it s not too expensive| [person:we g(janet:maria) 1-1]

conv:people_2019081201_193:aug_0:chat_0:chataug_0| helen jill| [person:helen f 0-0][person:jill f 1-1]
jill| Hey Helen| [person:helen f 1-1]
helen| Hi Jill how are you| [person:jill f 1-1][person:jill f 4-4]
jill| I m fine thanks I ran into Samuel this morning and he told me they can t make it to lunch on Wednesday He mentioned something about an appointment| [person:jill f 0-0][person:jill f 4-4][person:samuel m 7-7][person:samuel m 11-11][person:jill f 13-13][person:they g(samuel) 14-14][person:samuel m 23-23]
helen| Oh that s too bad Was really looking forward to catching up with them Can we see them another time| [person:they g(samuel) 13-13][person:we g(jill:helen) 15-15][person:they g(samuel) 17-17]
jill| Yes maybe if we do something later in the day| [person:we g(jill:helen) 3-3]
helen| Dinner or maybe meet up for drinks|
jill| Yes I m sure they would be up for that Why don t we go to the new bistro that opened on 5th for dinner Thursday| [person:jill f 1-1][person:they g(samuel) 4-4][person:we g(jill:helen) 13-13]
helen| Sounds good to me I hear they have great reviews| [person:helen f 3-3][person:helen f 4-4][person:they g(samuel) 6-6]
jill| Yes they re supposed to be really good I ll check if they can make it 7pm okay with you| [person:they g(samuel) 1-1][person:jill f 8-8][person:they g(samuel) 12-12][person:helen f 19-19]
helen| Yes 7pm is fine|
jill| Great well they just texted back and they ll be there too See you Thursday| [person:they g(samuel) 2-2][person:they g(samuel) 7-7][person:helen f 13-13]
helen| Awesome see you there| [person:jill f 2-2]

conv:people_2019081201_194:aug_0:chat_0:chataug_0| karen teresa| [person:karen f 0-0][person:teresa f 1-1]
teresa| Hi Karen are you going to be playing football this week| [person:karen f 1-1][person:karen f 3-3]
karen| Yes Heather and Stephanie will be there too| [person:heather f 1-1][person:stephanie f 3-3]
teresa| Would it be alright if I bring my friend Suzie| [person:teresa f 5-5][person:teresa f 7-7][person:friend f 8-8]
karen| That would be great|
teresa| Well she is just learning is that going to be a problem| [person:friend f 1-1]
karen| No Heather and Stephanie are just learning too so it s fine| [person:heather f 1-1][person:stephanie f 3-3]
teresa| OK cool sounds great|
karen| Yeah no worries its all for fun|
teresa| OK I ll bring Suzie this weekend See you then| [person:teresa f 1-1][person:karen f 8-8]
karen| Sounds great I ll see you then| [person:karen f 2-2][person:teresa f 5-5]

conv:people_2019081201_195:aug_0:chat_0:chataug_0| bryan willie| [person:bryan m 0-0][person:willie m 1-1]
bryan| Hey I just looked and the court isn t available next week| [person:bryan m 1-1]
willie| Oh no|
bryan| Yea any other ideas|
willie| Did you tell Richard and Matt| [person:bryan m 1-1][person:richard m 3-3][person:matt m 5-5]
bryan| I did Matt said he might know of somewhere but was checking| [person:bryan m 0-0][person:matt m 2-2][person:willie m 4-4]
willie| Oh that would be nice What did Matt find| [person:matt m 7-7]
bryan| Matt said we could use his place| [person:matt m 0-0][person:bryan m 2-2][person:willie m 5-5][location:place s 6-6]
willie| Isn t that really far for Bryan| [person:bryan m 6-6]
bryan| Yea it is really far for me| [person:bryan m 6-6]
willie| Is it a big deal to you| [person:bryan m 6-6]
bryan| I mean not ideal But I can figured it out| [person:bryan m 0-0][person:bryan m 5-5]
willie| You sure| [person:bryan m 0-0]
bryan| Yea I will be fine| [person:bryan m 1-1]
bryan| Lets plan on that|

conv:people_2019081201_197:aug_0:chat_0:chataug_0| lori rachel| [person:lori f 0-0][person:rachel f 1-1]
lori| Hi Rachel Neredith Kayla and I are planning to visit Los Angeles| [person:rachel f 1-1][person:kayla f 3-3][person:lori f 5-5][location:los_angeles s 10-11]
rachel| That s great Can t wait to see you girls| [person:lori f 8-8][person:girls g(lori:kayla) 9-9]
lori| We re all excited I m really looking forward to this trip| [person:we g(rachel:kayla) 0-0][person:lori f 4-4]
rachel| Just let me know so I can take some time off to be with all of you| [person:rachel f 2-2][person:rachel f 5-5][person:girls g(lori:kayla) 16-16]
lori| That s nice of you What places do you recommend we visit in LA| [person:rachel f 4-4][location:places g() 6-6][person:rachel f 8-8][person:we g(rachel:kayla:lori) 10-10][location:los_angeles s 13-13]
rachel| I know you Meredith and Kayla love amusement parks I think going to Disnyland and California Adventure would be fun| [person:rachel f 0-0][person:lori f 2-2][person:meredith f 3-3][person:kayla f 5-5][person:rachel f 9-9][location:california s 15-15]
lori| I was thinking of that too I m sure we ll have a great time| [person:lori f 0-0][person:lori f 6-6][person:we g(rachel:kayla:lori:meredith) 9-9]
rachel| You could also visit Universal Studios if you have the time| [person:lori f 0-0][location:universal_studios s 4-5][person:lori f 7-7]
lori| Oh we ll make time See you soon Rachel| [person:we g(rachel:kayla:lori:meredith) 1-1][person:rachel f 6-6][person:rachel f 8-8]
rachel| See you soon Lori Say hi to the girls for me| [person:lori f 1-1][person:lori f 3-3][person:girls g(lori:kayla:meredith) 8-8][person:rachel f 10-10]

conv:people_2019081201_198:aug_0:chat_0:chataug_0| eva natalie| [person:eva f 0-0][person:natalie f 1-1]
eva| Hey Natalie weren t you from New York| [person:natalie f 1-1][person:natalie f 4-4][location:new_york s 6-7]
natalie| I sure was What s up| [person:natalie f 0-0]
eva| Lori Lauren and I are all going next weekend I thought you might have some ideas of where we could go| [person:lori f 0-0][person:lauren f 1-1][person:eva f 3-3][person:eva f 9-9][person:natalie f 11-11][person:we g(eva:lori:lauren) 18-18]
natalie| Sure What do you want to do when you get there| [person:eva f 3-3][person:eva f 8-8]
eva| I think we want to shop til we drop| [person:eva f 0-0][person:we g(eva:lori:lauren) 2-2][person:we g(eva:lori:lauren) 7-7]
natalie| Really I thought Lori would want to visit a museum or something| [person:natalie f 1-1][person:lori f 3-3][location:museum s 9-9]
eva| She does if we have time but Lauren and I want to shop| [person:lori f 0-0][person:we g(eva:lori:lauren) 3-3][person:lauren f 7-7][person:eva f 9-9]
natalie| Okay I would recommend Saks on fifth Avenue then It s a good place to start| [person:natalie f 1-1][location:place s 13-13]
eva| Is it hard to get too|
natalie| Nah and you will love it You could spend the whole day there| [person:eva f 2-2][person:eva f 6-6]

conv:people_2019081201_199:aug_0:chat_0:chataug_0| amy patricia| [person:amy f 0-0][person:patricia f 1-1]
amy| Hi Are you working tomorrow I have to work and Sam and Dan are visiting| [person:patricia f 2-2][person:amy f 5-5][person:sam m 10-10][person:dan m 12-12]
patricia| Hey I m off til Saturday I really had fun with the guys when they were here last time| [person:patricia f 1-1][person:patricia f 6-6][person:they g(sam:dan) 14-14]
amy| That|
amy| s great come over tonight and we| [person:we g(amy:patricia:sam:dan) 6-6]
amy| come tonite we ll make plans| [person:we g(amy:patricia:sam:dan) 2-2]
patricia| Ok I ll bring pizza Didn t Sam like the arcade at the mall We could spend some time there| [person:patricia f 1-1][person:sam m 7-7][location:mall s 13-13][person:we g(amy:patricia:sam:dan) 14-14][location:mall s 19-19]
amy| Yeah and Dan loves the natural history museum They have a new Egyptian exhibit| [person:dan m 2-2][location:museum s 7-7][person:they g(sam:dan) 8-8]
patricia| Yeah and they have that IMAX theatre in the museum Maybe they ll have something fun showing Last year they had the documentary about ancient embalming| [person:they g(sam:dan) 2-2][location:museum s 9-9][person:they g(sam:dan) 11-11][person:they g(sam:dan) 19-19]
amy| That s gross sounds just like something the guys would like Maaybe we can make some plans for tomorrow night after I get off too| [person:we g(amy:patricia:sam:dan) 12-12][person:amy f 21-21]
patricia| Maybe we could all go to dinner or the movies| [person:we g(amy:patricia:sam:dan) 1-1]
amy| Or both I really want the guys to have a good time| [person:amy f 2-2]
patricia| They always have fun when they re here we ll figure it out I m excited too It ll be great see you tonight| [person:they g(sam:dan) 0-0][person:they g(sam:dan) 5-5][person:we g(amy:patricia:sam:dan) 8-8][person:patricia f 13-13][person:amy f 22-22]

conv:people_2019081201_200:aug_0:chat_0:chataug_0| cathy katherine| [person:cathy f 0-0][person:katherine f 1-1]
katherine| Hi Cathy how are you| [person:cathy f 1-1][person:cathy f 4-4]
cathy| I m good what s going on| [person:cathy f 0-0]
katherine| My friends Jordan and Wilson are visiting but I have to work can you show them around| [person:katherine f 0-0][person:friends g() 1-1][person:jordan m 2-2][person:wilson m 4-4][person:katherine f 8-8][person:cathy f 13-13][person:them g(jordan:wilson) 15-15]
cathy| I suppose I could what should I show them what do they like| [person:cathy f 0-0][person:cathy f 2-2][person:cathy f 6-6][person:them g(jordan:wilson) 8-8][person:them g(jordan:wilson) 11-11]
katherine| That s a good question maybe the zoo| [location:zoo s 7-7]
cathy| That sounds like fun|
katherine| Take them to the casino they like to gamble| [person:them g(jordan:wilson) 1-1][person:them g(jordan:wilson) 5-5]
cathy| That might be interesting|
katherine| Thank you for this I owe you one Cathy| [person:cathy f 1-1][person:katherine f 4-4][person:cathy f 6-6][person:cathy f 8-8]
cathy| Call me when you get off work and we can all meet up| [person:cathy f 1-1][person:katherine f 3-3][person:we g(katherine:cathy:jordan:wilson) 8-8]

conv:people_2019081201_202:aug_0:chat_0:chataug_0| arthur randy| [person:arthur m 0-0][person:randy m 1-1]
randy| Let s watch a movie at the Martins| [person:martins g() 7-7]
arthur| That sounds like a good idea|
randy| We should bring them over something| [person:we g(randy:arthur) 0-0][person:them g() 3-3]
arthur| You mean snacks or something| [person:randy m 0-0]
randy| Yeah some snacks and popcorn|
arthur| I know that Daniel and Joyce love chocolate| [person:arthur m 0-0][person:daniel m 3-3][person:joyce f 5-5]
randy| I will bring Arthur some popcorn| [person:randy m 0-0][person:arthur m 3-3]
arthur| Good idea he loves that| [person:arthur m 2-2]
arthur| Let s meet there in an hour|
randy| Okay I will call them| [person:randy m 1-1][person:them g(daniel:joyce) 4-4]

conv:people_2019081201_206:aug_0:chat_0:chataug_0| ellen samantha| [person:ellen f 0-0][person:samantha f 1-1]
ellen| Samantha I was thinking about a night out with the girls| [person:samantha f 0-0][person:ellen f 1-1][person:girls g() 10-10]
samantha| I like what you re thinking When did you want to go| [person:samantha f 0-0][person:ellen f 3-3][person:ellen f 8-8]
ellen| It will have to be next weekend I am off of work then| [person:ellen f 7-7]
samantha| Who did you want to invite| [person:ellen f 2-2]
ellen| Probably France Amelie and Carol| [location:france s 1-1][person:amelie f 2-2][person:carol f 4-4]
samantha| That is a great idea Frances and Carol like something more quiet the most while Amelie likes disco| [person:frances f 5-5][person:carol f 7-7][person:amelie f 15-15]
ellen| Well I want to go to a Disco It has been a while I do not need a quiet night| [person:ellen f 1-1][person:ellen f 13-13]
samantha| I am sure we can convince Frances and Carol to join They ll understand| [person:samantha f 0-0][person:we g(ellen:samantha) 3-3][person:frances f 6-6][person:carol f 8-8][person:they g(carol:frances) 11-11]
ellen| Well I will call them and let you know what they say| [person:ellen f 1-1][person:they g(carol:frances) 4-4][person:samantha f 7-7][person:they g(carol:frances) 10-10]
samantha| Perfect I cannot wait This will be fun| [person:samantha f 1-1]

conv:people_2019081201_207:aug_0:chat_0:chataug_0| alex clyde| [person:alex m 0-0][person:clyde m 1-1]
alex| Hey Clyde how do you feel about grabbing some lunch this weekend| [person:clyde m 1-1][person:clyde m 4-4]
clyde| That sounds fun it would be great to catchup|
alex| Sure what kind of food do you want| [person:clyde m 6-6]
clyde| Well before we decide I was wondering if Maria and Russell could tag along too They re always good company| [person:we g(alex:clyde) 2-2][person:clyde m 4-4][person:maria f 8-8][person:russell m 10-10][person:they g(maria:russell) 15-15]
