conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
beth| Okay then go ahead Just tell her that involving her was your call not mine| [person:barbie f 6-6][person:barbie f 9-9][person:phillian m 11-11][person:beth f 14-14]

conv:people_chats_0628_46:aug_0:chat_0:chataug_0| gabbie morris| [person:gabbie f 0-0][person:morris m 1-1]
morris| hi Gabbie| [person:gabbie f 1-1]
gabbie| Hi how are you| [person:morris m 3-3]
morris| am fine|
morris| what about you| [person:gabbie f 2-2]
gabbie| am good|
morris| when are you going to be done with your dance class| [person:gabbie f 2-2][person:gabbie f 8-8]
gabbie| we are going to be running a little over so i won t be done till about 615| [person:dance_class g(gabbie) 0-0][person:gabbie f 10-10]
gabbie| my instructor Jasmine started late today| [person:gabbie f 0-0][person:jasmine f 2-2]
gabbie| she had a new student to introduce and get set up| [person:jasmine f 0-0]
morris| that is fine and i will be stoping at Brad s house for a bit before i come pick you up| [person:morris m 4-4][person:brad m 9-9][person:morris m 16-16][person:gabbie f 19-19]
gabbie| ok that is cool|
morris| yeah he wanted me to come over and see his new car| [person:brad m 1-1][person:morris m 3-3][person:brad m 9-9]
gabbie| oh Brad got a new car| [person:brad m 1-1]
morris| yes he just got it on Monday| [person:brad m 1-1]

conv:people_chats_0628_47:aug_0:chat_0:chataug_0| eliza henry| [person:eliza f 0-0][person:henry m 1-1]
henry| Hii machi| [person:henry m 1-1]
eliza| Sollu machi| [person:eliza f 1-1]
henry| Enna pandra machi|
eliza| Vettiya dhan irukka machi|
eliza| Ne enna pandra| [person:henry m 0-0]
henry| Nanaum vettiya dhan irukka da| [person:henry m 0-0]
eliza| Saptiya machi|
henry| Innum illa da ne saptiya|
eliza| Enna spl da|
henry| Theriyala da na morning la irundhu roomlaye dhan irukka|
henry| Ne saptiya unga v2la enna spl da|
eliza| Sapathi guruma da|
henry| Hmm super machi|

conv:people_chats_0628_48:aug_0:chat_0:chataug_0| rhian rich| [person:rhian m 0-0][person:rich m 1-1]
rhian| hey Rich do you want bush or climbing roses| [person:rich m 1-1][person:rich m 3-3]
rich| I don t mind either one| [person:rich m 0-0]
rhian| I spoke to our neighbors Anita and Zack about it| [person:rhian m 0-0][person:our g(rhian:rich) 3-3][person:neighbors g() 4-4][person:anita f 5-5][person:zack m 7-7]
rich| ok what did they think| [person:neighbors g(anita:zack) 3-3]
rhian| they prefered climbing roses| [person:neighbors g(anita:zack) 0-0]
rich| why|
rhian| because they don t neeed as much pruning|
rich| ok so what are you going to get| [person:rhian m 4-4]
rhian| I will be getting climbing roses| [person:rhian m 0-0]
rich| ok that s fine by me| [person:rich m 5-5]
rhian| what color do you think will look good near the gazebo| [person:rich m 3-3]

conv:people_chats_0628_50:aug_0:chat_0:chataug_0| amanda joel| [person:amanda f 0-0][person:joel m 1-1]
joel| Do you know how the weather will be this weekend| [person:amanda f 1-1]
joel| I am hoping to have a pool party| [person:joel m 0-0][location:party s 7-7]
amanda| That would be fun|
amanda| I heard the forecast is going to be rain and thunderstorms| [person:amanda f 0-0]
amanda| You may have to postpone the party| [person:joel m 0-0][location:party s 6-6]
joel| Not necessarily|
joel| I could always have it and if the rain starts then we could move inside| [person:joel m 0-0][person:we g(joel:amanda) 11-11]
joel| I am going to ask Willis and Maurie if I could put their canopy up by the pool| [person:joel m 0-0][person:willis m 5-5][person:maurie f 7-7][person:joel m 9-9][person:their g(willis:maurie) 12-12][location:pool s 17-17]
amanda| That sounds like a good idea|
amanda| That way people will have another place to go if they need to take cover| [location:place s 6-6][person:we g(joel:amanda:willis:maurie) 10-10]
joel| Yeah they lent me the canopy a few times before| [person:their g(willis:maurie) 1-1][person:joel m 3-3]
amanda| Oh really|
joel| Yeah they don t mind with doing that kind of stuff| [person:their g(willis:maurie) 1-1]
joel| They are good friends| [person:their g(willis:maurie) 0-0][person:their g(willis:maurie) 3-3]
joel| Yeah they really are good friends| [person:their g(willis:maurie) 1-1][person:their g(willis:maurie) 5-5]

conv:people_chats_0628_51:aug_0:chat_0:chataug_0| kathleen scott| [person:kathleen f 0-0][person:scott m 1-1]
scott| Hello|
kathleen| Hello scott| [person:scott m 1-1]
kathleen| How are you doing| [person:scott m 2-2]
scott| Good|
scott| and u| [person:kathleen f 1-1]
kathleen| good|
scott| Hey do you plan to take the kids to the zoo this wnd| [person:kathleen f 2-2][person:kids g() 7-7][location:zoo s 10-10]
kathleen| Yeah i can we can go on staurday| [person:kathleen f 1-1][person:we g(scott:kathleen) 3-3]
kathleen| I have a couple of offices to clean on sunday| [person:kathleen f 0-0][location:offices g() 5-5]
scott| Thanks have a great rest of your day| [person:kathleen f 6-6]
scott| Hope you do well at work| [person:kathleen f 0-0][person:kathleen f 1-1]
scott| see you at home| [person:kathleen f 1-1][location:home s 3-3]
kathleen| Yeah bye|
kathleen| see you at home| [person:scott m 1-1][location:home s 3-3]
kathleen| have a great rest of the day too|
kathleen| love you| [person:scott m 1-1]
scott| Love you too| [person:kathleen f 1-1]

conv:people_chats_0628_53:aug_0:chat_0:chataug_0| bryan jada| [person:bryan m 0-0][person:jada f 1-1]
jada| Can you help me move my furniture around tonight| [person:bryan m 1-1][person:jada f 3-3][person:jada f 5-5]
bryan| Why|
jada| I just want to do some cleaning and change it up a bit| [person:jada f 0-0]
bryan| I can but I don t get it it looks fine the way it is| [person:bryan m 0-0][person:bryan m 3-3]
jada| But still I like a new look every once in a while| [person:jada f 2-2]
bryan| My Mom Patty used to do this every month It drove my Dad Bruce crazy| [person:bryan m 0-0][person:patty f 1-1][person:patty f 2-2][person:bryan m 11-11][person:bruce m 12-12][person:bruce m 13-13]
jada| Why did it bother Bruce so much| [person:bruce m 4-4]
bryan| The furniture was heavy and every time Bruce got used to where it was Patty would move it again| [person:bruce m 7-7][person:patty f 14-14]
jada| I can see where that would bother Bruce but nobody has to sit on my furniture but me| [person:jada f 0-0][person:bruce m 7-7][person:jada f 14-14][person:jada f 17-17]
bryan| I guess I will be over about eight then to help you move it| [person:bryan m 0-0][person:bryan m 2-2][person:jada f 11-11]
jada| That would be great thank you| [person:bryan m 5-5]

conv:people_chats_0628_54:aug_0:chat_0:chataug_0| trent vanessa| [person:trent m 0-0][person:vanessa f 1-1]
vanessa| Hey Trent How are you doing| [person:trent m 1-1][person:trent m 4-4]
trent| I m doing good what about you| [person:trent m 0-0][person:vanessa f 6-6]
vanessa| Doing good Hey do you remember the couple we met over the weekend at the concert hall| [person:trent m 4-4][person:trent_venessa g(vanessa:trent) 8-8]
trent| Yes of course Jeremy and Lisa They seemed really cool people| [person:jeremy m 3-3][person:lisa f 5-5][person:jeremy_lisa g(jeremy:lisa) 6-6]
trent| What about them| [person:jeremy_lisa g(jeremy:lisa) 2-2]
vanessa| Well I exchanged numbers with Lisa and we ve been texting since then| [person:vanessa f 1-1][person:lisa f 5-5][person:venessa_lisa g(vanessa:lisa) 7-7]
trent| Oh Cool They are very nice people to get in touch with| [person:jeremy_lisa g(jeremy:lisa) 2-2]
vanessa| Yes they are and apparently we have much in common| [person:jeremy_lisa g(jeremy:lisa) 1-1][person:venessa_jeremy_lisa g(vanessa:jeremy:lisa) 5-5]
trent| It is good to know that|
vanessa| Well How does it sound to you if we get together with them sometime| [person:trent m 6-6][person:trent_venessa g(vanessa:trent) 8-8][person:jeremy_lisa g(jeremy:lisa) 12-12]
trent| It sound like a such a great idea I really would like to see them again| [person:trent m 8-8][person:jeremy_lisa g(jeremy:lisa) 14-14]
trent| How about we invite them over this week for a cookout| [person:trent_venessa g(vanessa:trent) 2-2][person:jeremy_lisa g(jeremy:lisa) 4-4]
vanessa| Sounds perfect to me I ll tell Lisa and Jeremy| [person:vanessa f 3-3][person:vanessa f 4-4][person:lisa f 7-7][person:jeremy m 9-9]
trent| Sounds like we have a plan| [person:trent_venessa g(vanessa:trent) 2-2]

conv:people_chats_0628_56:aug_0:chat_0:chataug_0| lauren leonardo| [person:lauren f 0-0][person:leonardo m 1-1]
leonardo| Are you still the master of the axe| [person:lauren f 1-1]
lauren| Why are you axeing| [person:leonardo m 2-2]
lauren| Get it axeing|
lauren| I am definitely still a capable combatant with the weapon| [person:lauren f 0-0]
leonardo| If only your wit was as sharp as your weapon It might not be needed My cousin Harold is trying to take over the local convenience store| [person:lauren f 2-2][person:lauren f 8-8][person:leonardo m 15-15][person:harold m 16-16][person:harold m 17-17][location:store s 26-26]
leonardo| He is under the impression that he can somehow conquer it like territory He thinks he would receive a percentage of the stock and profit| [person:harold m 0-0][person:harold m 6-6][person:harold m 13-13][person:harold m 15-15]
lauren| Do you think showing up with a battle axe to challenge him might not feed into his cousin s paranoia and make things worse| [person:leonardo m 1-1][person:harold m 11-11][person:harold m 16-16][person:cousin u 17-17]
leonardo| Do you want a paycheck or not| [person:lauren f 1-1]
lauren| Yes I would So which convenience store needs saving| [person:lauren f 1-1]
leonardo| It s the store closest to my grandmother Belle s home| [location:store s 3-3][person:leonardo m 6-6][person:belle f 8-8][location:home s 10-10]
lauren| I don t know her or where she lives Can I get an address| [person:lauren f 0-0][person:belle f 4-4][person:belle f 7-7][person:lauren f 10-10]
leonardo| To the store of my Grandma s| [person:leonardo m 4-4]

conv:people_chats_0628_57:aug_0:chat_0:chataug_0| jim kim| [person:jim m 0-0][person:kim f 1-1]
jim| Hi Kim Guess what| [person:kim f 1-1]
kim| Oh you have solved the hard Mathematics calculation| [person:jim m 1-1]
jim| If it was that it would have not been a thing to be sad about|
kim| Oh my goodness Jim You sound disturbed| [person:kim f 1-1][person:jim m 3-3][person:jim m 4-4]
jim| Being disturbed is even an understatement I was attacked by my nephew Tim and I sustained a minor injury| [person:jim m 6-6][person:jim m 10-10][person:tim m 12-12][person:jim m 14-14]
kim| What An attack from your nephew That is weird Have you called an ambulance for immediate treatment| [person:jim m 4-4][person:jim m 10-10]
jim| Oh no It is not that serious Tim attacked me with ordinary plastic spork| [person:tim m 7-7][person:jim m 9-9]
kim| Well if you say so But have you informed Selena about the incident| [person:jim m 2-2][person:jim m 7-7][person:selena f 9-9]
jim| I told Tim s mother and she was dumbfounded at the allegation| [person:jim m 0-0][person:tim m 2-2][person:tim_s_mom f 6-6]
kim| I see Selena would expect any child of hers to know not to attack anyone without intent to do real damage So she will be definitely disappointed| [person:kim f 0-0][person:selena f 2-2][person:selena f 8-8][person:stranger u 14-14][person:selena f 22-22]
jim| Well I know where you are coming from and I am also likewise disappointed| [person:jim m 1-1][person:kim f 4-4][person:jim m 9-9]
kim| One more thing Are you sure your nephew is perfectly okay and not a bit slow| [person:jim m 4-4][person:jim m 6-6]

conv:people_chats_0628_58:aug_0:chat_0:chataug_0| luke marcy| [person:luke m 0-0][person:marcy f 1-1]
marcy| Hi Luke How are you doing| [person:luke m 1-1][person:luke m 4-4]
luke| Fine Marcy what about you| [person:marcy f 1-1][person:marcy f 4-4]
luke| How is your new job going| [person:marcy f 2-2]
marcy| I guess even when we are in the same enterprise our departments are different| [person:marcy f 0-0][person:marcu___luke g(marcy:luke) 4-4][person:marcu___luke g(marcy:luke) 10-10]
luke| How do you like it so far| [person:marcy f 2-2]
marcy| You know so far so good| [person:luke m 0-0]
marcy| I ve just met Peter and Kathleen| [person:marcy f 0-0][person:peter m 4-4][person:kathleen f 6-6]
marcy| They are nice| [person:peter___kathleen g(peter:kathleen) 0-0]
marcy| There are some projects in which we are intending to collaborate| [person:marcy___co g(marcy:peter:kathleen) 6-6]
luke| That s great Marcy| [person:marcy f 3-3]
marcy| Kathleen knows what this is about| [person:kathleen f 0-0]
marcy| She s been doing this for 5 years already| [person:kathleen f 0-0]
luke| Yeah she is a pro a veteran| [person:kathleen f 1-1]
luke| And waht about the big boss|
luke| Have you met her already| [person:marcy f 1-1][person:kathleen f 3-3]

conv:people_chats_0628_59:aug_0:chat_0:chataug_0| fazka jorge| [person:fazka f 0-0][person:jorge m 1-1]
fazka| I want to go see a movie tonight| [person:fazka f 0-0]
jorge| That sounds fun|
fazka| Lets invite some more freinds to the movie|
jorge| I ll invite Scott| [person:jorge m 0-0][person:scott m 3-3]
fazka| What movie do you want to watch| [person:jorge m 3-3]
jorge| I was thinking Boston basement| [person:jorge m 0-0][location:boston s 3-3]
fazka| That sounds like a good movie|
jorge| How much does it cost|
fazka| I think about 12 bucks to watch the movie| [person:fazka f 0-0]
jorge| Cant wait to meet you at the movie| [person:fazka f 4-4]

conv:people_chats_0628_61:aug_0:chat_0:chataug_0| ruby seth| [person:ruby f 0-0][person:seth m 1-1]
ruby| Guess what|
seth| What|
ruby| You know that candy store you love| [person:seth m 0-0][person:seth m 5-5]
seth| Yeah What about it|
ruby| They re moving|
seth| What Are you serious| [person:ruby f 2-2]
ruby| Yeah I just found out| [person:ruby f 1-1]
seth| I love that store| [person:seth m 0-0]
ruby| I know Sorry| [person:ruby f 0-0]
seth| I don t want to have to tell Mary and Conrad| [person:seth m 0-0][person:mary f 8-8][person:conrad m 10-10]
