conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
paulo| Hey Brit how are you doing| [person:brit f 1-1][person:brit f 4-4]
brit| I am doing good Paulo thank you How about you| [person:brit f 0-0][person:paulo m 4-4][person:paulo m 6-6][person:paulo m 9-9]
paulo| I m doing good too Brit How were your holidays| [person:paulo m 0-0][person:brit f 5-5][person:brit f 8-8]
brit| My holidays went really good but my father behaved erratically and I am afraid that my parents might get divorced| [person:brit f 0-0][person:brit f 6-6][person:father m 7-7][person:brit f 11-11][person:brit f 15-15][person:parents g(father) 16-16]
paulo| That s really sad How is your mom dealing with it| [person:brit f 6-6][person:mom f 7-7]
brit| She is little bit depressed about the situation but my aunt Sydney offered to let me and my mom to stay with her until things calm down| [person:mom f 0-0][person:brit f 9-9][person:sydney f 10-10][person:sydney f 11-11][person:brit f 15-15][person:brit f 17-17][person:mom f 18-18][person:sydney f 22-22]
paulo| That s so sweet of her Brit| [person:sydney f 5-5][person:brit f 6-6]
brit| Yeah I am thinking whether this thing will work out or not| [person:brit f 1-1]
paulo| Think positively everything will be fine with time|
brit| Yeah I ll hope for the best Paulo| [person:brit f 1-1][person:paulo m 7-7]

conv:task_oriented_1231_amt_148:aug_0:chat_0:chataug_0| dominic ivy| [person:dominic m 0-0][person:ivy f 1-1]
ivy| Hello Dominic where are you planning for Friendsgiving event| [person:dominic m 1-1][person:dominic m 4-4]
dominic| Hey Dominic let s plan Friendsgiving event at our home| [person:dominic m 1-1][person:our g(ivy:dominic) 8-8][location:home s 9-9]
ivy| Did you list out the number of people to be invited| [person:dominic m 1-1]
dominic| Yeah I listed but I m little confused| [person:dominic m 1-1][person:dominic m 4-4]
ivy| What are you confused about Let me know| [person:dominic m 2-2][person:ivy f 6-6]
dominic| We shall invite our friends Rose and Elle even to the party What do you say| [person:our g(ivy:dominic) 0-0][person:our g(ivy:dominic) 3-3][person:friends g() 4-4][person:rose f 5-5][person:elle f 7-7][person:our g(ivy:dominic) 14-14]
ivy| Invite Rose but not Elle because you know right what Elle did in the previous party| [person:rose f 1-1][person:elle f 4-4][person:dominic m 6-6][person:elle f 10-10]
dominic| Yeah I do remember She got drunk and caused a ruckus| [person:dominic m 1-1][person:elle f 4-4]
ivy| Yeah let s not spoil our event this time and do invite Rose to the party| [person:our g(ivy:dominic) 5-5][person:rose f 12-12]
dominic| Okay I will invite Rose and you be early to home as we have arrangement s to be done| [person:dominic m 1-1][person:rose f 4-4][person:ivy f 6-6][location:home s 10-10][person:our g(ivy:dominic) 12-12]

conv:task_oriented_1231_amt_150:aug_0:chat_0:chataug_0| elliot sandra| [person:elliot m 0-0][person:sandra f 1-1]
elliot| Hey Sandra let s have a friendsgiving party at our house| [person:sandra f 1-1][person:our g(elliot:sandra) 9-9]
sandra| It s been a long time we met our friends that will be great idea Elliot| [person:our g(elliot:sandra) 6-6][person:our g(elliot:sandra) 8-8][person:friends g() 9-9][person:elliot m 15-15]
elliot| I know right Shall we invite Val for the event| [person:elliot m 0-0][person:our g(elliot:sandra) 4-4][person:val f 6-6]
sandra| No don t do that mistake again|
elliot| Why What will happen if we call her| [person:our g(elliot:sandra) 5-5][person:val f 7-7]
sandra| Because in the last event she got drunk and caused a ruckus| [person:val f 5-5]
elliot| Yeah you re right Shall I invite Andrea for the party| [person:sandra f 1-1][person:elliot m 5-5][person:andrea f 7-7]
sandra| Yeah she will be a great company| [person:andrea f 1-1]
elliot| Okay I ll invite Andrea and inform her the timings of the party| [person:elliot m 1-1][person:andrea f 4-4][person:andrea f 7-7]
sandra| Okay I will start preparations for the party| [person:sandra f 1-1]

conv:task_oriented_1231_amt_153:aug_0:chat_0:chataug_0| ron serena| [person:ron m 0-0][person:serena f 1-1]
serena| Hey Ron How are you Are you free now| [person:ron m 1-1][person:ron m 4-4][person:ron m 6-6]
ron| Hi Serena I am fine Yes what s the matter| [person:serena f 1-1][person:ron m 2-2]
serena| I need your advice on something I hope that s not an issue| [person:serena f 0-0][person:ron m 2-2][person:serena f 6-6]
ron| No problem I m here to help you| [person:ron m 2-2][person:serena f 7-7]
serena| I had a dispute with Johnny and Casper and I don t know how to fix it I need your help| [person:serena f 0-0][person:johnny m 5-5][person:casper f 7-7][person:serena f 9-9][person:serena f 17-17][person:ron m 19-19]
ron| Don t worry about it You should talk to them about it| [person:serena f 5-5][person:them g(johnny:casper) 9-9]
serena| Okay But I m really nervous to have a conversation with them about our fight| [person:serena f 2-2][person:them g(johnny:casper) 11-11][person:our g(serena:ron) 13-13]
ron| Johnny and Casper are very understanding people and will listen to whatever you will say| [person:johnny m 0-0][person:casper f 2-2][person:serena f 12-12]
serena| Alright I ll go and talk to them right now Thank you Ron| [person:serena f 1-1][person:them g(johnny:casper) 7-7][person:ron m 11-11][person:ron m 12-12]
ron| You re welcome I m sure everything will be fine| [person:serena f 0-0][person:ron m 3-3]

conv:task_oriented_1231_amt_154:aug_0:chat_0:chataug_0| cameron rachel| [person:cameron f 0-0][person:rachel f 1-1]
rachel| Hey Cameron we should enjoy our field trip without any disturbances| [person:cameron f 1-1][person:we g(rachel:cameron) 2-2][person:we g(rachel:cameron) 5-5][location:trip s 7-7]
cameron| Yeah sure this trip should be the best memory ever| [location:trip s 3-3]
rachel| Sure but for now I m hungry I think we have to eat something or other and then proceed further| [person:rachel f 4-4][person:rachel f 7-7][person:we g(rachel:cameron) 9-9]
cameron| Once my friends Logan and Jonathan have gone on this trip and suggested me to have pizza if I go so let s eat pizza| [person:cameron f 1-1][person:friends g() 2-2][location:logan g(trip:trip:trip) 3-3][person:jonathan m 5-5][person:cameron f 13-13][person:cameron f 18-18]
rachel| Alright We shall eat pizza but where is the pizza hut location| [person:we g(rachel:cameron) 1-1]
cameron| It s just opposite to our lane just turn to your right you will find it| [location:trip s 0-0][person:we g(rachel:cameron) 5-5][person:rachel f 10-10][person:cameron f 12-12][location:trip s 15-15]
rachel| Cool let s go and have pizza I can t wait anymore| [person:rachel f 7-7]
cameron| Yeah let s go I m even hungry| [person:cameron f 4-4]
rachel| Anyways Logan and Jonathan have good taste| [location:logan g(trip:trip) 1-1][person:jonathan m 3-3]
cameron| Yes they have and we shall say to them that we tasted pizza which they suggested| [person:they g(logan:jonathan) 1-1][person:we g(rachel:cameron) 4-4][person:they g(logan:jonathan) 8-8][person:we g(rachel:cameron) 10-10][person:they g(logan:jonathan) 14-14]

conv:task_oriented_1231_amt_155:aug_0:chat_0:chataug_0| arthur mellisa| [person:arthur m 0-0][person:mellisa f 1-1]
arthur| Hi Mellisa wish you many more happy returns of the day| [person:mellisa f 1-1][person:mellisa f 3-3]
mellisa| Hello Arthur Thank you for your wishes| [person:arthur m 1-1][person:arthur m 3-3][person:arthur m 5-5]
arthur| Hey I would like to invite you to Derrick s birthday on Saturday at Dorothy s house| [person:arthur m 1-1][person:mellisa f 6-6][person:derrick m 8-8][person:dorothy f 14-14]
mellisa| Wow thanks for inviting me to the birthday party| [person:mellisa f 4-4]
arthur| Are you coming to the birthday party| [person:mellisa f 1-1]
mellisa| Yes I will come to the party Don t worry| [person:mellisa f 1-1]
arthur| I like Dorothy and I am planning to use the party as a way to hang out with her more| [person:arthur m 0-0][person:dorothy f 2-2][person:arthur m 4-4][person:dorothy f 18-18]
mellisa| Wow That is a nice idea|
arthur| Okay we will meet at the party on Saturday| [person:we g(arthur:mellisa) 1-1]
mellisa| Oh sure I will be there don t worry| [person:mellisa f 2-2][location:there s 5-5]

conv:task_oriented_1231_amt_156:aug_0:chat_0:chataug_0| brooke valerie| [person:brooke f 0-0][person:valerie f 1-1]
valerie| Hey Brooke I want to talk to you about Chris| [person:brooke f 1-1][person:valerie f 2-2][person:brooke f 7-7][person:chris m 9-9]
brooke| What do you want to talk about him Valerie| [person:valerie f 2-2][person:chris m 7-7][person:valerie f 8-8]
valerie| I heard that Chris is dating both of us at the same time| [person:valerie f 0-0][person:chris m 3-3][person:us g(valerie:brooke) 8-8]
valerie| What is the relation that you and Chris have together| [person:brooke f 5-5][person:chris m 7-7]
brooke| There s nothing like that Valerie you re misinterpreting the whole situation| [person:valerie f 5-5][person:valerie f 6-6]
brooke| I spoke to Chris s mom Chanel and she told me that he is going through a difficult part of his life right now| [person:brooke f 0-0][person:chris m 3-3][person:mom f 5-5][person:mom f 6-6][person:mom f 8-8][person:brooke f 10-10][person:chris m 12-12][person:chris m 20-20]
valerie| Why What is the difficulty he is facing in his life| [person:chris m 5-5][person:chris m 9-9]
brooke| I don t know Perhaps you should meet him and have a talk with him| [person:brooke f 0-0][person:valerie f 5-5][person:chris m 8-8][person:chris m 14-14]
valerie| Okay I will meet him and find out what s wrong with him| [person:valerie f 1-1][person:chris m 4-4][person:chris m 12-12]
brooke| Yeah please do it and inform everything to me| [person:brooke f 8-8]

conv:task_oriented_1231_amt_157:aug_0:chat_0:chataug_0| christian luke| [person:christian m 0-0][person:luke m 1-1]
luke| What is your plan for Christmas Are you going anyway where| [person:christian m 2-2][person:christian m 7-7][location:where s 10-10]
christian| I was planning for a surprise party What do you say| [person:christian m 0-0][location:surprise u 5-5][location:party s 6-6][person:luke m 9-9]
luke| Let s plan together and surprise Marie and Jane| [person:marie f 6-6][person:jane f 8-8]
christian| I have already bought gifts Let s for a party at my place| [person:christian m 0-0][location:party s 9-9][person:christian m 11-11][location:place g(where:party:where:party) 12-12]
christian| I will list up the girls whom we want to invite for the surprise party| [person:christian m 0-0][person:girls g() 5-5][person:luke___christian g(luke:christian) 7-7][location:party s 14-14]
luke| Great you are helping me with a great working of listing up the invites| [person:christian m 1-1][person:luke m 4-4]
christian| It would be great if we also invite our families| [location:party s 0-0][person:luke___christian g(luke:christian) 5-5][person:luke___christian g(luke:christian) 8-8]
luke| For a long time they didn t go to any parties I am sure they will enjoy it| [person:families g() 4-4][person:luke m 11-11][person:families g() 14-14][location:party s 17-17]
christian| Do you have any more unique ideas As it is a surprise we can plan for more and more new ideas| [person:luke m 1-1][location:party s 8-8][person:luke___christian g(luke:christian) 12-12]
luke| Let s start executing the plan I am eagerly waiting for the party| [person:luke m 6-6][location:party s 12-12]

conv:task_oriented_1231_amt_159:aug_0:chat_0:chataug_0| jamie myra| [person:jamie m 0-0][person:myra f 1-1]
myra| Hey Jamie What are you doing| [person:jamie m 1-1][person:jamie m 4-4]
jamie| I was just finishing my homework| [person:jamie m 0-0][person:jamie m 4-4]
myra| Me too Do you know the answer to question 5 I m unable to solve it| [person:myra f 0-0][person:jamie m 3-3][person:myra f 10-10]
jamie| No Myra I also don t know the answer Why won t you ask Austin| [person:myra f 1-1][person:jamie m 2-2][person:myra f 12-12][location:austin s 14-14]
myra| No I do not want to ask him| [person:myra f 1-1][person:austin m 7-7]
jamie| Why What is the matter|
myra| He is very mean to me He s not going to help my with my homework| [person:austin m 0-0][person:myra f 5-5][person:austin m 6-6][person:myra f 12-12][person:myra f 14-14]
jamie| Okay let s email our teacher Wayne because he knows answers to all the questions| [person:our g(myra:jamie) 4-4][person:wayne m 6-6][person:wayne m 8-8]
myra| That s a good idea He will definitely help is he s the teacher after all| [person:wayne m 5-5]
jamie| Alright I will send him an email| [person:jamie m 1-1][person:wayne m 4-4]

conv:task_oriented_1231_amt_162:aug_0:chat_0:chataug_0| fred tara| [person:fred m 0-0][person:tara f 1-1]
fred| Hi Tara when are you getting back to the dorms| [person:tara f 1-1][person:tara f 4-4][location:dorms g() 9-9]
tara| Hi Fred I got back yesterday| [person:fred m 1-1][person:tara f 2-2]
fred| Do you know whether Olivia and Pablo got back| [person:tara f 1-1][person:olivia f 4-4][person:pablo m 6-6]
tara| They are already here too Although I suspect Pablo stayed over the holiday break| [person:op g(olivia:pablo) 0-0][location:dorms s 3-3][person:tara f 6-6][person:pablo m 8-8]
fred| That s quite possible Do you know when Olivia got back| [person:tara f 5-5][person:olivia f 8-8]
tara| Yes she got back this morning When will you be back to school| [person:olivia f 1-1][person:fred m 8-8][location:school s 12-12]
fred| Not until tomorrow because I have my Dad s birthday to go to first| [person:fred m 4-4][person:fred m 6-6][person:dad m 7-7]
tara| Okay wish him from my side too| [person:dad m 2-2][person:tara f 4-4]
fred| I will and I really miss you| [person:fred m 0-0][person:fred m 3-3][person:tara f 6-6]
tara| That s so sweet I really miss you too| [person:tara f 4-4][person:fred m 7-7]

conv:task_oriented_1231_amt_163:aug_0:chat_0:chataug_0| ivan roy| [person:ivan m 0-0][person:roy m 1-1]
roy| Ivan I don t feel good that we are moving to Edmonton| [person:ivan m 0-0][person:roy m 1-1][person:we g(roy:ivan) 7-7]
ivan| Even I feel the same Roy What should we do now| [person:ivan m 1-1][person:roy m 5-5][person:we g(roy:ivan) 8-8]
roy| We should talk to our parents and tell them that we don t want to move to Edmonton| [person:we g(roy:ivan) 0-0][person:we g(roy:ivan) 4-4][person:parents g() 5-5][person:parents g() 8-8][person:we g(roy:ivan) 10-10]
ivan| Do you think that they will listen to us| [person:roy m 1-1][person:parents g() 4-4][person:we g(roy:ivan) 8-8]
roy| I m pretty much confident that they ll listen to us| [person:roy m 0-0][person:parents g() 6-6][person:we g(roy:ivan) 10-10]
ivan| I am not really sure about it Roy| [person:ivan m 0-0][person:roy m 7-7]
roy| I think we should form a united front and convince them to cancel the move| [person:roy m 0-0][person:we g(roy:ivan) 2-2][person:parents g() 10-10]
ivan| I think that the move is happening whether we like it or not| [person:ivan m 0-0][person:we g(roy:ivan) 8-8]
roy| Stop being a pessimist let s just try once|
ivan| Okay do what ever you like| [person:roy m 4-4]

conv:task_oriented_1231_amt_165:aug_0:chat_0:chataug_0| jessica shawn| [person:jessica f 0-0][person:shawn m 1-1]
shawn| Hey Jessica We should plan to watch a movie this weekend| [person:jessica f 1-1][person:we g(shawn:jessica) 2-2]
jessica| Hey Shawn I think we should definitely watch an action movie| [person:shawn m 1-1][person:jessica f 2-2][person:we g(shawn:jessica) 4-4]
shawn| Yeah The new Avengers movie is releasing this week|
jessica| Okay I ve been looking forward to see it| [person:jessica f 1-1]
shawn| Do you think we should invite Noah and his girlfriend Debbie| [person:jessica f 1-1][person:we g(shawn:jessica) 3-3][person:noah m 6-6][person:noah m 8-8][person:debbie f 9-9][person:debbie f 10-10]
jessica| Yeah we should do it I like spending time with them| [person:we g(shawn:jessica) 1-1][person:jessica f 5-5][person:them g(noah:debbie) 10-10]
shawn| I enjoy their company as well| [person:shawn m 0-0][person:them g(noah:debbie) 2-2]
jessica| You should contact Noah about the weekend invite| [person:shawn m 0-0][person:noah m 3-3]
shawn| Sure I ll do it right now The movie will be a blast with all of us together| [person:shawn m 1-1][person:us g(shawn:jessica:noah:debbie) 16-16]
jessica| Yeah I m really excited about watching the movie with them| [person:jessica f 1-1][person:them g(noah:debbie) 10-10]

conv:task_oriented_1231_amt_167:aug_0:chat_0:chataug_0| jacoby tony| [person:jacoby m 0-0][person:tony m 1-1]
jacoby| Hi Tony I wanted to ask you something about Jane Is that okay| [person:tony m 1-1][person:jacoby m 2-2][person:tony m 6-6][person:jane f 9-9]
tony| Hey Jacoby Sure buddy you can ask me anything about Jane| [person:jacoby m 1-1][person:jacoby m 3-3][person:jacoby m 4-4][person:tony m 7-7][person:jane f 10-10]
jacoby| I wanted to ask if you have a crush on Jane| [person:jane f 0-0][person:tony m 5-5][person:jane f 10-10]
tony| Oh my god Who told you that| [person:tony m 1-1][person:jacoby m 5-5]
jacoby| Nobody I might have overheard something when Jane and Shelly were talking to each other| [person:jacoby m 1-1][person:jane f 7-7][person:shelly f 9-9]
tony| Really Was Jane talking about me| [person:jane f 2-2][person:tony m 5-5]
jacoby| Yeah dude I overheard her telling Shelly that she is interested in you| [person:jacoby m 2-2][person:jane f 4-4][person:shelly f 6-6][person:jane f 8-8][person:tony m 12-12]
tony| Feels so good to know that I do like Jane May be we all can go on a double date together this weekend What do you say| [person:tony m 6-6][person:jane f 9-9][person:we g(jacoby:tony:jane:shelly) 12-12][person:jacoby m 25-25]
jacoby| Sounds like a great plan buddy I ll talk with Shelly and we can make the arrangements| [person:tony m 5-5][person:jacoby m 6-6][person:shelly f 10-10][person:js g(jacoby:shelly) 12-12]
tony| Thanks Jacoby You made me so happy today You re the best man| [person:jacoby m 1-1][person:jacoby m 2-2][person:tony m 4-4][person:jacoby m 8-8]

conv:task_oriented_1231_amt_169:aug_0:chat_0:chataug_0| bradley clyde| [person:bradley m 0-0][person:clyde m 1-1]
bradley| Clyde I had a talk with Todd regarding Christmas| [person:clyde m 0-0][person:bradley m 1-1][person:todd m 6-6]
clyde| Yeah Todd even called me Let s go to Seattle| [person:todd m 1-1][person:clyde m 4-4][location:seattle s 9-9]
bradley| I am too excited to meet Todd and Malcolm after a long 5 years| [person:bradley m 0-0][person:todd m 6-6][person:malcolm m 8-8]
clyde| Even me too Last time we met in a family marriage and had a great time| [person:clyde m 1-1][person:we g(bradley:clyde:todd:malcolm) 5-5][person:family g() 9-9]
bradley| Did he say anything about the party| [person:todd m 1-1][location:party s 6-6]
clyde| No he only said that we are going to have lots of surprises| [person:todd m 1-1][person:we g(bradley:clyde:todd:malcolm) 5-5]
bradley| If we meet in the afternoon we can reach there by evening| [person:we g(bradley:clyde:todd:malcolm) 1-1][person:we g(bradley:clyde:todd:malcolm) 6-6][location:party s 9-9]
clyde| I want to start early in the morning so that I can spend an extra day with them What do you say| [person:clyde m 0-0][person:clyde m 10-10][person:them g(todd:malcolm) 17-17][person:bradley m 20-20]
bradley| Well that won t be possible for me because I have to work till late at night I won t be able to get up early in the morning You carry on I ll catch you all later| [person:bradley m 7-7][person:bradley m 9-9][person:bradley m 17-17][person:clyde m 29-29][person:bradley m 32-32][person:clyde m 35-35]
clyde| Fine we will have more fun You will miss it then| [person:we2 g(clyde:todd:malcolm) 1-1][person:bradley m 6-6][location:party s 9-9]

conv:task_oriented_1231_amt_170:aug_0:chat_0:chataug_0| mark serena| [person:mark m 0-0][person:serena f 1-1]
mark| Hi Serena Shall we go to Taylor Swift s concert this evening| [person:serena f 1-1][person:we g(mark:serena) 3-3]
serena| That is a good idea We haven t gone out in a long time| [person:we g(mark:serena) 5-5]
mark| But my concert broke down How do we go to concert| [person:mark m 1-1][person:we g(mark:serena) 7-7]
serena| We can get there via public transit| [person:we g(mark:serena) 0-0]
mark| Okay that sounds good to me| [person:mark m 5-5]
serena| Hey I just heard that Brenda and Meredith are also going to the concert| [person:serena f 1-1][person:brenda f 5-5][person:meredith f 7-7]
mark| Did they tell how they are travelling to concert| [person:they g(brenda:meredith) 1-1][person:they g(brenda:meredith) 4-4]
serena| Guess what I texted them about the plan and they offered to drive us both| [person:serena f 2-2][person:they g(brenda:meredith) 4-4][person:they g(brenda:meredith) 9-9][person:we g(mark:serena) 13-13]
mark| That s amazing When will they pick us both| [person:they g(brenda:meredith) 5-5][person:we g(mark:serena) 7-7]
serena| They will be here in 30 minutes| [person:they g(brenda:meredith) 0-0]

conv:task_oriented_1231_amt_171:aug_0:chat_0:chataug_0| joseph pete| [person:joseph m 0-0][person:pete m 1-1]
pete| Whom you want to invite to our team for the next year| [person:joseph m 1-1][person:our g(pete:joseph) 6-6][person:team g() 7-7]
joseph| You suggest Pete Who would be better| [person:pete m 0-0][person:pete m 2-2]
pete| Well I like the goalscoring ability of Lawrence What about you| [person:pete m 1-1][person:lawrence m 7-7][person:joseph m 10-10]
joseph| I am fascinated about the toughness that Jamie brings in the game| [person:joseph m 0-0][person:jamie m 7-7]
pete| I will call him to know if he wants to join our team| [person:pete m 0-0][person:jamie m 3-3][person:jamie m 7-7][person:our g(pete:joseph) 11-11][person:team g() 12-12]
joseph| Even me too I ll call Jaime to see what it would take for him to move with us| [person:joseph m 1-1][person:joseph m 3-3][person:jamie m 6-6][person:jamie m 14-14][person:our g(pete:joseph) 18-18]
pete| But we should come on the same page as soon as possible| [person:our g(pete:joseph) 1-1]
joseph| I guess goal scoring ability is more important than toughness| [person:joseph m 0-0]
pete| I already suggested that Lawrence should be the only choice| [person:pete m 0-0][person:lawrence m 4-4]
joseph| I ll contact him and let you know the same| [person:joseph m 0-0][person:lawrence m 3-3][person:joseph m 6-6]

conv:task_oriented_1231_amt_172:aug_0:chat_0:chataug_0| barbara rosa| [person:barbara f 0-0][person:rosa f 1-1]
barbara| Hey Rosa I have some bad news| [person:rosa f 1-1][person:barbara f 2-2]
rosa| Hi Barbara what is it Even I have some bad news| [person:barbara f 1-1][person:rosa f 6-6]
barbara| My boss has called to meet me I m worried about the meeting| [person:barbara f 0-0][person:barbara f 6-6][person:barbara f 7-7]
rosa| That s exactly what my bad news is| [person:rosa f 4-4]
barbara| I m scared I ll get fired because Cara is very mean| [person:barbara f 0-0][person:barbara f 3-3][person:cara f 8-8]
rosa| The same goes for Sara I am worried too| [person:sara f 4-4][person:rosa f 5-5]
barbara| Text me after your meeting and let me know how it went| [person:barbara f 1-1][person:rosa f 3-3][person:barbara f 7-7]
rosa| I just got back from the meeting I got promoted What about you| [person:rosa f 0-0][person:rosa f 7-7][person:barbara f 12-12]
barbara| That s wonderful It is a day of coincidences because I got promoted too Cara said I ve been doing well| [person:barbara f 10-10][person:cara f 14-14][person:barbara f 16-16]
rosa| Congratulations Let s go and celebrate|

conv:task_oriented_1231_amt_173:aug_0:chat_0:chataug_0| carla sofia| [person:carla f 0-0][person:sofia f 1-1]
carla| Which car you love the most| [person:sofia f 2-2]
sofia| I love the car we saw in the first What about you| [person:sofia f 0-0][person:we g(carla:sofia) 4-4][person:carla f 11-11]
carla| Even I love it too But it would be too expensive to buy that now| [person:carla f 1-1]
sofia| But Pablo and Brandie are insisting to take the first one| [person:pablo m 1-1][person:brandie f 3-3]
carla| That will be only possible if they negotiate the price according to my budget| [person:they g(pablo:brandie) 6-6][person:carla f 12-12]
sofia| Even I requested them too but they were not agreeing| [person:sofia f 1-1][person:they g(pablo:brandie) 3-3][person:they g(pablo:brandie) 6-6]
carla| We don t have that much budget to buy that| [person:we g(carla:sofia) 0-0]
sofia| Then we should look after something else within our budget| [person:we g(carla:sofia) 1-1][person:we g(carla:sofia) 8-8]
carla| Not willing to do that we don t have any other option other than this| [person:we g(carla:sofia) 5-5]
sofia| Let s go for it|

conv:task_oriented_1231_amt_174:aug_0:chat_0:chataug_0| andrea maddie| [person:andrea f 0-0][person:maddie f 1-1]
andrea| Hey Maddie please drop all your plans for the weekend I have something exciting to tell you| [person:maddie f 1-1][person:maddie f 5-5][person:andrea f 10-10][person:maddie f 16-16]
maddie| What are talking you about Hope you are not going to tell me about the camping| [person:andrea f 3-3][person:andrea f 6-6][person:maddie f 12-12]
andrea| Your so smart You have already sensed what I was about to talk to you Yes we are going for the camping| [person:maddie f 0-0][person:maddie f 3-3][person:andrea f 8-8][person:maddie f 14-14][person:we g(andrea:maddie) 16-16]
maddie| I am your sister don t forgot that But it s not possible mom and dad won t agree to it Still I will try to convince them Please don t plan any blunder before it| [person:maddie f 0-0][person:andrea f 2-2][person:andrea f 3-3][person:mom f 13-13][person:dad m 15-15][person:maddie f 22-22][person:them g(mom:dad) 27-27]
andrea| I swear mom dad are not going to let us go Please don t tell them I ve another plan| [person:andrea f 0-0][person:mom f 2-2][person:dad m 3-3][person:we g(andrea:maddie) 9-9][person:them g(mom:dad) 15-15][person:andrea f 16-16]
maddie| I can convince them by telling that there will be adult chaperone present| [person:maddie f 0-0][person:them g(mom:dad) 3-3]
andrea| I don t want to lie them If we re caught they re never going to trust us anymore| [person:andrea f 0-0][person:them g(mom:dad) 6-6][person:we g(andrea:maddie) 8-8][person:them g(mom:dad) 11-11][person:we g(andrea:maddie) 17-17]
maddie| We need to figure out some other plan think about it as soon as possible we don t have much time| [person:we g(andrea:maddie) 0-0][person:we g(andrea:maddie) 15-15]
andrea| Why don t we involve them in our plan Neither there will be any tension for getting permission nor we ll have to worry about our safety| [person:we g(andrea:maddie) 3-3][person:them g(mom:dad) 5-5][person:we g(andrea:maddie) 7-7][person:we g(andrea:maddie) 19-19][person:we g(andrea:maddie) 25-25]
maddie| It would be a crazy idea to take our parents in camping| [person:we g(andrea:maddie) 8-8][person:them g(mom:dad) 9-9]

conv:task_oriented_1231_amt_175:aug_0:chat_0:chataug_0| abby juliet| [person:abby f 0-0][person:juliet f 1-1]
abby| Hey Juliet I want to talk to you about Caleb| [person:juliet f 1-1][person:abby f 2-2][person:juliet f 7-7][person:caleb m 9-9]
juliet| Hi Abby What do you want to talk about him| [person:abby f 1-1][person:abby f 4-4][person:caleb m 9-9]
abby| I heard Caleb is dating both of us at the same time| [person:abby f 0-0][person:caleb m 2-2][person:us g(abby:juliet) 7-7]
juliet| From where did you hear such a thing| [person:abby f 3-3]
abby| Caleb s brother told me about this| [person:caleb m 0-0][person:brother m 2-2][person:abby f 4-4]
juliet| Caleb s brother is a kid You are misinterpreting the situation| [person:caleb m 0-0][person:brother m 2-2][person:abby f 6-6]
abby| Then what is the relation that you and Caleb have together| [person:juliet f 6-6][person:caleb m 8-8]
juliet| Look I heard from Caleb s mom that he is going through a difficult phase in his life| [person:juliet f 1-1][person:caleb m 4-4][person:mom f 6-6][person:caleb m 8-8][person:caleb m 16-16]
abby| Why What is the difficulty he is facing in his life| [person:caleb m 5-5][person:caleb m 9-9]
juliet| You should talk to him about this You can definitely help him out| [person:abby f 0-0][person:caleb m 4-4][person:abby f 7-7][person:caleb m 11-11]

conv:task_oriented_1231_amt_176:aug_0:chat_0:chataug_0| ron serena| [person:ron m 0-0][person:serena f 1-1]
serena| Hey Ron How are you Are you free now| [person:ron m 1-1][person:ron m 4-4][person:ron m 6-6]
ron| Hi Serena I am fine Yes what s the matter| [person:serena f 1-1][person:ron m 2-2]
serena| I need your advice on something I hope that s not an issue| [person:serena f 0-0][person:serena f 2-2][person:serena f 6-6]
ron| No problem I m here to help you| [person:ron m 2-2][person:serena f 7-7]
serena| I had a dispute with Johnny and Casper and I don t know how to fix it I need your help| [person:serena f 0-0][person:johnny m 5-5][person:casper f 7-7][person:serena f 9-9][person:serena f 17-17][person:ron m 19-19]
ron| Don t worry about it You should talk to them about it| [person:serena f 5-5][person:them g(johnny:casper) 9-9]
serena| Okay But I m really nervous to have a conversation with them about our fight| [person:serena f 2-2][person:them g(johnny:casper) 11-11][person:our g(serena:ron) 13-13]
ron| Johnny and Casper are very understanding people and will listen to whatever you will say| [person:johnny m 0-0][person:casper f 2-2][person:johnny m 12-12]
serena| Alright I ll go and talk to them right now Thank you Ron| [person:serena f 1-1][person:them g(johnny:casper) 7-7][person:ron m 11-11][person:ron m 12-12]
ron| You re welcome I m sure everything will be fine| [person:serena f 0-0][person:ron m 3-3]

conv:task_oriented_1231_amt_178:aug_0:chat_0:chataug_0| samantha tiffany| [person:samantha f 0-0][person:tiffany f 1-1]
tiffany| Hello what is your plan for the weekend| [person:tiffany f 3-3]
samantha| I was thinking of going for a hike It has been a long time I haven t gone anywhere| [person:samantha f 0-0][person:samantha f 14-14]
tiffany| Would you mind I join you there| [person:samantha f 1-1][person:tiffany f 3-3][person:samantha f 5-5][location:there s 6-6]
samantha| Not at all Let s plan the mapping for the hike|
tiffany| I think for proper planning we should ask Val and Brandie| [person:tiffany f 0-0][person:we g(tiffany:samantha) 5-5][person:val f 8-8][person:brandie f 10-10]
samantha| You are right They are very regular for this and also can ask if they would like to join us| [person:tiffany f 0-0][person:they g(val:brandie) 3-3][person:they g(val:brandie) 14-14][person:us g(tiffany:samantha) 19-19]
tiffany| For this I don t think they would agree as a few months back they already had the experience| [person:tiffany f 2-2][person:they g(val:brandie) 6-6][person:they g(val:brandie) 14-14]
samantha| Any ways I will make the plan with their help| [person:samantha f 2-2][person:their g(val:brandie) 8-8]
tiffany| Also you may ask if they would suggest any particular place to visit| [person:samantha f 1-1][person:they g(val:brandie) 5-5][location:place s 10-10]
