conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
lucy| Yes That would be perfect We already have eggs powdered sugar and syrup Maybe get some bacon to go with it and some whipped cream and fresh strawberries| [person:we g(eugene:lucy) 5-5]
eugene| Yes ma am I ll do that berry reduction I did for our anniversary breakfast last spring I ll see you guys soon| [person:eugene m 3-3][person:eugene m 9-9][person:we g(eugene:lucy) 12-12][person:eugene m 17-17][person:lucy f 20-20]
lucy| Amazing Can t wait They re going to love it Love you Eugene| [person:they g(dave:mary) 4-4][person:eugene m 11-11][person:eugene m 12-12]

conv:people_2019082201_100:aug_0:chat_0:chataug_0| douglas ruth| [person:douglas m 0-0][person:ruth f 1-1]
douglas| I am already late for the office| [person:douglas m 0-0][location:office s 6-6]
ruth| Evening there is a brunch party with Kate s friends| [person:kate f 7-7][person:friends g() 9-9]
douglas| As i am already late i can not pick up kate| [person:douglas m 1-1][person:douglas m 5-5][person:kate f 10-10]
ruth| What is the solution then|
douglas| I want you to pick up kate as i am late| [person:douglas m 0-0][person:ruth f 2-2][person:kate f 6-6][person:douglas m 8-8]
ruth| I will do that but you have to get some desert and soda while coming back from office| [person:ruth f 0-0][person:douglas m 5-5][location:office s 17-17]
douglas| I will remember this and get that in the evening| [person:douglas m 0-0]
ruth| Okay that will be perfect|
douglas| It will be good if we get things according to their likings| [person:we g(douglas:kate) 5-5][person:their g(ruth) 10-10]
ruth| Yes they do like desert and soda| [person:they g(kate) 1-1]

conv:people_2019082201_101:aug_0:chat_0:chataug_0| jessica tara| [person:jessica f 0-0][person:tara f 1-1]
jessica| what places in New Orleans are interesting| [location:places g() 1-1][location:new_orleans s 3-4]
tara| There are lots of restaurants there| [location:new_orleans s 0-0][location:restaurants g() 4-4][location:new_orleans s 5-5]
jessica| I am visiting with Sharon and Ellen| [person:jessica f 0-0][person:sharon f 4-4][person:ellen f 6-6]
tara| That sounds fun to me| [person:tara f 4-4]
jessica| It should be You should come to| [person:tara f 3-3]
tara| Maybe I will| [person:tara f 1-1]
jessica| Sharon and Ellen are big foodies| [person:sharon f 0-0][person:ellen f 2-2]
tara| There are plenty of good restaurants there| [location:new_orleans s 0-0][location:restaurants g() 5-5][location:new_orleans s 6-6]
jessica| can you recommend anything else| [person:tara f 1-1]
tara| Not a lot as I am from LA| [person:tara f 4-4][location:la s 7-7]
jessica| Oh I thought you were from New Orleans| [person:jessica f 1-1][person:tara f 3-3][location:new_orleans s 6-7]

conv:people_2019082201_103:aug_0:chat_0:chataug_0| billy dwight| [person:billy m 0-0][person:dwight m 1-1]
dwight| Hi Billy| [person:billy m 1-1]
billy| Hi Dwight| [person:dwight m 1-1]
billy| You still want to have drinks tonight| [person:dwight m 0-0]
dwight| Yes I do for sure| [person:dwight m 1-1]
billy| Sam Derrick and Benjamin are free too| [person:sam m 0-0][person:derrick m 1-1][person:benjamin m 3-3]
dwight| The more the merrier to me| [person:dwight m 5-5]
dwight| Text them all to come| [person:them g(sam:derrick:benjamin) 1-1]
billy| Cool I will invite them all then| [person:billy m 1-1][person:them g(sam:derrick:benjamin) 4-4]
dwight| Sounds good|
billy| They said they will all be there| [person:them g(sam:derrick:benjamin) 0-0][person:them g(sam:derrick:benjamin) 2-2]
dwight| Cool first round is on me| [person:dwight m 5-5]
billy| Sweet|
dwight| 8 pm ok|
billy| Yes that is good|
dwight| I will let everyone know| [person:dwight m 0-0][person:them g(sam:derrick:benjamin) 3-3]

conv:people_2019082201_104:aug_0:chat_0:chataug_0| gregory steve| [person:gregory m 0-0][person:steve m 1-1]
gregory| Do you want to invite Billy and Jose to the baseball game| [person:steve m 1-1][person:billy m 5-5][person:jose m 7-7]
steve| Yeah that sounds fun What day should we go| [person:we g(gregory:steve) 7-7]
gregory| Let me call them and ask what day works for them both| [person:gregory m 1-1][person:them g(billy:jose) 3-3][person:them g(billy:jose) 10-10]
steve| Okay let me know what they say| [person:steve m 2-2][person:they g(billy:jose) 5-5]
gregory| Friday night works best for everyone Is that good for you| [person:everyone g(gregory:steve:billy:jose) 5-5][person:steve m 10-10]
steve| Yes which game will we see| [person:we g(gregory:steve) 4-4]
gregory| The Seahawks and Tides play on Friday night|
steve| We should watch the Dodgers game since Billy and Jose are fans| [person:we g(gregory:steve) 0-0][person:billy m 7-7][person:jose m 9-9]
gregory| Okay I wanted to see the Rangers but that sounds fine| [person:gregory m 1-1]
steve| Great I ll get the tickets You guys can pay me back| [person:steve m 1-1][person:gregory m 6-6][person:steve m 10-10]

conv:people_2019082201_105:aug_0:chat_0:chataug_0| james karan| [person:james m 0-0][person:karan m 1-1]
james| Hey Karan when are we going to watch the movie that we talked about| [person:karan m 1-1][person:we g(james:karan) 4-4][person:we g(james:karan) 11-11]
karan| We could go this Friday There are some new releases lined up for the weekend| [person:we g(james:karan) 0-0]
james| That s a good idea Are Henry and Marcus joining us| [person:henry m 6-6][person:marcus m 8-8][person:us g(james:henry:marcus) 10-10]
karan| They said they might join if we are watching a horror flick| [person:they g(henry:marcus) 0-0][person:they g(henry:marcus) 2-2][person:we g(karan:henry:marcus) 6-6]
james| Really I was hoping to watch an action movie| [person:james m 1-1]
karan| I ll check with them whether they are okay with an action flick| [person:karan m 0-0][person:them g(henry:marcus) 4-4][person:they g(henry:marcus) 6-6]
james| Wait a second If both of them like horror let s stick to horror Can you check whether Friday works for them| [person:them g(henry:marcus) 6-6][person:karan m 15-15][person:them g(henry:marcus) 21-21]
karan| Thank you for accommodating I ll check with them Both of them have Saturdays off So they should be okay| [person:james m 1-1][person:karan m 4-4][person:them g(henry:marcus) 8-8][person:them g(henry:marcus) 11-11][person:they g(henry:marcus) 16-16]
james| Okay then Let them know and see you on Friday| [person:them g(henry:marcus) 3-3][person:karan m 7-7]
karan| Sure See you Bye and take care| [person:james m 2-2]

conv:people_2019082201_106:aug_0:chat_0:chataug_0| rafael victoria| [person:rafael m 0-0][person:victoria f 1-1]
rafael| Isn t Sarah a Vegan| [person:sarah f 2-2]
victoria| Yes she is So we ll have to get some vegan foods for her| [person:sarah f 1-1][person:we g(rafael:victoria) 4-4][person:sarah f 13-13]
rafael| What about Greg| [person:greg m 2-2]
victoria| Greg is gluten free so we have to keep that in mind| [person:greg m 0-0][person:we g(rafael:victoria) 5-5]
rafael| Jill only eats Kosher meats She is also sensitive to soy dairy sugar and HFCS| [person:jill f 0-0][person:jill f 5-5]
victoria| And Harry Any special requests from him| [person:harry m 1-1][person:harry m 6-6]
rafael| No Harry has a cast iron stomach and will eat anything He has that Youtube channel where he eats old rations remember that| [person:harry m 1-1][person:harry m 11-11][person:harry m 17-17]
victoria| Oh yeah Good old Harry| [person:harry m 4-4]
rafael| So we need meat free meat Kosher meat gluten free soy dairy sugar and HFCS free foods| [person:we g(rafael:victoria) 1-1]
victoria| Yep And we can get anything for Harry Maybe some nice hot dogs burgers ribs and potato salad| [person:we g(rafael:victoria) 2-2][person:harry m 7-7]
rafael| Sounds good|

conv:people_2019082201_107:aug_0:chat_0:chataug_0| nathan zachary| [person:nathan m 0-0][person:zachary m 1-1]
zachary| Hi Nathan Would you like to grab lunch this week| [person:nathan m 1-1][person:nathan m 3-3]
nathan| Sure What date|
zachary| Are you free Wednesday or Thursday| [person:nathan m 1-1]
nathan| Wednesday I have a lunch meeting but Thursday I am available| [person:nathan m 1-1][person:nathan m 8-8]
zachary| Cool We should meet up Thursday then| [person:we g(zachary:nathan) 1-1]
nathan| Is it okay if I invite Kim and Marcus| [person:nathan m 4-4][person:kim f 6-6][person:marcus m 8-8]
zachary| Of course I haven t seen them in a while It would be fun to catch up| [person:zachary m 2-2][person:them g(kim:marcus) 6-6]
nathan| What kind of food were you thinking| [person:zachary m 5-5]
zachary| There s this amazing Italian restaurant 10 minutes from my work It would be like half way for all of us Have you heard of Tony s| [location:restaurant s 5-5][person:zachary m 9-9][person:us g(zachary:nathan:kim:marcus) 20-20][person:nathan m 22-22]
nathan| My coworkers ate there once and they had good things to say about it| [person:nathan m 0-0][person:them g(kim:marcus) 1-1][location:restaurant s 3-3][person:them g(kim:marcus) 6-6][location:restaurant s 13-13]
zachary| Great Let s meet up there around 1230pm| [location:restaurant s 5-5]
nathan| Sounds good See you Thursday| [person:zachary m 3-3]

conv:people_2019082201_109:aug_0:chat_0:chataug_0| amy pedro| [person:amy f 0-0][person:pedro m 1-1]
pedro| Hey Do you have any plans this weekend| [person:pedro m 2-2]
amy| Not really What s up|
pedro| I m hanging out with Rachel Cheryl and Louis you should come along| [person:pedro m 0-0][person:rachel f 5-5][person:cheryl f 6-6][person:louis m 8-8][person:amy f 9-9]
amy| I don t know I ve never met any of them| [person:amy f 0-0][person:amy f 4-4][person:them g(rachel:cheryl:louis) 10-10]
pedro| You can meet them this weekend They re very fun| [person:amy f 0-0][person:them g(rachel:cheryl:louis) 3-3][person:them g(rachel:cheryl:louis) 6-6]
amy| I don t want to feel like a fifth wheel| [person:amy f 0-0]
pedro| You actually have a lot in common They love karaoke I know you can t resist that| [person:amy f 0-0][person:them g(rachel:cheryl:louis) 7-7][person:pedro m 10-10][person:amy f 12-12]
amy| I do like karaoke Is that what you re all doing| [person:amy f 0-0][person:pedro m 7-7]
pedro| It is now Just say you ll come| [person:amy f 5-5]
amy| Ok you talked me into it| [person:pedro m 1-1][person:amy f 3-3]

conv:people_2019082201_112:aug_0:chat_0:chataug_0| gregory nick| [person:gregory m 0-0][person:nick m 1-1]
nick| Hi dear arere you free now| [person:gregory m 3-3]
gregory| Yes I am free now Anything important| [person:gregory m 1-1]
nick| What about our planning to go to movie| [person:our g(nick:gregory) 2-2]
gregory| Yes I am ready to come with you dear| [person:gregory m 1-1][person:nick m 7-7]
nick| Oh Good Shall we invite our friends Howard Johnny and Scott to the movie| [person:our g(nick:gregory) 3-3][person:our g(nick:gregory) 5-5][person:friends g() 6-6][person:howard m 7-7][person:johnny m 8-8][person:scott m 10-10]
gregory| Super Good idea We will have a huge fun there| [person:our g(nick:gregory) 3-3]
nick| Which is the genre of the movie|
gregory| Myself and our friends prefer thriller movies So this time also let us go to thriller moive| [person:gregory m 0-0][person:our g(nick:gregory) 2-2][person:friends g(howard:johnny:scott) 3-3][person:our g(nick:gregory) 12-12]
nick| Yes You are correct It is the good choice| [person:gregory m 1-1]
gregory| Let me invite our friends Howard and Johnny now| [person:gregory m 1-1][person:our g(nick:gregory) 3-3][person:friends g(howard:johnny:scott) 4-4][person:howard m 5-5][person:johnny m 7-7]
nick| What about Scott| [person:scott m 2-2]
gregory| Now he will be too busy with his work So you please inform him in the evening| [person:scott m 1-1][person:scott m 7-7][person:nick m 10-10][person:scott m 13-13]
nick| Sure dear Meet you all in theater| [person:everyone_else g(gregory:howard:johnny:scott) 3-3]
gregory| Bye dear|

conv:people_2019082201_113:aug_0:chat_0:chataug_0| jim willie| [person:jim m 0-0][person:willie m 1-1]
jim| Hi Willie Arthur and Stanley are coming to Chicago this week| [person:willie m 1-1][person:arthur m 2-2][person:stanley m 4-4][location:chicago s 8-8]
willie| Cool What day are they coming| [person:they g(arthur:stanley) 4-4]
jim| They re coming on Tuesday I m working then and wondering if you could show them around town| [person:they g(arthur:stanley) 0-0][person:jim m 5-5][person:willie m 12-12][person:them g(arthur:stanley) 15-15][location:town s 17-17]
willie| Sure I d love to take them around town| [person:willie m 1-1][person:them g(arthur:stanley) 6-6][location:town s 8-8]
jim| That would be terrific Where would you like to take them| [person:willie m 6-6][person:them g(arthur:stanley) 10-10]
willie| I think I want to take them to a museum Do you think they like museums| [person:willie m 0-0][person:willie m 2-2][person:them g(arthur:stanley) 6-6][location:museum s 9-9][person:jim m 11-11][person:they g(arthur:stanley) 13-13][location:museums g() 15-15]
jim| Oh yes that would be great|
willie| What else do they like to do| [person:they g(arthur:stanley) 3-3]
jim| They like baseball Perhaps you could take them to the Cubs game| [person:they g(arthur:stanley) 0-0][person:willie m 4-4][person:them g(arthur:stanley) 7-7]
willie| Oh yes that would be really nice I think they d enjoy that| [person:willie m 7-7][person:they g(arthur:stanley) 9-9]
