conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
natalie| We forgot to discuss who is going to pick them up today| [person:we g(natalie:paul) 0-0][person:kids g(emily:peter) 9-9]
paul| What is your schedule like today| [person:natalie f 2-2]
natalie| It s not terribly busy but I do have a mandatory meeting at 300| [person:natalie f 6-6]
natalie| I won t be able to make it to the school on time to pick up the kids| [person:natalie f 0-0][location:school s 10-10][person:kids g(emily:peter) 17-17]
paul| I have backtoback meetings myself all day Don t the kids have early release today| [person:paul m 0-0][person:paul m 4-4][person:kids g() 10-10]
natalie| Yes they do thank you for remembering| [person:kids g(emily:peter) 1-1][person:paul m 4-4]
paul| Do you think you could pick them up and get them home before your meeting this afternoon| [person:natalie f 1-1][person:natalie f 3-3][person:kids g(emily:peter) 6-6][person:kids g(emily:peter) 10-10][location:home s 11-11][person:natalie f 13-13]
natalie| I will certainly try but you should probably have a backup plan in case I can t get away| [person:natalie f 0-0][person:paul m 5-5][person:natalie f 14-14]
paul| Let s talk around lunch hour see how are days are progressing|
natalie| Sounds good have a good morning|
paul| You too| [person:natalie f 0-0]

conv:people_chats_0520_82:aug_0:chat_0:chataug_0| joe joy| [person:joe m 0-0][person:joy f 1-1]
joe| Hi Joy| [person:joy f 1-1]
joy| whats up joe| [person:joe m 2-2]
joe| I was feeling inspired| [person:joe m 0-0]
joy| me too| [person:joy f 0-0]
joe| we should write some songs| [person:we g(joe:joy) 0-0]
joy| that sounds great|
joe| we should get linda and carey to help because they are amazing songwriters| [person:we g(joe:joy) 0-0][person:linda f 3-3][person:carey m 5-5][person:they g(linda:carey) 9-9]
joy| I like their work but I would prefer not to| [person:joy f 0-0][person:their g(linda:carey) 2-2][person:joy f 5-5]
joe| why is that|
joe| ok well if thats the way it is|
joy| get a bunch of drink|
joy| and get me a pizza| [person:joy f 2-2]

conv:people_chats_0520_83:aug_0:chat_0:chataug_0| issac marcus| [person:issac m 0-0][person:marcus m 1-1]
marcus| Hey Isaac how did work go today|
issac| Work was okay but my mom Carla had an accident| [person:issac m 4-4][person:carla f 5-5][person:carla f 6-6]
marcus| Oh no what happened|
issac| I guess she fell and she had to be taken to the hospital| [person:issac m 0-0][person:carla f 2-2][person:carla f 5-5][location:hospital s 12-12]
marcus| Oh no I m so sorry to hear that How are you| [person:marcus m 2-2][person:issac m 11-11]
issac| It was pretty scary you know I had to leave work early to go see her| [person:marcus m 4-4][person:issac m 6-6][person:carla f 15-15]
marcus| How is she doing now Okay| [person:carla f 2-2]
issac| She s stable but I m still worried about my dad Zachary He s not handling it so well| [person:carla f 0-0][person:issac m 4-4][person:issac m 9-9][person:zachary m 10-10][person:zachary m 11-11][person:zachary m 12-12]
issac| He was pretty upset crying and shaking he was scared he would lose her| [person:zachary m 0-0][person:zachary m 7-7][person:zachary m 10-10][person:carla f 13-13]
marcus| Yeah from what I know of him that sounds right I feel terrible for him| [person:marcus m 3-3][person:zachary m 6-6][person:marcus m 10-10][person:zachary m 14-14]
marcus| I wish I could be there with you to help you through this time I hate the long distance It makes everything so hard| [person:marcus m 0-0][person:marcus m 2-2][person:issac m 7-7][person:issac m 10-10][person:marcus m 14-14]
issac| Don t forget we only have two months left before you re back in Denver then we ll be together again| [person:we g(marcus:issac) 3-3][person:marcus m 10-10][location:denver s 14-14][person:we g(marcus:issac) 16-16]

conv:people_chats_0520_84:aug_0:chat_0:chataug_0| isabella kath| [person:isabella f 0-0][person:kath f 1-1]
kath| My younger brothers Cole and Gilbert are heartbroken over Kobe Bryant s passing| [person:kath f 0-0][person:cole m 3-3][person:gilbert m 5-5][person:kobe m 9-9][person:kobe m 10-10]
isabella| Why were they fans| [person:they g(cole:gilbert) 2-2]
kath| They were very big fans| [person:they g(cole:gilbert) 0-0]
isabella| I think he had a lot of fans| [person:isabella f 0-0][person:kobe m 2-2]
kath| He did have a lot of fans| [person:kobe m 0-0]
isabella| I understand how they feel| [person:isabella f 0-0][person:they g() 3-3]
kath| I wish there was something I could do for them| [person:kath f 0-0][person:kath f 5-5][person:they g(cole:gilbert) 9-9]
isabella| Maybe you can do something nice and just try to comfort them during this time during this| [person:kath f 1-1][person:they g(cole:gilbert) 11-11]
kath| I think you re right| [person:kath f 0-0][person:isabella f 2-2]
isabella| What are you going to do| [person:kath f 2-2]
kath| I m going to try being extra nice to them that might comfort them| [person:kath f 0-0][person:they g(cole:gilbert) 9-9][person:they g(cole:gilbert) 13-13]
isabella| That sounds really good|

conv:people_chats_0520_85:aug_0:chat_0:chataug_0| aiden sonia| [person:aiden m 0-0][person:sonia f 1-1]
sonia| The water filter has arrived|
aiden| Can you please install it| [person:sonia f 1-1]
sonia| I do not know how to| [person:sonia f 0-0]
aiden| Okay fine I will install it later can you drink the tap water for now| [person:aiden m 2-2][person:sonia f 8-8]
sonia| My friend Gemma and her husband Joe got stomach parasites from drinking the tap water| [person:sonia f 0-0][person:gemma f 1-1][person:gemma f 2-2][person:gemma f 4-4][person:joe m 5-5][person:joe m 6-6]
sonia| The city sent an email regarding the water contamination| [location:city s 1-1]
aiden| Oh I messaged Joe to see how he is doing| [person:aiden m 1-1][person:joe m 3-3][person:joe m 7-7]
aiden| He has not replied| [person:joe m 0-0]
aiden| I will install the filter when I get home I am at the gym| [person:aiden m 0-0][person:aiden m 6-6][location:home s 8-8][person:aiden m 9-9][location:gym s 13-13]
sonia| I dont know what to do| [person:sonia f 0-0]

conv:people_chats_0520_86:aug_0:chat_0:chataug_0| greg tommy| [person:greg m 0-0][person:tommy m 1-1]
tommy| Hey just talked to Allen and Oliver and they re in for the hockey game| [person:allen m 4-4][person:oliver m 6-6][person:they g(allen:oliver) 8-8]
greg| Great we re looking at the Sabers and Senators game right| [person:we g(tommy:greg) 1-1]
tommy| Yeah I m stoked to see the Senators I ve been a fan forever| [person:tommy m 1-1][person:tommy m 8-8]
tommy| Let s get good seats even if they re expensive|
greg| Sounds good to me You thinking behind the goal| [person:greg m 3-3][person:tommy m 4-4]
greg| Like just a few rows back maybe|
tommy| That s a good idea can maybe see some of our favorite players| [person:we g(tommy:greg) 10-10]
greg| Are Allen and Oliver Senators fans too| [person:allen m 1-1][person:oliver m 3-3]
tommy| They d better be| [person:they g(allen:oliver) 0-0]
greg| Haha we ll teach them who to cheer for| [person:we g(tommy:greg) 1-1][person:they g(allen:oliver) 4-4]
tommy| Looking forward to it|
greg| I ll start looking for tickets| [person:greg m 0-0]

conv:people_chats_0520_87:aug_0:chat_0:chataug_0| donelle josh| [person:donelle f 0-0][person:josh m 1-1]
josh| Hey Donelle What are you doing this weekend| [person:donelle f 1-1][person:donelle f 4-4]
donelle| We re supposed to film an instructional cooking video this weekend remember| [person:we g(josh:donelle) 0-0]
josh| Oh yeah I m so excited Do you have any ideas for the video| [person:josh m 2-2][person:donelle f 7-7]
donelle| I was thinling of inviting Tanisha and Lorry to be featured in the video They are amazing cooks| [person:donelle f 0-0][person:tanisha f 5-5][person:lorry f 7-7][person:they g(tanisha:lorry) 14-14]
josh| I remember they cooked something for us last time I think they could be a good feature in our Lasagna video| [person:josh m 0-0][person:they g(tanisha:lorry) 2-2][person:we g(josh:donelle) 6-6][person:josh m 9-9][person:they g(tanisha:lorry) 11-11][person:we g(josh:donelle) 18-18]
donelle| Yes So we want them to be in our video then| [person:we g(josh:donelle) 2-2][person:they g(tanisha:lorry) 4-4][person:we g(josh:donelle) 8-8]
josh| Yes that sounds perfect But do you think they will adhere though| [person:donelle f 6-6][person:they g(tanisha:lorry) 8-8]
donelle| What do you mean| [person:josh m 2-2]
josh| Well Lorry and Tanisha told me they didn t like exposure| [person:lorry f 1-1][person:tanisha f 3-3][person:josh m 5-5][person:they g(tanisha:lorry) 6-6]
donelle| Oh Mhm Let me think what I can do about it| [person:donelle f 3-3][person:donelle f 6-6]
donelle| I think I can convince them| [person:donelle f 0-0][person:donelle f 2-2][person:they g(tanisha:lorry) 5-5]
josh| Okay cool Let me know what they say| [person:josh m 3-3][person:they g(tanisha:lorry) 6-6]
donelle| Will do See you this weekend| [person:josh m 3-3]
josh| Bye|

conv:people_chats_0520_88:aug_0:chat_0:chataug_0| kylie tania| [person:kylie f 0-0][person:tania f 1-1]
kylie| Janet and Lourdes have room for you to visit| [person:janet f 0-0][person:lourdes f 2-2][location:room s 4-4][person:tania f 6-6]
tania| When is the best time to fly over|
kylie| I am here for another month| [person:kylie f 0-0]
tania| Ok Are flights cheap|
kylie| Plane tickets may be more expensive since the time is approaching but they are not too bad|
tania| Ok good I have money saved up for a vacation This may be my chance| [person:tania f 2-2][person:tania f 13-13]
kylie| I have talked about you with Lourdes and Janet They would be happy to meet you| [person:kylie f 0-0][person:tania f 4-4][person:lourdes f 6-6][person:janet f 8-8][person:they g(janet:lourdes) 9-9][person:tania f 15-15]
tania| The trip would be so much better if I knew people there| [person:tania f 8-8]
kylie| Yes and I will be happy to show you around| [person:kylie f 2-2][person:tania f 8-8]
kylie| Have you made any other friends there| [person:tania f 1-1][person:friends g() 5-5]
tania| Have you made any other friends there| [person:kylie f 1-1][person:friends g() 5-5]
kylie| I have met a few from my language classes| [person:kylie f 0-0][person:kylie f 6-6]
tania| Very exciting|

conv:people_chats_0520_89:aug_0:chat_0:chataug_0| jerry shannon| [person:jerry m 0-0][person:shannon m 1-1]
shannon| Hey Jerry How are you| [person:jerry m 1-1][person:jerry m 4-4]
jerry| I am well what about you| [person:jerry m 0-0][person:shannon m 5-5]
shannon| I am doing well as well| [person:shannon m 0-0]
jerry| So have you decided which University you want to go to| [person:shannon m 2-2][location:university s 5-5][person:shannon m 6-6]
shannon| No not yet WBU|
jerry| not yet what are your choices| [person:jerry m 4-4]
shannon| I am stuck between York and Unviresity of Toronto| [person:shannon m 0-0][location:york s 4-4][location:toronto s 8-8]
shannon| york is closer but I like toronto cuz its more beautidul| [location:york s 0-0][person:shannon m 4-4][location:toronto s 6-6]
jerry| I think you should consider Ryerson University as my friends Josh and Teresa go to Ryerson and they really enjoy the campus and the school overall| [person:jerry m 0-0][person:shannon m 2-2][person:jerry m 8-8][person:friends g() 9-9][person:josh m 10-10][person:teresa f 12-12][person:friends g(josh:teresa) 17-17]
shannon| Yah that seems like another good one|
shannon| I dont knpw though I still have| [person:shannon m 0-0][person:shannon m 4-4]
shannon| to evulate my options you know| [person:shannon m 2-2][person:jerry m 4-4]
jerry| I see your issue| [person:jerry m 0-0][person:shannon m 2-2]
jerry| lmk if you neeed some help| [person:shannon m 2-2]
jerry| thanks|
shannon| thanks|

conv:people_chats_0520_90:aug_0:chat_0:chataug_0| anna hunter| [person:anna f 0-0][person:hunter m 1-1]
anna| Hey Hunter are you seeing this guy on the first floor He is winning a lot| [person:hunter m 1-1][person:hunter m 3-3][location:first_floor s 10-10][person:nathan m 11-11]
hunter| No I m not Who s table is he at I ll go take a look| [person:hunter m 1-1][location:table s 6-6][person:nathan m 8-8][person:hunter m 10-10]
anna| He s at Paisley s table According to our records his name is Nathan| [person:nathan m 0-0][person:paisley f 3-3][location:table s 5-5][person:we g(anna:hunter) 8-8][person:nathan m 10-10][person:nathan m 13-13]
anna| Also it looks like Paisley s shift is almost up Should we put a tougher dealer at the table to stop him from winning more money| [person:paisley f 4-4][person:we g(anna:hunter) 11-11][person:nathan m 21-21]
hunter| Yes I m here at the table now I see Nathan| [person:hunter m 1-1][location:table s 6-6][person:hunter m 8-8][person:nathan m 10-10]
hunter| That s a good idea Go ahead and tell Paisley to go home let s get another dealer like you said| [person:paisley f 9-9][location:home s 12-12][person:anna f 19-19]
hunter| If he keeps winning like this we might call him up to the counter to stop the streak Anything to get him away from the table| [person:nathan m 1-1][person:we g(anna:hunter) 6-6][person:nathan m 9-9][person:nathan m 21-21][location:table s 25-25]
anna| I just messaged Paisley She is leaving the table now Can you see| [person:anna f 0-0][person:paisley f 3-3][person:paisley f 4-4][location:table s 8-8][person:hunter m 11-11]
hunter| Yep she s leaving And it looks like Nathan just blew his winnings No need to keep watching now Thanks Anna| [person:paisley f 1-1][person:nathan m 8-8][person:nathan m 11-11][person:anna f 20-20]
anna| Sounds good|
anna| You re welcome I ll keep monitoring the floor| [person:hunter m 0-0][person:anna f 3-3][location:floor s 8-8]

conv:people_chats_0520_91:aug_0:chat_0:chataug_0| isla jordan| [person:isla f 0-0][person:jordan m 1-1]
isla| Hi|
isla| How are you| [person:jordan m 2-2]
isla| What do you want to do for Valentine s day| [person:jordan m 2-2]
isla| I think we should do something special| [person:isla f 0-0][person:we g(isla:jordan) 2-2]
jordan| Why do we need to do something special| [person:we g(isla:jordan) 2-2]
