conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
sam| It s too bad Timothy Mitt is striking out all the time though| [person:timothy m 4-4]
jose| I feel you He was supposed to be this top prospect but he s not doing anything| [person:jose m 0-0][person:sam m 2-2][person:timothy m 3-3][person:timothy m 12-12]
sam| Do you think Bill Parker is going to replace him on the lineup| [person:jose m 1-1][person:bill_parker m 3-3][person:bill_parker m 4-4][person:timothy m 9-9]
jose| Maybe Mitt s like 07 at bats They need to give someone a chance| [person:someone u 11-11]
sam| I agree he has to train some more and play less| [person:sam m 0-0][person:timothy m 2-2]
jose| We should really catch a live game They re fun to watch on TV so they must be awesome in person| [person:we g(jose:sam) 0-0]
sam| Definitely they play at home again next week Let s book some tickets| [location:home s 4-4]
jose| Alright it s a plan Let s go Greenhawks|

conv:people_0909_1734_33:aug_0:chat_0:chataug_0| darren wilson| [person:darren m 0-0][person:wilson m 1-1]
wilson| Did you see the game last night| [person:darren m 1-1]
darren| yes i did Jonathan was so bad in the game| [person:darren m 1-1][person:jonathan m 3-3]
wilson| I know right I wonder if Brandon Parker is going to replace him for next game| [person:wilson m 0-0][person:wilson m 3-3][person:brandon_parker m 6-6][person:brandon_parker m 7-7][person:jonathan m 12-12]
darren| I highly suggest that Brandon Parker replace Jonathan for the next game if they want to advance to the final| [person:darren m 0-0][person:brandon_parker m 4-4][person:brandon_parker m 5-5][person:jonathan m 7-7][person:they g() 13-13]
wilson| Yes i agree with you Jonathan missed that easy catch and caused us the game| [person:wilson m 1-1][person:darren m 4-4][person:jonathan m 5-5][person:us g(wilson:darren) 12-12]
darren| Yea it was the worst play i even seen| [person:darren m 6-6]
wilson| Yes i never seen him play this bad before he used to be a super star in the team| [person:wilson m 1-1][person:jonathan m 4-4][person:jonathan m 9-9]
darren| I think he is aged and not as fast as he is before that why he missed the catch| [person:darren m 0-0][person:jonathan m 2-2][person:jonathan m 10-10][person:jonathan m 15-15]
wilson| Yea i agree with you totally| [person:wilson m 1-1][person:darren m 4-4]
darren| Will you go to the next game| [person:wilson m 1-1]
wilson| Yes next game is going to be big Lets buy ticket together for the next game|
darren| OK lets do it|

conv:people_0909_1734_35:aug_0:chat_0:chataug_0| lauren sam| [person:lauren f 0-0][person:sam m 1-1]
sam| Lauren I have something important to talk about with you| [person:lauren f 0-0][person:sam m 1-1][person:lauren f 9-9]
lauren| Alright go on|
sam| It s about our parents| [person:our g(sam:lauren) 3-3][person:parents g() 4-4]
lauren| Let me guess they had another fight| [person:lauren f 1-1][person:parents g() 3-3]
sam| Yeah When we were driving to uncle Ben s last week| [person:our g(sam:lauren) 2-2][person:ben m 7-7]
lauren| Do you know what it was about| [person:sam m 1-1]
sam| No I meant to ask you actually| [person:sam m 1-1][person:lauren f 5-5]
sam| I wanted to know if you have any clue| [person:sam m 0-0][person:lauren f 5-5]
lauren| Well I didn t even know they had a fight so| [person:lauren f 1-1][person:parents g() 6-6]
sam| Yeah I guess not But do you have any idea what it could be| [person:sam m 1-1][person:lauren f 6-6]
lauren| Nope doubt it s the same as last time so I really have no clue| [person:lauren f 10-10]
sam| Ok I see I guess I ll call Garry and see if he knows anything then| [person:sam m 1-1][person:sam m 3-3][person:sam m 5-5][person:garry m 8-8][person:garry m 12-12]
sam| Bye|

conv:people_0909_1734_37:aug_0:chat_0:chataug_0| heather julie| [person:heather f 0-0][person:julie f 1-1]
julie| Hi Heather I m so glad Pastor Ronald asked us to organize things| [person:heather f 1-1][person:julie f 2-2][person:ronald m 7-7][person:us g(julie:heather) 9-9]
heather| Me too it s important to us to play an active role in church| [person:heather f 0-0][location:church s 2-2][person:us g(julie:heather) 6-6][location:church s 13-13]
julie| Do we want to send out invitations| [person:us g(julie:heather) 1-1]
heather| That s one possibility Lisa has the address list she said just to ask if we need it| [person:lisa f 4-4][person:lisa f 9-9][person:us g(julie:heather) 15-15][location:church s 17-17]
julie| What about calling everyone| [person:everyone g() 3-3]
heather| We would need help but it might be the most efficient way to organize things| [person:us g(julie:heather) 0-0][location:church s 5-5]
julie| I ll ask Lisa and Ayesha to help us make the calls| [person:julie f 0-0][person:lisa f 3-3][person:us g(julie:heather) 8-8]
heather| Kim and Jung will probably help too I ll text them now| [person:kim f 0-0][person:heather f 7-7][person:them g(kim) 10-10]
julie| I think it will be fun to call everyone| [person:julie f 0-0][location:church s 2-2][person:everyone g() 8-8]
heather| Yeah I ll order pizza too| [person:heather f 1-1]

conv:people_0909_1734_39:aug_0:chat_0:chataug_0| danielle joyce| [person:danielle f 0-0][person:joyce f 1-1]
danielle| Hey Joyce how are you| [person:joyce f 1-1][person:joyce f 4-4]
joyce| I m good Danielle how are you| [person:joyce f 0-0][person:danielle f 3-3][person:danielle f 6-6]
danielle| Good I wanted to talk about the church event Pastor Derek asked us to set up| [person:danielle f 1-1][location:the_church s 6-7][person:derek m 10-10][person:us g(danielle:joyce) 12-12]
joyce| Oh yeah I was thinking we should contact Lisa for the address list| [person:joyce f 2-2][person:we g(danielle:joyce) 5-5][person:lisa f 8-8]
danielle| Oh so you were thinking about sending out invitations through mail| [person:joyce f 2-2]
joyce| Yeah did you have any other ideas| [person:danielle f 2-2]
danielle| Not really I think we should team up with some other people to see what they have in mind| [person:danielle f 2-2][person:we g(danielle:joyce) 4-4][person:they g() 15-15]
joyce| Yeah that s a good idea maybe we should call them instead| [person:we g(danielle:joyce) 7-7][person:they g() 10-10]
danielle| Yeah I think that s a good idea I ll reach out to some people now| [person:danielle f 1-1][person:danielle f 8-8]
joyce| Okay great Let me know if you me to do anything| [person:joyce f 3-3][person:danielle f 6-6][person:joyce f 7-7]

conv:people_0909_1734_40:aug_0:chat_0:chataug_0| jessica terry| [person:jessica f 0-0][person:terry m 1-1]
terry| How are our parents doing| [person:our g(terry:jessica) 2-2][person:parents g() 3-3]
jessica| well I got into a fight with them| [person:jessica f 1-1][person:parents g() 7-7]
terry| when did that happen|
jessica| Last week on a drive to Uncle Ben| [person:ben m 7-7]
terry| what was the issue|
jessica| There was no issue|
terry| You don t wanna talk about it| [person:jessica f 0-0]
jessica| No I really do not| [person:jessica f 1-1]
terry| I will call Nathan then| [person:terry m 0-0][person:nathan m 3-3]
jessica| that is a good idea|

conv:people_0909_1734_41:aug_0:chat_0:chataug_0| donna gloria| [person:donna f 0-0][person:gloria f 1-1]
gloria| Hey Donna Did you hear anything about Cheryl s injury today| [person:donna f 1-1][person:donna f 3-3][person:cheryl f 7-7]
donna| Yeah I did actually Rumor has it that Leslie might take her place until she heals up| [person:donna f 1-1][location:it s 6-6][person:leslie f 8-8][person:cheryl f 11-11][location:it s 12-12][person:cheryl f 14-14]
gloria| I m not sure that Leslie is ready to take over for her or not| [person:gloria f 0-0][person:leslie f 5-5][person:cheryl f 12-12]
donna| Me either right now But we don t have much of a choice I think she will manage| [person:donna f 0-0][person:we g(gloria:donna) 5-5][person:donna f 13-13][person:leslie f 15-15]
gloria| She has been practicing very hard lately Let s give her the benefit of the doubt| [person:leslie f 0-0][person:leslie f 10-10]
donna| Poor Cheryl though I know she loves playing soccer It must be hard on her to have sit on the sideline| [person:cheryl f 1-1][person:donna f 3-3][person:cheryl f 5-5][location:it s 9-9][person:cheryl f 14-14]
gloria| It s okay She ll heal up and be back on the field in no time| [location:it s 0-0][person:cheryl f 3-3]
donna| Yeah you are right We have to keep a positive attitude about it| [person:gloria f 1-1][person:we g(gloria:donna) 4-4][location:it s 12-12]
gloria| That s the right attitude I gotta go finish up some work though I ll message you later okay| [person:gloria f 5-5][person:gloria f 13-13][person:donna f 16-16]
donna| Sounds good I ll talk to you soon Have a good evening| [person:donna f 2-2][person:gloria f 6-6]

conv:people_0909_1734_44:aug_0:chat_0:chataug_0| frances teresa| [person:frances f 0-0][person:teresa f 1-1]
teresa| Hi Frances How are you today I m thinking of having a dinner party| [person:frances f 1-1][person:frances f 4-4][person:teresa f 6-6][location:dinner s 12-12]
frances| I m good thanks I love dinner parties| [person:frances f 0-0][person:frances f 4-4][location:dinner s 6-6]
teresa| Gary and I would love to have you and Dean over next week Is there a night that works best for you| [person:gary m 0-0][person:teresa f 2-2][person:frances f 7-7][location:dinner g() 14-14][person:frances f 21-21]
frances| Let me check our calendar We are not available on Tuesday but the other days might work I would need to check with Sean| [person:frances f 1-1][person:our g(frances) 3-3][person:our g(frances) 5-5][person:frances f 17-17][person:sean m 23-23]
teresa| Okay Tuesday night doesn t work for us but are open the other days| [person:us g(teresa:gary) 7-7]
frances| Wednesday might be a good evening being hump day and all|
teresa| Wednesday would fork for Gary and myself| [person:gary m 4-4][person:teresa f 6-6]
frances| Hang on let me check with Sean Okay I m back Sean said he would love to come Wednesday| [person:frances f 3-3][person:sean m 6-6][person:frances f 8-8][person:sean m 11-11][person:sean m 13-13]
teresa| Perfect How about 6pm on Wednesday And no you don t need to bring anything| [person:frances f 8-8]
frances| Sounds good Thanks for asking us and we will see you next week Bye| [person:us g(frances:sean) 5-5][person:us g(frances:sean) 7-7][person:teresa f 10-10]

conv:people_0909_1734_45:aug_0:chat_0:chataug_0| arthur debra| [person:arthur m 0-0][person:debra f 1-1]
debra| Hello|
arthur| How are you| [person:debra f 2-2]
debra| Fine good|
arthur| Ziken This is a problem that we also face in our gradestandard What can we do in this matter yaar| [person:we g(debra:arthur) 6-6][person:our g(debra:arthur) 10-10][person:we g(debra:arthur) 14-14]
debra| The quality of education depends on the classrooms the standards of their teaching facilities in the school etc If these are not proper it is very bad|
arthur| But what we can do The administration does not provide good infrastructure There is not good clean filter water even available We are suffering| [person:we g(debra:arthur) 2-2][person:we g(debra:arthur) 21-21]
debra| We have tough competition to face for entering the next level| [person:we g(debra:arthur) 0-0]
arthur| Well perhaps we have to pay more to get additional facilities| [person:we g(debra:arthur) 2-2]
debra| Ha yaar It is disappointing We need a good change in the institute for the future| [person:we g(debra:arthur) 5-5]
arthur| I have to go to the class in about 5 minutes We shall discuss| [person:arthur m 0-0][person:we g(debra:arthur) 11-11]
debra| Okay we will| [location:ziken___this_is_a_problem_that_we_also_face_in_our_grade_standard__what__can_we_do_in_this_matter__yaar__ g() 0-0][person:we g(debra:arthur) 1-1]
arthur| k Bye|
debra| Bye see u later| [person:arthur m 2-2]

conv:people_0909_1734_46:aug_0:chat_0:chataug_0| denise melissa| [person:denise f 0-0][person:melissa f 1-1]
melissa| When can we meet for dinner| [person:we g(melissa:denise) 2-2]
denise| I will have to confirm with Donald| [person:denise f 0-0][person:donald m 6-6]
melissa| Peter and I are available next week p| [person:peter m 0-0][person:melissa f 2-2]
denise| Well you know how complicated Donald s job can be| [person:melissa f 1-1][person:donald m 5-5]
melissa| Well ask him so we can confirm plans| [person:donald m 2-2][person:we g(melissa:denise) 4-4]
denise| Give me a few minutes I am going to call him| [person:denise f 1-1][person:denise f 5-5][person:donald m 10-10]
melissa| Ok I eagerly await your answer| [person:melissa f 1-1][person:denise f 4-4]
denise| I just spoke to him He said next Friday would be great| [person:denise f 0-0][person:donald m 4-4][person:donald m 5-5]
melissa| Well I will see you then| [person:melissa f 1-1][person:denise f 4-4]
denise| I am looking forward to seeing you| [person:denise f 0-0][person:melissa f 6-6]

conv:people_0909_1734_48:aug_0:chat_0:chataug_0| catherine rebecca| [person:catherine f 0-0][person:rebecca f 1-1]
