conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
sabrina| How can they help| [person:they g(nat:nick) 2-2]
moiz| They should help us packing lunches and the younger ones are dressed up properly| [person:they g(nat:nick) 0-0][person:we g(sabrina:moiz) 3-3]
moiz| That consumes most of our time| [person:we g(sabrina:moiz) 4-4]
sabrina| Yeah that will be good|
sabrina| I shall discuss with them| [person:sabrina f 0-0][person:they g(nat:nick) 4-4]
sabrina| Bye now Moiz| [person:moiz m 2-2]
moiz| Sabrina If you want I shall talk with them| [person:sabrina f 0-0][person:sabrina f 2-2][person:moiz m 4-4][person:they g(nat:nick) 8-8]
sabrina| No I shall discuss with them You are correct that only such help is needed from them to make our things easier| [person:sabrina f 1-1][person:they g(nat:nick) 5-5][person:moiz m 6-6][person:they g(nat:nick) 16-16][person:we g(sabrina:moiz) 19-19]

conv:people_chats_04182020_501:aug_0:chat_0:chataug_0| beverly jane| [person:beverly f 0-0][person:jane f 1-1]
jane| Hello Beverly are you busy Want some help from you| [person:beverly f 1-1][person:beverly f 3-3][person:beverly f 9-9]
beverly| Just came from office If I can I will definitely do it| [location:office s 3-3][person:beverly f 5-5][person:beverly f 7-7]
jane| Day after tomorrow is Stephan s birthday I want to plan a surprise for him Give me some suggestions about the plan| [person:stephan m 4-4][person:jane f 7-7][person:stephan m 14-14][person:jane f 16-16]
beverly| Wow that really great that you are planning a surprise birthday for him| [person:jane f 5-5][person:stephan m 12-12]
jane| Yeah This is the first time I am planning for him So it should have to be very special| [person:jane f 6-6][person:stephan m 10-10]
beverly| Well then you should plan a candle night dinner just beside the pool at Sasha s place| [person:jane f 2-2][person:sasha f 14-14][location:place s 16-16]
jane| That s not at all a good idea because Stephan don t like her| [person:stephan m 9-9][person:sasha f 13-13]
beverly| But why Last time when we all went together for movie and they both where interacting properly| [person:we g(jane:beverly:stephan:sasha) 5-5][person:they g(stephan:sasha) 12-12]
jane| That s true but after that meeting Stephan told me that he was not comfortable with Sasha| [person:stephan m 7-7][person:jane f 9-9][person:stephan m 11-11][person:sasha f 16-16]
beverly| Okay then we have to think about some other place for the dinner| [person:we g(jane:beverly) 2-2][location:place s 9-9]

conv:people_chats_04182020_502:aug_0:chat_0:chataug_0| damien shane| [person:damien m 0-0][person:shane m 1-1]
shane| Hello Damien how are you doing what are you planning for this weekend| [person:damien m 1-1][person:damien m 4-4][person:damien m 8-8]
damien| Hi Shane I m doing good and no plans bro Just casual| [person:shane m 1-1][person:damien m 2-2]
shane| Bro shall we plan this weekend at the beach and will throw a football around| [person:we g(shane:damien) 2-2]
damien| Sure bro we shall invite our friends Aubrey Jacky| [person:we g(shane:damien) 2-2][person:s_d g(shane:damien) 5-5][person:friends g() 6-6][person:aubrey f 7-7][person:jacky f 8-8]
shane| Yeah bro but I think they want to play volleyball instead| [person:shane m 3-3][person:friends g(aubrey:jacky) 5-5]
damien| Then what shall we do bro do you have any idea| [person:we g(shane:damien) 3-3][person:shane m 7-7]
shane| Okay bro I shall bring a soccer ball so that Aubrey Jacky they can even enjoy| [person:shane m 2-2][person:aubrey f 10-10][person:jacky f 11-11][person:friends g(aubrey:jacky) 12-12]
damien| Alright bro that s a good idea because Jacky is a varsity soccer player| [person:jacky f 8-8]
shane| But bro there is no soccer ball what shall we do| [person:we g(shane:damien) 9-9]
damien| Firstly let s go and then proceed accordingly|

conv:people_chats_04182020_503:aug_0:chat_0:chataug_0| beth sarah| [person:beth f 0-0][person:sarah f 1-1]
sarah| Hey Beth I am so excited for our trip to the lake| [person:beth f 1-1][person:sarah f 2-2][person:our g(sarah:beth) 7-7][location:lake s 11-11]
beth| Me too It s been so long that we met Stewart| [person:beth f 0-0][person:our g(sarah:beth) 8-8][person:stewart m 10-10]
sarah| Yeah finally we can have a look at his new sailboat| [person:our g(sarah:beth) 2-2][person:stewart m 8-8]
beth| Sarah can I also invite Edmund to the lake| [person:sarah f 0-0][person:beth f 2-2][person:edmund m 5-5][location:lake s 8-8]
sarah| No I think that s a bad idea I don t think we should invite him| [person:sarah f 1-1][person:sarah f 8-8][person:our g(sarah:beth) 12-12][person:edmund m 15-15]
beth| Why do you think so He s a great guy You ll enjoy his company| [person:sarah f 2-2][person:edmund m 5-5][person:sarah f 10-10][person:edmund m 13-13]
sarah| I am sure that s true But we can t invite him because Stewart and Edmund have history| [person:sarah f 0-0][person:our g(sarah:beth) 7-7][person:edmund m 11-11][person:stewart m 13-13][person:edmund m 15-15]
beth| Is that so I had no idea What history do they have| [person:beth f 3-3][person:they g(stewart:edmund) 10-10]
sarah| Stewart started dating his current girlfriend when she was still married but separated from Edmund| [person:stewart m 0-0][person:stewart m 3-3][person:girlfriend f 5-5][person:girlfriend f 7-7][person:edmund m 14-14]
beth| I didn t expect such a thing from Stewart I guess you are right It is better not to invite Edmund| [person:beth f 0-0][person:stewart m 8-8][person:beth f 9-9][person:sarah f 11-11][person:edmund m 20-20]

conv:people_chats_04182020_505:aug_0:chat_0:chataug_0| randy vivian| [person:randy m 0-0][person:vivian f 1-1]
randy| Hey Vivian what are you doing| [person:vivian f 1-1][person:vivian f 4-4]
vivian| I was just going through my high school pictures I feel so nostalgic| [person:vivian f 0-0][person:vivian f 5-5][person:vivian f 9-9]
randy| Those were good times weren t they|
vivian| Yes I miss having fun with my best friends| [person:vivian f 1-1][person:vivian f 6-6][person:friends g() 8-8]
randy| Of course By the way who are your best friends| [person:vivian f 7-7][person:friends g() 9-9]
vivian| Their names are Juliet Sue and Judi I miss them a lot| [person:friends g() 0-0][person:juliet f 3-3][person:sue f 4-4][person:judi f 6-6][person:vivian f 7-7][person:friends g(juliet:sue:judi) 9-9]
randy| Why don t you keep in touch with them through facetime| [person:vivian f 3-3][person:friends g(juliet:sue:judi) 8-8]
vivian| That s a great idea Randy Thank you| [person:randy m 5-5][person:randy m 7-7]
randy| I m happy that you re happy Vivian| [person:randy m 0-0][person:vivian f 4-4][person:vivian f 7-7]
vivian| I ll facetime them right now| [person:vivian f 0-0][person:friends g(juliet:sue:judi) 3-3]

conv:people_chats_04182020_506:aug_0:chat_0:chataug_0| cory tina| [person:cory m 0-0][person:tina f 1-1]
cory| HII|
tina| HII|
cory| HOW ARE YOU| [person:tina f 2-2]
tina| I AM FINE| [person:tina f 0-0]
tina| WHAT MATTER CORY| [person:cory m 2-2]
cory| MY WORK PARTY IS COMING UP ON TUESDAY NIGHT| [person:cory m 0-0]
tina| OHOO NICE|
cory| BUT I AM NOT GO TO ALONE| [person:cory m 1-1]
cory| SO YOU JOIN WITH ME THE PARTY| [person:tina f 1-1][person:cory m 4-4]
tina| OK I WILL JOIN THE PARTY| [person:tina f 1-1]
cory| because i am isn t sure would know anyone at the party and wouldn t be comfortable| [person:cory m 1-1][person:anyone g() 8-8]
cory| my other friends Jake and Ann will also be attending the party| [person:cory m 0-0][person:friends g() 2-2][person:jake m 3-3][person:ann f 5-5]
tina| wow super|
cory| i will check with them to confirm| [person:cory m 0-0][person:friends g(jake:ann) 4-4]
tina| ok you will check with them to confirm| [person:cory m 1-1][person:friends g(jake:ann) 5-5]
tina| whick place we are going to the party| [location:place s 1-1][person:we g(cory:tina:jake:ann) 2-2]
cory| 3 star hotel| [location:place s 2-2]
cory| what reason for the content of this party|
tina| my office employees are rich the target| [person:tina f 0-0][location:office s 1-1]
tina| so manager arrange the party| [person:manager u 1-1]
cory| my friends joke and ann tells that they plan to attend the party| [person:cory m 0-0][person:friends g(jake:ann) 1-1][person:ann f 4-4][person:friends g(jake:ann) 7-7]
cory| please you also join with the party| [person:tina f 1-1]
tina| yes i am really join with the party| [person:tina f 1-1]

conv:people_chats_04182020_509:aug_0:chat_0:chataug_0| andrew chuck| [person:andrew m 0-0][person:chuck m 1-1]
andrew| Hey Chuck Just want to remind you to pay the rent| [person:chuck m 1-1][person:chuck m 6-6]
chuck| Hi Andrew I don t know if I ll be able to pay my rent for this month| [person:andrew m 1-1][person:chuck m 2-2][person:chuck m 7-7][person:chuck m 13-13]
andrew| What s the matter Chuck Is everything alright| [person:chuck m 4-4]
chuck| I got fired from my job last week| [person:chuck m 0-0][person:chuck m 4-4]
andrew| That s unfortunate Why did they fire you| [person:they g() 5-5][person:chuck m 7-7]
chuck| It s a long story I m really worried about how to pay my rent though| [person:chuck m 5-5][person:chuck m 13-13]
andrew| You should talk to Francis and Zack and try to borrow money from them| [person:chuck m 0-0][person:francis m 4-4][person:zack m 6-6][person:them g(francis:zack) 13-13]
chuck| I really don t want to do that| [person:chuck m 0-0]
andrew| Why I think that s the best option for you right now| [person:andrew m 1-1][person:chuck m 9-9]
chuck| I just don t like to ask people for money especially my roommates| [person:chuck m 0-0][person:chuck m 11-11]

conv:people_chats_04182020_510:aug_0:chat_0:chataug_0| deborah susie| [person:deborah f 0-0][person:susie f 1-1]
susie| Hey babe Are you done with the homework given to us today I m unable to substitute the formulas What s up with you| [person:deborah f 1-1][person:deborah f 3-3][person:us g(susie:deborah) 10-10][person:susie f 12-12][person:deborah f 23-23]
deborah| Hello babe I m not yet done and I don t feel like doing it as well I prepared myself to take punishment in front of all the boys tomorrow D| [person:deborah f 2-2][person:deborah f 8-8][person:deborah f 17-17][person:deborah f 19-19][person:boys g() 28-28]
susie| Please don t let your pride go down Alexander being a class topper he must have done the work Shall we ask him for the help| [person:deborah f 4-4][person:alexander m 8-8][person:class g() 11-11][person:alexander m 13-13][person:us g(susie:deborah) 20-20][person:alexander m 22-22]
deborah| Are you talking to Alexander He seems cute in the class and I haven t talked to him even once So please tell him to guide me as well| [person:susie f 1-1][person:alexander m 4-4][person:alexander m 5-5][person:class g() 10-10][person:deborah f 12-12][person:alexander m 17-17][person:alexander m 23-23][person:deborah f 26-26]
susie| What you did not talk to him Then who else wrote the letter to Alexander Ms DRAMA QUEEN| [person:deborah f 1-1][person:alexander m 6-6][person:alexander m 14-14]
deborah| Hey why you spying on me Do you think is it fair to get into someone s personal life How do you know that I wrote a letter to Alexander| [person:susie f 2-2][person:deborah f 5-5][person:susie f 7-7][person:deborah f 15-15][person:susie f 21-21][person:deborah f 24-24][person:alexander m 29-29]
susie| Lucas told me He also told me how deep the feelings in the letter was You re a cheater You broke our code| [person:lucas m 0-0][person:susie f 2-2][person:lucas m 3-3][person:susie f 6-6][person:deborah f 15-15][person:deborah f 19-19][person:us g(susie:deborah) 21-21]
deborah| I was not intentional to do that It just happened and I ve no idea what I have done and FYI it is not a love letter I still wonder how Lucas got to know all these stuff Is he also spying on Alexander P| [person:deborah f 0-0][person:deborah f 11-11][person:deborah f 16-16][person:deborah f 27-27][person:lucas m 31-31][person:lucas m 39-39][person:alexander m 43-43]
susie| Lucas was at Alexander s place when the letter arrived Alexander made Lucas to read it since he is sleepy That s how Lucas got to know| [person:lucas m 0-0][person:alexander m 3-3][location:place s 5-5][person:alexander m 10-10][person:lucas m 12-12][person:alexander m 17-17][person:lucas m 23-23]
deborah| Oh Jesus I hope he will not spread the same in the college tomorrow Please tell him to mind his own business I will see you in class tomorrow CYA| [person:deborah f 2-2][person:lucas m 4-4][person:lucas m 16-16][person:lucas m 19-19][person:deborah f 22-22][person:susie f 25-25][person:class g() 27-27]

conv:people_chats_04182020_516:aug_0:chat_0:chataug_0| kate rachel| [person:kate f 0-0][person:rachel f 1-1]
kate| Hey Rachel My parents are leaving to California tonight and I will be alone thereafter| [person:rachel f 1-1][person:kate f 2-2][person:parents g() 3-3][person:kate f 10-10]
rachel| That s lovely Kate We will watch The Office In your home along with some beer and food Would you like to invite some more people| [person:kate f 3-3][person:we g(kate:rachel) 4-4][person:rachel f 10-10][person:rachel f 19-19]
