conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
keith| Yes I m super excited can t believe we haven t seen them since we graduate from college a few years ago| [person:keith m 1-1][person:we g(keith:emily) 8-8][person:them g(clyde:shirley) 12-12][person:we g(keith:emily) 14-14]
emily| Same here I m excited to spend a summer with them it ll be just like the old days| [person:emily f 2-2][person:them g(clyde:shirley) 10-10]
keith| Definitely that s why I want to make it one to remember What do you think we should bring| [person:keith m 4-4][person:emily f 14-14][person:we g(keith:emily) 16-16]
emily| Well let s bring our old board games and some beer Lots of beer actually| [person:our g(keith:emily) 4-4]
keith| Yes just like the old times I can pick you up before we head there what time do you want to leave on Saturday| [person:keith m 6-6][person:emily f 9-9][person:we g(keith:emily) 12-12][person:emily f 18-18]
emily| Let s try to beat the other people heading out of town how does 6 am sound| [location:town s 11-11]
keith| Sounds good OK I ll drive as long as you take care of the boardgames and beer| [person:keith m 3-3][person:emily f 9-9]
emily| Sounds like a good plan see you on Saturday| [person:keith m 6-6]
keith| See ya soon can t wait for all of us to be together once again| [person:us g(keith:emily) 9-9]

conv:people_2019082201_291:aug_0:chat_0:chataug_0| alice jack| [person:alice f 0-0][person:jack m 1-1]
jack| Alice are you ready for the breakfast| [person:alice f 0-0][person:alice f 2-2]
alice| Yes i am so ready| [person:alice f 1-1]
jack| So what do you think we should cook for breakfast| [person:alice f 3-3][person:we g(jack:alice) 5-5]
alice| Thats a good question I think we need to find out what everyone likes first| [person:alice f 4-4][person:we g(jack:alice) 6-6][person:everyone g() 12-12]
jack| Yea i know that Julie and Kelly really likes breakfast taco and Steve and Alexander are big fan of pancake| [person:jack m 1-1][person:julie f 4-4][person:kelly f 6-6][person:steve m 12-12][person:alexander m 14-14]
alice| ok maybe we should just get both breakfast taco and pancake what do you think| [person:we g(jack:alice) 2-2][person:jack m 13-13]
jack| I think that would be a good idea| [person:jack m 0-0]
alice| Yea i think so too that way everyone will have their favorite food on the table| [person:alice f 1-1][person:everyone g(julie:kelly:steve:alexander) 7-7][person:everyone g(julie:kelly:steve:alexander) 10-10]
jack| Ok perfect thats do that|
alice| Also are you going to pick up all the item on the way home from work| [person:jack m 2-2][location:home s 13-13]
jack| Yea i can what do you need me to pick up| [person:jack m 1-1][person:alice f 5-5][person:jack m 7-7]
alice| I was thinking maybe you can pick up all the items neccessary to prepare for taco and pancake| [person:alice f 0-0][person:jack m 4-4]
jack| ok i think i can do that The supermarket is just right around the corner| [person:jack m 1-1][person:jack m 3-3]
alice| Ok great that will make things a lot easier|
jack| Perfect i can t wait for the get together tomorrow morning| [person:jack m 1-1]
alice| Oh yeah me too| [person:alice f 2-2]

conv:people_2019082201_295:aug_0:chat_0:chataug_0| chris sam| [person:chris m 0-0][person:sam m 1-1]
chris| Hey Sam| [person:sam m 1-1]
sam| Hey man what s up|
chris| Not too much just trying to figure out what we should bring for the Howards for this party| [person:we g(chris:sam) 9-9][person:howards g() 14-14]
sam| Hmm yeah I m not certain what they like really| [person:sam m 2-2][person:howards g() 7-7]
chris| We could always ask mike| [person:we g(chris:sam) 0-0][person:mike m 4-4]
sam| Oh yeah he knows them pretty well I bet he d know| [person:mike m 2-2][person:howards g() 4-4][person:sam m 7-7][person:mike m 9-9]
chris| Hold on let me text him real quick and ask about them| [person:chris m 3-3][person:mike m 5-5][person:howards g() 11-11]
chris| Okay he said that they like wine| [person:mike m 1-1][person:howards g() 4-4]
sam| Great should we get them a red or a white did he say| [person:we g(chris:sam) 2-2][person:howards g() 4-4][person:mike m 11-11]
chris| he said they dont really care do you have a preference| [person:mike m 0-0][person:howards g() 2-2][person:sam m 7-7]
sam| Not really how about you| [person:chris m 4-4]
chris| I think we should go for a red it pairs well with the food| [person:chris m 0-0][person:we g(chris:sam) 2-2]
sam| Sounds good let s head there|

conv:people_2019082201_297:aug_0:chat_0:chataug_0| alan nate| [person:alan m 0-0][person:nate m 1-1]
alan| Hey Nate How are you doing| [person:nate m 1-1][person:nate m 4-4]
nate| Hey Alan Yeah I am fine| [person:alan m 1-1][person:nate m 3-3]
nate| What about you| [person:alan m 2-2]
alan| Yeah I am Good| [person:alan m 1-1]
alan| Are you free tomorrow| [person:nate m 1-1]
nate| Yeah What happened Alan| [person:alan m 3-3]
alan| Want to go night out|
nate| Just you and me| [person:alan m 1-1][person:nate m 3-3]
alan| No I am inviting Angela and Noah also| [person:alan m 1-1][person:angela f 4-4][person:noah m 6-6]
alan| Can you ask them whether they are free or not| [person:nate m 1-1][person:them g(angela:noah) 3-3][person:them g(angela:noah) 5-5]
nate| Oh okay Let me ask them| [person:nate m 3-3][person:them g(angela:noah) 5-5]
alan| If they are not convenient tomorrow ask them on what day and time are they free| [person:them g(angela:noah) 1-1][person:them g(angela:noah) 7-7][person:them g(angela:noah) 14-14]
nate| Sure Alan Let me discuss with them and tell you| [person:alan m 1-1][person:nate m 3-3][person:them g(angela:noah) 6-6][person:alan m 9-9]
alan| Okay then Bye|
nate| See you| [person:alan m 1-1]

conv:people_2019082201_298:aug_0:chat_0:chataug_0| bob rebecca| [person:bob m 0-0][person:rebecca f 1-1]
bob| Hi Rebecca I am trying to find a concert to attend Have any recommendations for me| [person:rebecca f 1-1][person:bob m 2-2][person:bob m 15-15]
rebecca| well I did go to a few over the past few months with Tim and Mary| [person:rebecca f 1-1][person:tim m 13-13][person:mary f 15-15]
bob| Which one was your favorite| [person:rebecca f 3-3]
rebecca| I much preferred the Country Music concert It was very nice| [person:rebecca f 0-0][location:country s 4-4]
bob| What about Tim what did he like| [person:tim m 2-2][person:tim m 5-5]
rebecca| Tim has different taste than I do He liked the hard rock music| [person:tim m 0-0][person:rebecca f 5-5][person:tim m 7-7]
bob| How about Mary What was her favorite| [person:mary f 2-2][person:mary f 5-5]
rebecca| Mary enjoyed both I don t think she had a favorite| [person:mary f 0-0][person:rebecca f 3-3][person:mary f 7-7]
bob| I tend to get headaches when there is too much noise| [person:bob m 0-0]
rebecca| You should go to the Country Music concert then| [person:bob m 0-0][location:country s 5-5]
bob| Thanks I make just do that| [person:bob m 1-1]

conv:people_2019082201_299:aug_0:chat_0:chataug_0| barbara dorothy| [person:barbara f 0-0][person:dorothy f 1-1]
barbara| Hi dear are you free now| [person:dorothy f 3-3]
dorothy| Yes Barbara I am free now Anything important| [person:barbara f 1-1][person:dorothy f 2-2]
barbara| What about our planning to go to movie with our friends Hannah and Kathryn| [person:our g(barbara:dorothy) 2-2][person:our g(barbara:dorothy) 9-9][person:friends g() 10-10][person:hannah f 11-11][person:kathryn f 13-13]
dorothy| I am eagerly waiting for that day dear| [person:dorothy f 0-0]
barbara| What will be the convenient day for you Hannah and Kathryn told me that weekend will be a good option I too free on that day What about you dear| [person:dorothy f 7-7][person:hannah f 8-8][person:kathryn f 10-10][person:barbara f 12-12][person:barbara f 20-20][person:dorothy f 28-28]
dorothy| I am also free on that day So it is okay for me too Which genre of movie we are going to see| [person:dorothy f 0-0][person:dorothy f 12-12][person:we g(barbara:dorothy:hannah:kathryn) 18-18]
barbara| I am interested in watching drama movies But Hannah and Kathryn told me that they prefer action movies What is your preference| [person:barbara f 0-0][person:hannah f 8-8][person:kathryn f 10-10][person:barbara f 12-12][person:friends g(hannah:kathryn) 14-14][person:dorothy f 20-20]
dorothy| Don t mistake me dear I am also interested in action movies What is your final decision Anything will be okay for me| [person:dorothy f 3-3][person:dorothy f 5-5][person:barbara f 14-14][person:dorothy f 22-22]
barbara| Majority of the person s decision will be a final one I am okay with action movie too So let us go to action movie| [person:barbara f 11-11][person:we g(barbara:dorothy:hannah:kathryn) 20-20]
dorothy| Thank you so much dear Hannah and Kathryn will be happy to hear this We will have the fantastic day on that day Call you later dear Bye| [person:barbara f 1-1][person:hannah f 5-5][person:kathryn f 7-7][person:we g(barbara:dorothy:hannah:kathryn) 14-14][person:barbara f 24-24]
barbara| Bye dear|

conv:people_2019082201_300:aug_0:chat_0:chataug_0| peter raymond| [person:peter m 0-0][person:raymond m 1-1]
peter| Hey Raymond We still on for lunch this afternoon| [person:raymond m 1-1][person:we g(peter:raymond) 2-2]
raymond| Hell yeah we are my dude I didn t get breakfast this morning so I m really hungry| [person:we g(peter:raymond) 2-2][person:raymond m 4-4][person:raymond m 6-6][person:raymond m 14-14]
peter| Same here man So I ll see you there at 1230| [person:peter m 4-4][person:raymond m 7-7]
raymond| For sure And hey can we invite Eddie and Ivan We haven t hung out with them in a while| [person:we g(peter:raymond) 5-5][person:eddie m 7-7][person:ivan m 9-9][person:we g(peter:raymond) 10-10][person:them g(eddie:ivan) 16-16]
peter| I don t know man Ivan is cool but Eddie has a weird obsession with burgers| [person:peter m 0-0][person:ivan m 5-5][person:eddie m 9-9]
raymond| What s wrong with that Burgers are tasty as hell|
peter| No man He s REALLY weird about it Like he refuses to eat anything but burgers and when he does he looks like he wants to make love to it| [person:eddie m 2-2][person:eddie m 9-9][person:eddie m 18-18][person:eddie m 20-20][person:eddie m 23-23]
raymond| Hahaha you re kidding I HAVE to see this for myself Let s hit up that new burger spot on Road Street Lane| [person:peter m 1-1][person:raymond m 4-4][person:raymond m 10-10][location:road s 20-20][location:street s 21-21]
peter| Alright Ray but don t say I didn t warn you See you then| [person:peter m 6-6][person:raymond m 10-10][person:raymond m 12-12]
raymond| Lol I m not sure if I believe you I guess we ll find out See you| [person:raymond m 1-1][person:raymond m 6-6][person:peter m 8-8][person:raymond m 9-9][person:we g(peter:raymond) 11-11][person:peter m 16-16]

conv:people_2019082201_301:aug_0:chat_0:chataug_0| denise jason| [person:denise f 0-0][person:jason m 1-1]
jason| what is a good beach to go to| [location:beach s 4-4]
denise| I am not sure to be honest Maybe Huntington Beach| [person:denise f 0-0][location:beach s 9-9]
jason| Is that in Cali|
denise| Yes it is|
jason| Maybe I will go there| [person:jason m 1-1]
denise| I actually went there with Jack and Mary recently| [person:denise f 0-0][person:jack m 5-5][person:mary f 7-7]
jason| was it a lot of fun|
denise| Yes it was|
jason| I definitely wanna go then| [person:jason m 0-0]
denise| We went to the pier and a lot of different shops too| [person:we g(denise:jack:mary) 0-0]
jason| is the water good|
denise| Yes very cold but nice|

conv:people_2019082201_303:aug_0:chat_0:chataug_0| carolyn malcolm| [person:carolyn f 0-0][person:malcolm m 1-1]
malcolm| Would you like to join me Theresa Helen and John this weekend| [person:carolyn f 1-1][person:malcolm m 5-5][person:theresa f 6-6][person:helen f 7-7][person:john m 9-9]
carolyn| Oh Malcolm I barely know your friends| [person:malcolm m 1-1][person:carolyn f 2-2][person:malcolm m 5-5][person:friends g(theresa:john:helen) 6-6]
malcolm| They are really cool people I think you d enjoy being with them| [person:they g(theresa:john:helen) 0-0][person:malcolm m 5-5][person:carolyn f 7-7][person:them g(theresa:john:helen) 12-12]
carolyn| Well can you tell me more about them| [person:malcolm m 2-2][person:carolyn f 4-4][person:them g(theresa:john:helen) 7-7]
malcolm| Sure Theresa and Helen go to my church John I met in college| [person:theresa f 1-1][person:helen f 3-3][person:malcolm m 6-6][location:church s 7-7][person:john m 8-8][person:malcolm m 9-9]
carolyn| What are their hobbies or interests| [person:their g(theresa:john:helen) 2-2]
malcolm| Well Helen loves to cook just like you| [person:helen f 1-1][person:carolyn f 7-7]
carolyn| Really what style cooking does she seem to like| [person:helen f 5-5]
malcolm| She enjoys making Cajun style food Have you tried that style| [person:helen f 0-0][person:carolyn f 7-7]
carolyn| Yes I love cajun food That sounds like a fun person| [person:carolyn f 1-1]
malcolm| You will enjoy them They are very cool| [person:carolyn f 0-0][person:them g(theresa:john:helen) 3-3][person:they g(theresa:john:helen) 4-4]
carolyn| Okay sounds like a plan Let s all get together|

conv:people_2019082201_305:aug_0:chat_0:chataug_0| anna craig| [person:anna f 0-0][person:craig m 1-1]
craig| Hi Anna| [person:anna f 1-1]
anna| Hi Craig| [person:craig m 1-1]
craig| How are you| [person:craig m 2-2]
anna| I am fine Are you free now| [person:anna f 0-0][person:anna f 4-4]
craig| Yes I am free now| [person:craig m 1-1]
anna| Could you please do me a favour| [person:craig m 1-1][person:anna f 4-4]
craig| With pleasure|
anna| I forgot to take my jacket and shoe when I am leaving from Grace s place| [person:anna f 0-0][person:anna f 4-4][person:anna f 9-9][person:grace f 13-13][location:place s 15-15]
craig| Oh that s no problem I will take it for you| [person:craig m 5-5][person:anna f 10-10]
anna| Thank you| [person:craig m 1-1]
craig| I will pick up the jacket and shoes You just inform Grace that I am coming| [person:craig m 0-0][person:craig m 8-8][person:grace f 11-11][person:craig m 13-13]
