conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
aralis| Do you think that you would be around this weekend to help me landscape my backyard| [person:horatio m 1-1][person:horatio m 4-4][person:aralis f 12-12][person:aralis f 14-14]
horatio| Hi Aralis Unfortunately I already have plans this weekend to go jet skiing| [person:aralis f 1-1][person:horatio m 3-3]
aralis| Oh okay don t worry about it That sounds like a blast have a great weekend|
horatio| If you can put off doing your yard work until next weekend you should come with us| [person:aralis f 1-1][person:aralis f 6-6][person:aralis f 12-12][person:us g(horatio) 16-16]
aralis| Wow that s so nice of you to invite me Who else is going| [person:horatio m 6-6][person:aralis f 9-9]
horatio| My friends Shannon and Wade They are super easy going and would love for you to come with us It ll be a great time| [person:horatio m 0-0][person:friends g() 1-1][person:shannon m 2-2][person:wade m 4-4][person:friends g(shannon:wade) 5-5][person:aralis f 14-14][person:us g(horatio:shannon:wade) 18-18]
aralis| Ok I am definitely in| [person:aralis f 1-1]
horatio| Great This will be so much better than yard work|
horatio| I ll text you the details later this week I think the plan as of now is to head to the lake Friday afternoon| [person:horatio m 0-0][person:aralis f 3-3][person:horatio m 9-9]
aralis| Ok I ll double check to see if I can get off work early on Friday| [person:aralis f 1-1][person:aralis f 8-8]
horatio| Awesome Can t wait|
horatio| I am so happy that you are coming| [person:horatio m 0-0][person:aralis f 5-5]
aralis| Thanks again for the invite I ll see you this weekend| [person:aralis f 5-5][person:horatio m 8-8]

conv:people_chats_0629_166:aug_0:chat_0:chataug_0| caden katja| [person:caden m 0-0][person:katja f 1-1]
katja| Hey Caden thank you so much for the Christmas presents| [person:caden u 3-3]
katja| My kids Natalia and Greyson love the inflatable swimming pool| [person:katja f 0-0][person:kids g() 1-1][person:natalia f 2-2][person:greyson m 4-4]
katja| They ll get a lot of use out of it this summer| [person:kids g(natalia:greyson) 0-0]
katja| I would like the kids to send you a thank you letter what is your address| [person:katja f 0-0][person:kids g(natalia:greyson) 4-4][person:caden u 7-7][person:caden u 10-10][person:caden u 14-14]
caden| Oh great|
caden| I m so glad they like it| [person:caden u 0-0][person:kids g(natalia:greyson) 4-4]
caden| My address is 123 West Elm St Los Angeles CA| [person:caden u 0-0][location:elm_st s 5-6][location:los_angeles s 7-8][location:ca s 9-9]
caden| That is very nice that they want to send a thank you letter| [person:kids g(natalia:greyson) 5-5][person:katja f 11-11]
caden| I hope you guys had a great Christmas| [person:caden u 0-0][person:katja f 2-2]
katja| Of course|
katja| You are very sweet| [person:caden u 0-0]
katja| We need to get together soon| [person:katja_and_caden g(katja:caden) 0-0]

conv:people_chats_0629_167:aug_0:chat_0:chataug_0| myke paula| [person:myke m 0-0][person:paula f 1-1]
myke| Hey Paula What s up| [person:paula f 1-1]
paula| Oh just chilling and relaxing at home What about you| [location:home s 6-6][person:myke m 9-9]
myke| Doing the same I m actually relaxing and thinking through some things| [person:myke m 3-3]
myke| You ever feel like this isn t really reality| [person:paula f 0-0]
paula| Woah no What you mean| [person:myke m 3-3]
myke| I feel like there are less and less rules that make sense because of all of this technology and stuff You ever feel worried| [person:myke m 0-0][person:paula f 20-20]
myke| About being spied on by a secret agent of the machine named Smith| [person:smith g() 12-12]
paula| No no That s the postman silly And I think you re just on too many energy drinks at night| [person:paula f 8-8][person:myke m 10-10]
myke| Well technically this is just a machine The government is a machine and its workers like the postman are indeed agents of the machine|
paula| Are you sure you re okay You sleep at all the past two days| [person:myke m 1-1][person:myke m 3-3][person:myke m 6-6]
myke| No no no No way I can t sleep because that s when the agents can get you| [person:myke m 5-5][person:paula f 17-17]
paula| How about I tell Karen to come through to your apartment so you can be protected from the agents while you sleep That sound good| [person:paula f 2-2][person:karen f 4-4][person:myke m 9-9][location:apartment s 10-10][person:myke m 12-12][person:myke m 20-20]
myke| I m not too sure She might even be with the agents of the machine and maybe plant some sort of chip into my skull| [person:myke m 0-0][person:karen f 5-5][person:myke m 23-23]
paula| She won t Or she will if you want Whatever is best in this scenario| [person:karen f 0-0][person:karen f 4-4][person:myke m 7-7]
myke| You don t even know Lol Well I d expect you to know if belly button squids are bad or not first| [person:paula f 0-0][person:myke m 7-7][person:paula f 10-10]

conv:people_chats_0629_168:aug_0:chat_0:chataug_0| nate sonja| [person:nate m 0-0][person:sonja f 1-1]
nate| Hey Sonja is work going alright for you| [person:sonja f 1-1][person:sonja f 7-7]
sonja| My brother Edward said he s a werewolf| [person:sonja f 0-0][person:edward m 1-1][person:edward m 2-2][person:edward m 4-4]
nate| Was that text meant for me| [person:nate m 5-5]
sonja| Yah|
sonja| My brother said so I will have to find a silversmith get a good camera large aount of locks and manacles and other things to prepare for the next full moon| [person:sonja f 0-0][person:edward m 1-1][person:sonja f 4-4]
nate| Do you really believe what he said| [person:sonja f 1-1][person:edward m 5-5]
sonja| Why not I can t find a reason not to| [person:sonja f 2-2]
nate| That s really crazy what he is saying don t believe him| [person:edward m 5-5][person:edward m 11-11]
sonja| No I trust my brother enough and will do so for the next month| [person:sonja f 1-1][person:sonja f 3-3][person:edward m 4-4]
nate| Fine|
nate| But don t let that affect your work| [person:sonja f 6-6]
nate| I heard your partner Hera has been picking up your work for the last week and is not too happy about it| [person:nate m 0-0][person:sonja f 2-2][person:hera f 4-4][person:sonja f 9-9]
sonja| I will talk to Hera to sort things out| [person:sonja f 0-0][person:hera f 4-4]
nate| Why don t you use some of your her vacation days instead| [person:sonja f 3-3][person:sonja f 7-7][person:hera f 8-8]

conv:people_chats_0629_170:aug_0:chat_0:chataug_0| adella destiny| [person:adella f 0-0][person:destiny f 1-1]
adella| Hi Destiny I m checking in to see what s up with you| [person:destiny f 1-1][person:adella f 2-2][person:destiny f 12-12]
destiny| Hi Adella What s up is I m just grabbing a quick bite of lunch with Jack on his lunch break We re at Rio s| [person:adella f 1-1][person:destiny f 6-6][person:jack m 16-16][person:jack m 18-18][person:we g(destiny:jack) 21-21]
adella| Rio s Yummy I m jealous and hungry now Eat some extra pasta for me ha ha So I don t want to bug you during lunch just wondering what you are doing after| [person:adella f 3-3][person:adella f 14-14][person:adella f 18-18][person:destiny f 24-24][person:destiny f 30-30]
destiny| Why What did you have in mind| [person:adella f 3-3]
adella| I ll give you a hint it involves retail therapy| [person:adella f 0-0][person:destiny f 3-3]
destiny| Ooooohhh shopping Tempting Anything in particular|
adella| Yes A fancy dress For Cam s wedding| [person:cam m 5-5]
destiny| Cam s wedding When is that| [person:cam m 0-0]
adella| It s in a month and it s in Las Vegas| [location:las_vegas s 9-10]
destiny| Vegas Fun Yeah I want to shop And we are almost done| [location:las_vegas s 0-0][person:destiny f 3-3][person:we g(destiny:jack) 8-8]
adella| Yay Well take your time say hi to Jack And give me a shout when you are done| [person:destiny f 3-3][person:jack m 8-8][person:adella f 11-11][person:destiny f 15-15]
destiny| Should I meet you at the mall or| [person:destiny f 1-1][person:adella f 3-3][location:mall s 6-6]
adella| Why don t you let me know when you get home and I can swing by and pick you up Work for you| [person:destiny f 3-3][person:adella f 5-5][person:destiny f 8-8][location:home s 10-10][person:adella f 12-12][person:destiny f 18-18][person:destiny f 22-22]
destiny| Definitely Then you can fill me in on all the 411| [person:adella f 2-2][person:destiny f 5-5]
adella| Cool And if you have any leftovers feel free to bring them along for the ride A girl s gotta eat| [person:destiny f 3-3][person:them g() 11-11]
destiny| Ha I ll see what I can do Text you as soon as I get home 0| [person:destiny f 1-1][person:destiny f 5-5][person:adella f 9-9][person:destiny f 13-13][location:home s 15-15]

conv:people_chats_0629_171:aug_0:chat_0:chataug_0| geoffrey spencer| [person:geoffrey m 0-0][person:spencer m 1-1]
geoffrey| Hey Spencer I m at Lowes right now| [person:spencer m 1-1][person:geoffrey m 2-2]
geoffrey| Do you want rose bushes or climbing roses for the rose garden| [person:spencer m 1-1][location:rose_garden s 10-11]
spencer| I don t mind either one| [person:spencer m 0-0]
geoffrey| Ok I will see what they have| [person:geoffrey m 1-1]
spencer| I spoke to the neighbors Anita and Zack last week and they prefer climbing because they don t need as much pruning| [person:spencer m 0-0][person:neighbors g() 4-4][person:anita f 5-5][person:zack m 7-7][person:neighbors g(anita:zack) 11-11]
geoffrey| Ok that sounds good|
geoffrey| I will get climbing roses then| [person:geoffrey m 0-0]
spencer| That works for me| [person:spencer m 3-3]
geoffrey| What color do you think would look best near the gazebo| [person:geoffrey m 3-3]
spencer| I d say either red or yellow| [person:spencer m 0-0]
spencer| or both even|

conv:people_chats_0629_173:aug_0:chat_0:chataug_0| king nina| [person:king m 0-0][person:nina f 1-1]
king| Hi Nina| [person:nina f 1-1]
king| I have been irrevocably damaged and doesn t make much of his odds of survival| [person:king m 0-0][person:king m 11-11]
nina| Have you been whilst battling my great foe Akiko| [person:king m 1-1][person:nina f 5-5][person:akiko f 8-8]
king| Nina no she s still in jail for pulling out a sword in a crowded subway| [person:nina f 0-0][person:akiko f 2-2]
king| He never said the wound was mortal or physical| [person:king m 0-0]
nina| what you mean| [person:king m 1-1]
king| I just finished the newest movie starring Hogan Sandler| [person:king m 0-0][person:hogan m 7-7]
nina| Is that s the one where he plays both a character that s basically himself and the character s twin sister| [person:hogan m 6-6][person:hogan m 14-14][person:sister f 20-20]
king| Yes that s the one|
nina| Offering the deepest condolences for the brain cells lost in the effort to recapture the aging actor s early years of quasifunny movie magic|
king| Yes i agree do you have any suggestions for less distressing movies to watch| [person:king m 1-1][person:nina f 4-4]
nina| Yes i will send you the list| [person:nina f 1-1][person:king m 4-4]

conv:people_chats_0629_174:aug_0:chat_0:chataug_0| cher maria| [person:cher m 0-0][person:maria f 1-1]
maria| hi micha how are you| [person:micha m 1-1][person:micha m 4-4]
cher| yes i am fine| [person:cher m 1-1]
maria| i am in shopping at macy s| [person:maria f 0-0][person:macy f 5-5]
cher| thats good|
maria| what size of shirts does your kids wear| [person:cher m 5-5][person:kids g(micha) 6-6]
maria| morgan and micha| [person:morgan m 0-0][person:micha m 2-2]
cher| they are growing very fast| [person:kids g(morgan:micha) 0-0]
cher| the old shirts are not fit|
maria| ok tell me what is the size| [person:maria f 2-2]
cher| the size t4 and an8 is well fits for their| [person:kids g(morgan:micha) 9-9]
maria| ok its fine|
maria| and how about the shoes condition|
cher| also buy the shoes|

conv:people_chats_0629_175:aug_0:chat_0:chataug_0| athena piper| [person:athena f 0-0][person:piper m 1-1]
athena| Hi Piper Athena here When is the big move date to California| [person:piper m 1-1][person:athena f 2-2]
piper| Hi Athena My flight out is in 2 weeks| [person:athena f 1-1][person:piper m 2-2]
athena| We d love to have a going away party for you| [person:we g(athena) 0-0][person:piper m 10-10]
piper| That sounds great|
athena| Great I ll definitely invite Mae and Craig| [person:athena f 1-1][person:mae f 5-5][person:craig m 7-7]
athena| They d be super upset if they don t get to see you and say goodbye| [person:they g(mae:craig) 0-0][person:they g(mae:craig) 6-6][person:piper m 12-12]
athena| Does that sound okay to you| [person:piper m 5-5]
piper| Wow That s so nice|
piper| I d love to see everyone before I leave| [person:piper m 0-0][person:everyone g(athena:mae:craig) 5-5][person:piper m 7-7]
piper| Do you have any dates in mind yet| [person:athena f 1-1]
athena| Let me check with Mae and Craig and I ll let you know| [person:athena f 1-1][person:mae f 4-4][person:craig m 6-6][person:athena f 8-8][person:piper m 11-11]
piper| Sounds good Thanks so much Athena| [person:athena f 5-5]

conv:people_chats_0629_176:aug_0:chat_0:chataug_0| alexis bob| [person:alexis f 0-0][person:bob m 1-1]
alexis| Hi Bob| [person:bob m 1-1]
alexis| How are you| [person:bob m 2-2]
bob| I am doing well Alexis| [person:bob m 0-0][person:alexis f 4-4]
alexis| Great I need a favor from you| [person:alexis f 1-1][person:bob m 6-6]
alexis| We need to schedule a meeting with Kelsey and Samuel| [person:we g(alexis:bob) 0-0][person:kelsey f 7-7][person:samuel m 9-9]
bob| They will be out in the field untl 3 pm| [person:they g(kelsey:samuel) 0-0]
bob| So I think a 4 pm meeting is ideal| [person:bob m 1-1]
alexis| Sounds perfect|
bob| Is there a specific conference room you prefer| [person:bob m 6-6]
alexis| Yes Conference room 29C please|
alexis| can t wait to launch this new product|
bob| Yeah sales training will be fun|
