conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
ted| My friends Fred and Velma teach skating classes at a local arena| [person:ted m 0-0][person:friends g() 1-1][person:fred m 2-2][person:velma f 4-4]
joan| I don t know| [person:joan f 0-0]
ted| I can at least get their contact information for you while you decide| [person:ted m 0-0][person:friends g(fred:velma) 5-5][person:joan f 9-9][person:joan f 11-11]
joan| Skating just doesn t sound that exciting|
ted| Really I ve tried it and it s fun Fred and Velma are really great teachers as well| [person:ted m 1-1][person:fred m 9-9][person:velma f 11-11]
joan| I m still undecided Now I don t know if I should take up skating skiing or something else entirely| [person:joan f 0-0][person:joan f 5-5][person:joan f 10-10]
ted| Keep me updated on what you decide| [person:ted m 1-1][person:joan f 5-5]
ted| I really think you should try skating though| [person:ted m 0-0][person:joan f 3-3]
joan| Okay I ll at least call Fred and Velma to see when their class is offered| [person:joan f 1-1][person:fred m 6-6][person:velma f 8-8][person:friends g(fred:velma) 12-12]

conv:people_long_0313_147:aug_0:chat_0:chataug_0| johnny wes| [person:johnny m 0-0][person:wes m 1-1]
wes| Hey Johnny Are you free this weekend| [person:johnny m 1-1][person:johnny m 3-3]
johnny| Yeah but I was thinking of going hiking What about you| [person:johnny m 2-2][person:wes m 10-10]
wes| Yeah that is a great idea|
wes| But I think that the hike will be too difficult for me| [person:wes m 1-1][person:wes m 11-11]
johnny| Why are you saying so| [person:wes m 2-2]
johnny| I heard that our friends Laurel and Camellia has already completed it last weekend| [person:johnny m 0-0][person:our g(wes:johnny) 3-3][person:friends g() 4-4][person:laurel f 5-5]
wes| Yes they completed it as they both are more experienced hikers than me| [person:friends g(laurel) 1-1][person:friends g(laurel) 5-5][person:wes m 12-12]
johnny| It might be that they are more experienced than us but if someone can complete it we can give a try in doing it| [person:friends g(laurel) 4-4][person:our g(wes:johnny) 9-9][person:someone u 12-12][person:our g(wes:johnny) 16-16]
wes| Camilia has a very tough time and almost he didn t make it| [person:camilia f 8-8]
johnny| Is it I didn t know anything about it| [person:johnny m 2-2]
johnny| Anyways no need to worry I will look into the difficulty| [person:johnny m 5-5]
wes| I don t think we can complete the hike So change your plan for this weekend| [person:wes m 0-0][person:our g(wes:johnny) 4-4][person:johnny m 11-11]
wes| We can have dinner together at my house and enjoy the day instead of hiking| [person:our g(wes:johnny) 0-0][person:wes m 6-6]
johnny| Let me find out and then I will get back to you| [person:johnny m 1-1][person:johnny m 6-6][person:wes m 11-11]

conv:people_long_0313_149:aug_0:chat_0:chataug_0| rylie troy| [person:rylie f 0-0][person:troy m 1-1]
rylie| Hey Troy Are you free Can I have a word with you| [person:troy m 1-1][person:troy m 3-3][person:rylie f 6-6][person:troy m 11-11]
troy| Yeah sure tell me anything urgent| [person:troy m 3-3]
rylie| My parents Jane and Austin are going to Hawaii for 2 weeks| [person:rylie f 0-0][person:parents g() 1-1][person:jane f 2-2][person:austin m 4-4][location:hawaii s 8-8]
rylie| They asked us to join them for the trip Are you interested to join| [person:parents g(jane:austin) 0-0][person:us g(rylie:troy) 2-2][person:parents g(jane:austin) 5-5][person:troy m 10-10]
troy| Yeah sure I would love to join them| [person:troy m 2-2][person:parents g(jane:austin) 7-7]
troy| I just love the place and I think we all can have a great time| [person:troy m 0-0][location:hawaii s 4-4][person:troy m 6-6][person:we g(rylie:troy:jane:austin) 8-8]
rylie| Even I love to join with them but I am not able to get leave from work| [person:rylie f 1-1][person:parents g(jane:austin) 6-6][person:rylie f 8-8]
troy| Not an issue if you can t take leave from your work we may join then next time| [person:rylie f 4-4][person:rylie f 10-10][person:us g(rylie:troy) 12-12]
troy| But if you can make out the way to take leave we can have a great time after our hectic schedule| [person:rylie f 2-2][person:us g(rylie:troy) 11-11][person:us g(rylie:troy) 18-18]
rylie| Yeah even I am thinking a way to have a leave from work| [person:rylie f 2-2]
troy| I think you should take time and try to make out a way for the leave| [person:troy m 0-0][person:rylie f 2-2]
rylie| Okay What about you Will you get leave from work| [person:troy m 3-3][person:troy m 5-5]
troy| I won t be having any issues in that as I haven t taken any leaves for a long time| [person:troy m 0-0][person:troy m 10-10]
rylie| Oh That s great to hear I will try my level best to join you for trip| [person:rylie f 6-6][person:rylie f 9-9][person:troy m 14-14]

conv:people_long_0313_152:aug_0:chat_0:chataug_0| nina rubi| [person:nina f 0-0][person:rubi f 1-1]
rubi| Did you get the pic i sent of the phone| [person:nina f 1-1][person:rubi f 5-5]
nina| Got it that s a pretty sweet looking phone but the Galaxy folds|
rubi| That s true but Freds Galaxy broke because of that folding screen and Sammy and Mike say the IPhone is the bomb| [person:sammy m 13-13][person:mike m 15-15]
nina| I don t know Rubi I have always had an Android phone and am scared to change| [person:nina f 0-0][person:rubi f 4-4][person:nina f 5-5]
rubi| Yeah me too but it s a good deal if you get it from TMobile| [person:rubi f 1-1][person:nina f 10-10]
nina| How long has Sammy had his IPhone| [person:sammy m 3-3][person:sammy m 5-5]
rubi| He got it for Christmas last year from his Dad and he has not had any problems withit| [person:sammy m 0-0][person:sammy m 8-8][person:dad m 9-9][person:sammy m 11-11]
nina| Well maybe I will try it since Sammy and Mike are both happy with it| [person:nina f 2-2][person:sammy m 7-7][person:mike m 9-9]
rubi| Cool let s go to the store and look at them we can hold them and check out how the snap filters work| [person:we g(rubi:nina) 11-11]
nina| Ha ha very funny Rubi| [person:rubi f 4-4]
rubi| I mean that s the most important feature right| [person:rubi f 0-0]
nina| Whetevs let s go after class today and check them out|
rubi| Cool I ll meet you at the Ram at 2| [person:rubi f 1-1][person:nina f 4-4]
nina| yup see you then| [person:rubi f 2-2]

conv:people_long_0313_153:aug_0:chat_0:chataug_0| kyle melissa| [person:kyle m 0-0][person:melissa f 1-1]
melissa| Hey I have some bad news to tell you| [person:melissa f 1-1][person:kyle m 8-8]
kyle| Oh I m afraid of what can be| [person:kyle m 1-1]
melissa| Kobe died in a helicopter accident| [person:kobe m 0-0]
kyle| What terrible news It is a great loss for us| [person:us g(melissa:kyle) 9-9]
kyle| Someone else died or was injured in the accident| [person:someone u 0-0]
melissa| Yes Kobe s daughter and others died| [person:kobe m 1-1][person:daughter f 3-3][person:others g() 5-5]
kyle| I m very shocked that this happened| [person:kyle m 0-0]
melissa| I too cannot believe it| [person:melissa f 0-0]
melissa| I m very sad especially for his wife Vanessa| [person:melissa f 0-0][person:kobe m 6-6][person:vanessa f 7-7][person:vanessa f 8-8]
melissa| Vanessa lost her daughter and husband| [person:vanessa f 0-0][person:vanessa f 2-2][person:daughter f 3-3][person:kobe m 5-5]
kyle| What can we do to ease her pain| [person:us g(melissa:kyle) 2-2][person:vanessa f 6-6]
kyle| I m wondering if we can give our condolences| [person:kyle m 0-0][person:us g(melissa:kyle) 4-4][person:us g(melissa:kyle) 7-7]
melissa| Yes it seems appropriate to do so|
kyle| How about through letters or through social media|
melissa| We can post a message on instagram| [person:us g(melissa:kyle) 0-0]
kyle| And also on twitter|
melissa| Right Then we send a handwritten letter| [person:us g(melissa:kyle) 2-2]
kyle| I agree A letter sounds more personal I am extremely shocked| [person:kyle m 0-0][person:kyle m 7-7]

conv:people_long_0313_154:aug_0:chat_0:chataug_0| colleen liam| [person:colleen f 0-0][person:liam m 1-1]
colleen| Hey Liam have you heard about Aunt Collen and Uncle Geoffrey| [person:liam m 1-1][person:liam m 3-3][person:collen f 6-6][person:collen f 7-7][person:geoffrey m 9-9][person:geoffrey m 10-10]
liam| Didn t they go on vacation| [person:they g(collen:geoffrey) 2-2]
colleen| Yeah they left to goto Greece the other day I am so jealous Can you just imagine how fun and amazing going to Greece would be| [person:they g(collen:geoffrey) 1-1][location:greece s 5-5][person:colleen f 9-9][person:liam m 14-14][location:greece s 23-23]
liam| Oh yeah that would be awesome But don t be too jealous of their trip its pretty dangerous to travel right now with everything thats going on| [person:they g(collen:geoffrey) 13-13]
colleen| I agree it really is But honestly we need to plan a vacation like this soon We can wait until its safer of course But we definitely need a vacation| [person:colleen f 0-0][person:we g(colleen:liam) 7-7][person:we g(colleen:liam) 16-16][person:we g(colleen:liam) 25-25]
liam| We can do that lets make a list of places we would like to go and then talk about it| [person:we g(colleen:liam) 0-0][location:places g() 9-9][person:we g(colleen:liam) 10-10]
colleen| Sounds like a plan That ll also give us time to save up| [person:we g(colleen:liam) 8-8]
liam| I have a little saved up now but it would never hurt to have a bit more Once you have your list of places you d like to go send it to me and we will go from there| [person:liam m 0-0][person:colleen f 18-18][person:colleen f 20-20][location:places g() 23-23][person:colleen f 24-24][person:liam m 32-32][person:we g(colleen:liam) 34-34]
colleen| Honestly I think Greece is first on my list But there are so many places I d like to visit I ll definitely need a list| [person:colleen f 1-1][location:greece s 3-3][person:colleen f 7-7][location:places g() 14-14][person:colleen f 15-15][person:colleen f 20-20]
liam| Greece is at the top of my list too Have you checked into what the airfare looks like| [location:greece s 0-0][person:liam m 6-6][person:colleen f 10-10]
colleen| Not yet but I can t imagine it would be cheap I will check into a round trip for two people and see what it says| [person:colleen f 3-3][person:colleen f 11-11]
liam| That and lodging We may be able to get a combo deal with airfare lodging and a rental car| [person:we g(colleen:liam) 3-3]
colleen| There is a deal for all three for two people 2500 This is for a week Not a bad deal What do you think| [person:liam m 22-22]
liam| Well I have about 4000 saved up so that sounds very doable When are you wanting to go| [person:liam m 1-1][person:colleen f 14-14]
colleen| Lets go this summer Its only a few months away and it ll allow us time to take off work| [person:we g(colleen:liam) 14-14]
liam| Okay sounds good to me I will go ahead and talk to my boss about it| [person:liam m 4-4][person:liam m 5-5][person:liam m 12-12]

conv:people_long_0313_155:aug_0:chat_0:chataug_0| andrew stefan| [person:andrew m 0-0][person:stefan m 1-1]
andrew| hey stefan how are you buddy| [person:stefan m 1-1][person:stefan m 4-4][person:stefan m 5-5]
stefan| andrew wow so nice hearing you i m really ok right now you| [person:andrew m 0-0][person:andrew m 5-5][person:stefan m 6-6][person:andrew m 12-12]
andrew| i m pretty fine thanks we havent seen each other in a long time| [person:andrew m 0-0][person:we g(andrew:stefan) 5-5]
stefan| yeah ages|
andrew| since high school do you want to meet up one of these weeks| [location:high_school s 1-2][person:stefan m 4-4]
stefan| sure i want it we should catch up again why don t we invite Sonia and Amelia as well| [person:stefan m 1-1][person:we g(andrew:stefan) 4-4][person:we g(andrew:stefan) 12-12][person:sonia f 14-14][person:amelia f 16-16]
andrew| of course i didn t see her in a while as well| [person:andrew m 2-2][person:sonia f 6-6]
stefan| ok i contact them and let you know| [person:stefan m 1-1][person:them g(sonia:amelia) 3-3][person:andrew m 6-6]
andrew| ok we may let s go out for dinner together| [person:we g(andrew:stefan:sonia:amelia) 1-1]
stefan| mmmh i don t know if i can t make it probably is better to go out for coffee| [person:stefan m 1-1][person:stefan m 6-6]
stefan| maybe in daylight hours|
andrew| ohhhh stefan i think i really can t i m pretty busy every day| [person:stefan m 1-1][person:andrew m 2-2][person:andrew m 4-4][person:andrew m 8-8]
stefan| oh that s such a pity what can we do| [person:we g(andrew:stefan) 8-8]
andrew| let s consult Sonia and Amelia and try to come up with some fitful idea| [person:sonia f 3-3][person:amelia f 5-5]
stefan| we should maybe they come up with some interesting idea| [person:we g(andrew:stefan) 0-0][person:them g(sonia:amelia) 3-3]
andrew| yeah sure why not|

conv:people_long_0313_156:aug_0:chat_0:chataug_0| johnny wes| [person:johnny m 0-0][person:wes m 1-1]
wes| Hey Johnny I hope you re prepared for our hike this weekend| [person:johnny m 1-1][person:wes m 2-2][person:johnny m 4-4][person:our g(wes:johnny) 8-8]
