conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
gary| Awesome I was wondering whether we should get them a gift or something| [person:gary m 1-1][person:we2 g(gary:nicholas) 5-5][person:they g(carol:brian) 8-8]
nicholas| We should bring some thai soy sauce with us as a gift| [person:we2 g(gary:nicholas) 0-0][person:we2 g(gary:nicholas) 8-8]
gary| That s a great idea They re foodies so they ll love it| [person:they g(carol:brian) 5-5][person:they g(carol:brian) 9-9]
nicholas| Sounds like it s going to be great I ll see you there| [person:nicholas m 8-8][person:gary m 11-11]
gary| See ya|

conv:people_2019080802_95:aug_0:chat_0:chataug_0| alex pedro| [person:alex m 0-0][person:pedro m 1-1]
alex| Hi Pedro| [person:pedro m 1-1]
pedro| So I here Anthony is looking for someone to work with him at the firm| [person:pedro m 1-1][person:anthony m 3-3][person:someone u 7-7][person:anthony m 11-11]
pedro| Any chance I could meet with him next week I need a job| [person:pedro m 2-2][person:anthony m 6-6][person:pedro m 9-9]
alex| Yes he is he is a good person to work for| [person:anthony m 1-1][person:anthony m 3-3]
pedro| What is his focus at the firm| [person:anthony m 2-2]
alex| I thought you were meeting with him next week Did he not set up a time| [person:alex m 0-0][person:pedro m 2-2][person:anthony m 6-6][person:anthony m 10-10]
pedro| Yeah I was just confirming with you| [person:pedro m 1-1][person:alex m 6-6]
alex| I heard he was giving you an interview Is he not| [person:alex m 0-0][person:anthony m 2-2][person:pedro m 5-5][person:anthony m 9-9]
pedro| He didn t give specifics Just told me to come and talk to him| [person:anthony m 0-0][person:pedro m 7-7][person:anthony m 13-13]
alex| Well then you might call him and let him know when you are available| [person:pedro m 2-2][person:anthony m 5-5][person:anthony m 8-8][person:pedro m 11-11]
pedro| Ok thanks|
alex| I hope it works out for you Have a good day| [person:alex m 0-0][person:pedro m 6-6]
pedro| You to man| [person:alex m 0-0]

conv:people_2019080802_96:aug_0:chat_0:chataug_0| michael patrick| [person:michael m 0-0][person:patrick m 1-1]
michael| Hello Patrick| [person:patrick m 1-1]
patrick| Hi Michael how s your day so far| [person:michael m 1-1][person:michael m 4-4]
michael| Good Just sitting around watching some TV|
patrick| Oh good you re home Will you be there for a while| [person:michael m 2-2][person:michael m 6-6]
michael| Yes Jack and Ronald are out so I m the only one here at the moment Why What s up| [person:jack m 1-1][person:ronald m 3-3][person:michael m 7-7][location:home s 12-12]
patrick| I called a plumber to fix that kitchen sink leak but won t make it back in time Can you meet them and let them in| [person:patrick m 0-0][location:home s 7-7][location:home s 14-14][person:michael m 19-19][person:them g(jack:ronald) 21-21][person:them g(jack:ronald) 24-24]
michael| Sure When will they be here| [person:them g(jack:ronald) 3-3][location:home s 5-5]
patrick| Supposed to be around 2 this afternoon I ll text you the company info Will that work for you| [person:patrick m 7-7][person:michael m 10-10][person:michael m 18-18]
michael| Sounds good I ll be here| [person:michael m 2-2][location:home s 5-5]
patrick| Great thanks See you later| [person:michael m 3-3]

conv:people_2019080802_98:aug_0:chat_0:chataug_0| michael patrick| [person:michael m 0-0][person:patrick m 1-1]
michael| Hey Patrick did you call the plumber| [person:patrick m 1-1][person:patrick m 3-3]
patrick| Hey Michael do you know if Jack or Ronald will be home tomorrow afternoon| [person:michael m 1-1][person:michael m 3-3][person:jack m 6-6][person:ronald m 8-8][location:home s 11-11]
patrick| Yeah I did he is coming tomorrow but I won t be home| [person:patrick m 1-1][person:plumber m 3-3][person:patrick m 8-8][location:home s 12-12]
michael| Is that why you are asking about Jack and Ronald| [person:patrick m 3-3][person:jack m 7-7][person:ronald m 9-9]
patrick| Yeah I was hoping they would be home tomorrow to let him in| [person:patrick m 1-1][person:they g(jack:ronald) 4-4][location:home s 7-7][person:plumber m 11-11]
michael| I think Jack and Ronald will both be home tomorrow Would you like me to ask them to wait for the plumber| [person:michael m 0-0][person:jack m 2-2][person:ronald m 4-4][location:home s 8-8][person:patrick m 11-11][person:michael m 13-13][person:they g(jack:ronald) 16-16]
patrick| Yeah that would be great thank you He is coming to fix the kitchen sink| [person:michael m 6-6][person:plumber m 7-7][location:kitchen s 13-13]
michael| What is wrong with the sink|
patrick| It is leaking The water main can t be turned off|

conv:people_2019080802_99:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
harry| Hi Michelle how are you| [person:michelle f 1-1][person:michelle f 4-4]
michelle| hi there good how are you| [person:harry m 5-5]
michelle| Hi there I m good how are you| [person:michelle f 2-2][person:harry m 7-7]
michelle| Do you think we should bring some dip and chips to the party| [person:harry m 1-1][person:we g(michelle) 3-3][location:party s 12-12]
harry| I m good What time was Phillip and Marie s party supposed to be| [person:harry m 0-0][person:phillip m 6-6][person:marie f 8-8][location:party s 10-10]
michelle| I m not sure but I can call Doyouhave their number| [person:michelle f 0-0][person:michelle f 5-5][person:their g(harry) 9-9]
harry| Yeah chips and dip would be great We could probably grab some soda too| [person:harry m 7-7]
michelle| Can you drive or should I| [person:harry m 1-1][person:michelle f 5-5]
harry| I can drive The numbers 7777777777| [person:harry m 0-0]
michelle| Let s touch base later today to firm up the details ok|
harry| okay great We ll talk then| [person:we g(michelle:harry:phillip) 2-2]
michelle| have a great day see you soon| [person:harry m 5-5]
harry| okay|

conv:people_2019080802_100:aug_0:chat_0:chataug_0| brandon matthew| [person:brandon m 0-0][person:matthew m 1-1]
brandon| Hi Brandon| [person:brandon m 1-1]
matthew| hi|
brandon| Sorry Matthew| [person:matthew m 1-1]
brandon| What are you planning on doing with Mark when he is in town| [person:matthew m 2-2][person:mark m 7-7][person:mark m 9-9][location:town s 12-12]
matthew| what does mark like| [person:mark m 2-2]
brandon| I think he enjoy baseball and good food I was considering maybe a minor league baseball game this weekend| [person:brandon m 0-0][person:mark m 2-2][person:brandon m 8-8]
matthew| paul and bryan visited recently and they went to a baseball game maybe we should too| [person:paul m 0-0][person:bryan m 2-2][person:they g(paul:bryan) 6-6][person:we g(brandon:matthew:mark) 13-13]
matthew| they all seem to like the game after all| [person:they g(mark:paul:bryan) 0-0]
brandon| Would you want to eat at that little pub across from the stadium I heard they have delicious food| [person:matthew m 1-1][location:stadium s 12-12][person:brandon m 13-13]
matthew| yeah great idea|
brandon| I think there s a 7pm game on Saturday Meet at 5pm to eat and have a few drinks beforehand| [person:brandon m 0-0]
matthew| ill go contact mark and set everything up talk to you later| [person:mark m 3-3][person:brandon m 10-10]
brandon| OK thank you See you Saturday| [person:matthew m 2-2][person:matthew m 4-4]

conv:people_2019080802_101:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
harry| Hello how are you| [person:michelle f 3-3]
michelle| Hey Harry are you taking any present to the party| [person:harry m 1-1][person:harry m 3-3][location:party s 9-9]
harry| Yes I m thinking about getting a house warming gift of some sort What are you thinking| [person:harry m 1-1][location:house s 7-7][person:michelle f 15-15]
michelle| Well Phillip like single malt whisky but its Maybe we should pool our money and get some Macallan 50| [person:phillip m 1-1][person:we g(harry:michelle) 9-9][person:we g(harry:michelle) 12-12]
harry| Oh that s a good idea Should I bring something to eat or drink| [person:harry m 7-7]
michelle| Nah Marie never brings anything to parties She is sooooo cheap| [person:marie f 1-1][person:marie f 7-7]
harry| Oh okay|
michelle| Hey can I grab a ride with you| [person:michelle f 2-2][person:harry m 7-7]
harry| You sure can I will see you in a little bit| [person:michelle f 0-0][person:harry m 3-3][person:michelle f 6-6]
michelle| Great C U soon| [person:harry m 2-2]
harry| Okay sounds good|

conv:people_2019080802_102:aug_0:chat_0:chataug_0| daniel stephen| [person:daniel m 0-0][person:stephen m 1-1]
stephen| hey Daniel| [person:daniel m 1-1]
daniel| BBQ is a great idea Whos gonna bring the beer|
stephen| So I want to do a BBQ but can t decide who s place is the best to have it| [person:stephen m 1-1][location:place s 13-13]
stephen| let s decide on a place first| [location:place s 5-5]
daniel| We can do it at my place Grills and tables down in the courtyard| [person:we g(stephen:daniel) 0-0][person:daniel m 5-5][location:place s 6-6][location:courtyard s 13-13]
stephen| good enough for me| [person:stephen m 3-3]
stephen| you have a food list yet| [person:daniel m 0-0]
stephen| i m ok with bringing burgers and hotdogs| [person:stephen m 0-0]
daniel| i can bring all the condiments and the buns Do the other guys like beans and potato salad or should we ask them about it| [person:daniel m 0-0][person:we g(stephen:daniel) 20-20][person:them g() 22-22]
stephen| i think you should just get it| [person:stephen m 0-0][person:daniel m 2-2]
stephen| i m sure they will eat it| [person:stephen m 0-0][person:them g() 3-3]
daniel| Cool Give them a time and I ll get the charcoal and stuff so beer| [person:them g() 2-2][person:daniel m 6-6]
stephen| ok sounds good|
stephen| yea i ll ask who s gonna get the beer| [person:stephen m 1-1]
stephen| but i think we re already mostly set| [person:stephen m 1-1][person:we g(stephen:daniel) 3-3]
daniel| great talk to you later| [person:stephen m 3-3]
stephen| ok later|

conv:people_2019080802_103:aug_0:chat_0:chataug_0| hannah ralph| [person:hannah f 0-0][person:ralph m 1-1]
hannah| hey|
ralph| Hey Hannah| [person:hannah f 1-1]
hannah| What do you think we should get for Jackie and Albert| [person:ralph m 2-2][person:we g(hannah:ralph) 4-4][person:jackie f 8-8][person:albert m 10-10]
hannah| I think we should look at their gifts registry but I am not sure if they maintain one| [person:hannah f 0-0][person:we g(hannah:ralph) 2-2][person:their g(jackie:albert) 6-6][person:hannah f 10-10][person:their g(jackie:albert) 15-15]
ralph| They may have an Amazon wishlist| [person:their g(jackie:albert) 0-0]
ralph| We should search for them| [person:we g(hannah:ralph) 0-0][person:their g(jackie:albert) 4-4]
hannah| That s is a really good idea I could probably call Jackie and ask her in a random conversation about this| [person:hannah f 7-7][person:jackie f 11-11][person:jackie f 14-14]
hannah| But I think she did mention that she wanted kitchenware| [person:hannah f 1-1][person:jackie f 3-3][person:jackie f 7-7]
ralph| I saw some cute oven mitts a few days ago maybe she would like those| [person:ralph m 0-0][person:jackie f 11-11]
hannah| and also Albert would love a bottle of wine considering how much he loves to smell one| [person:albert m 2-2][person:albert m 12-12]
hannah| Mittens would be cute since she likes to bake You are on fire today| [person:jackie f 5-5][person:ralph m 9-9]
ralph| I will pick up a bottle of wine from Spec s for Albert| [person:ralph m 0-0][person:albert m 12-12]
hannah| Yeah that s cool Let me know if you can t find a good one I could always buy those mittens you mentioned| [person:hannah f 5-5][person:ralph m 8-8][person:hannah f 15-15][person:ralph m 21-21]
ralph| You can buy the mittens I will get the wine Sounds good| [person:hannah f 0-0][person:ralph m 5-5]
hannah| Excellent|
ralph| Perfect See you next weekend| [person:hannah f 2-2]
hannah| Oh Ralph In case you forgot we will be leaving together| [person:ralph m 1-1][person:ralph m 4-4][person:we g(hannah:ralph) 6-6]
hannah| You honestly talk strange sometimes| [person:ralph m 0-0]
hannah| anyways see you at home| [person:ralph m 2-2][location:home s 4-4]

conv:people_2019080802_104:aug_0:chat_0:chataug_0| carol mary| [person:carol f 0-0][person:mary f 1-1]
mary| Hello Carol| [person:carol f 1-1]
mary| Helllllooooooo Carol| [person:carol f 1-1]
carol| Hi Mary I was just thinking about you Emily Jessica and I are going to L A and we need advice on where to go while there| [person:mary f 1-1][person:carol f 2-2][person:mary f 7-7][person:emily f 8-8][person:jessica f 9-9][person:carol f 11-11][person:we g(carol:emily:jessica) 18-18]
mary| What kind of things do you Emily and Jessica like I am pretty much a homebody so I may not be the best person to ask| [person:carol f 5-5][person:emily f 6-6][person:jessica f 8-8][person:mary f 10-10][person:mary f 17-17]
carol| Emily really likes the beach and hippienature type stuff and Jessica loves to shop| [person:emily f 0-0][location:beach s 4-4][person:jessica f 10-10]
mary| Well there is a lot of shopping I think the city walk is a great place to go| [person:mary f 7-7][location:city s 10-10][location:city s 15-15]
carol| I ll do whatever they want I m easy but I want eat good food while there| [person:carol f 0-0][person:they g(emily:jessica) 4-4][person:carol f 6-6][person:carol f 10-10][location:l_a_ s 16-16]
mary| They also have restaurants| [location:restaurants g() 3-3]
mary| Obviously there are a lot of hot spots to go to but I stay away| [person:mary f 12-12]
carol| That sounds fun Is it near the beach| [location:beach s 7-7]
mary| it isnt super far from the beach| [location:beach s 6-6]
carol| Thanks for the advice Maybe we can go there one day and the beach the next Ttyl| [person:we g(carol:emily:jessica) 5-5][location:beach s 13-13]
