conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
leslie| Looks like Roy said we could move it to another day I m free to pick Ashley up| [person:roy m 2-2][person:we g(leslie:roy) 4-4][location:it s 7-7][person:leslie f 11-11][person:ashley f 16-16]
tara| Thanks so much Leslie and say thank you to Roy too I ll buy both of you dinner next time| [person:leslie f 3-3][person:leslie f 7-7][person:roy m 9-9][person:tara f 11-11][person:we g(leslie:roy) 16-16][location:dinner s 17-17]
leslie| OK I ll hold you to that take care Tara| [person:leslie f 1-1][person:tara f 4-4][person:tara f 9-9]

conv:people_2019090101_112:aug_0:chat_0:chataug_0| adam dwight| [person:adam m 0-0][person:dwight m 1-1]
adam| Hey Dwight I just spoke to John man and something came up at work for him| [person:dwight m 1-1][person:adam m 2-2][person:john m 6-6][location:work s 13-13][person:john m 15-15]
adam| But I think he can still make it He said he s free after 6 PM that day| [person:adam m 1-1][person:john m 3-3][location:court s 7-7][person:john m 8-8][person:john m 10-10]
dwight| Oh dang No problem at all But actually I think the court s not open to the public at that time man I ll look for some other courts nearby| [person:dwight m 8-8][location:court s 11-11][person:dwight m 22-22][location:other_courts g() 27-28][location:court g() 28-28]
adam| Yeah sorry about that man but things happen We should be all good I know the gym has an open court 24 hours a day| [person:we g(adam:dwight) 8-8][person:adam m 13-13][location:gym s 16-16][location:gym s 20-20]
dwight| No no it s no worries We need John to play with us the guy s beast| [location:it s 2-2][person:we g(adam:dwight) 6-6][person:john m 8-8][person:us g(john) 12-12]
dwight| And you know the gym court s usually packed the most by that time| [person:adam m 1-1][location:gym s 4-4][location:gym s 5-5]
adam| Oh okay I see Bummer But we have Michael s place| [person:adam m 2-2][person:we g(adam:dwight) 6-6][person:michael m 8-8][location:place s 10-10]
dwight| I was going to say we should call Michael because it s always available for us even if it s far as heck for you| [person:dwight m 0-0][person:we g(adam:dwight) 5-5][person:michael m 8-8][location:place s 10-10][person:us g(john:michael) 15-15][location:place s 18-18][person:adam m 24-24]
adam| Yeah but that s fine though Michael s court is premium Haha| [person:michael m 6-6][location:place s 8-8]
dwight| I can t wait to ball there then I ll ask Michael if we can ball out there at that time and I ll confirm the info with you and the guys in a minute| [person:dwight m 0-0][location:place s 6-6][person:dwight m 8-8][person:michael m 11-11][person:we g(adam:dwight) 13-13][location:place s 17-17][person:dwight m 22-22][person:adam m 28-28]
adam| Sounds good bud I m going to go pick up some Powerade for all of us too| [person:adam m 3-3][person:us g(john) 15-15]

conv:people_2019090101_113:aug_0:chat_0:chataug_0| charlotte cynthia| [person:charlotte f 0-0][person:cynthia f 1-1]
charlotte| hai cynthia actually my uncle dan and aunt catherine are visiting New Orleans this week end| [person:cynthia f 1-1][person:charlotte f 3-3][person:dan m 5-5][person:catherine f 7-7][person:catherine f 8-8][location:new_orleans s 11-12]
cynthia| oh its great what about you charlotte| [person:charlotte f 5-5][location:charlotte s 6-6]
charlotte| No charlotte i am not coming actually i need to know some important places over there| [location:charlotte s 1-1][person:charlotte f 2-2][person:charlotte f 7-7][location:new_orleans g() 13-13][location:charlotte s 15-15]
cynthia| What kind of place whether park or church| [location:new_orleans s 3-3][location:new_orleans s 5-5][location:new_orleans s 7-7]
charlotte| ok actually they are interested in visiting church over there| [person:they g(dan:catherine) 2-2][location:new_orleans s 7-7][location:new_orleans s 9-9]
cynthia| there is a wonderful church in New orleans and also some museum near by| [location:new_orleans s 4-4][location:new_orleans s 6-7][location:new_orleans s 11-11]
charlotte| Whether you could accomodate them| [person:cynthia f 1-1][person:they g(dan:catherine) 4-4]
cynthia| i will meet them in the breakfast and i will guide them to reach that place| [person:cynthia f 0-0][person:they g(dan:catherine) 3-3][location:breakfast s 6-6][person:cynthia f 8-8][person:they g(dan:catherine) 11-11][location:new_orleans s 15-15]
charlotte| ok i will inform my uncle whether they willing to join you at the breakfast| [person:charlotte f 1-1][person:charlotte f 4-4][person:they g(dan:catherine) 7-7][person:cynthia f 11-11][location:breakfast s 14-14]
cynthia| ok then please contact me charlotte after discussing with them| [person:cynthia f 4-4][person:they g(dan:catherine) 9-9]
charlotte| ok cynthia thanks a lot| [person:cynthia f 1-1]

conv:people_2019090101_114:aug_0:chat_0:chataug_0| daniel harold| [person:daniel m 0-0][person:harold m 1-1]
daniel| I can t wait to go out to lunch together| [person:daniel m 0-0][location:lunch s 8-8]
harold| Me too I m looking forward to a nice restaurant and no dishes| [person:harold m 0-0][person:harold m 2-2][location:lunch s 9-9]
daniel| Who should we invite to dinner with us| [person:we g(daniel:harold) 2-2][location:lunch s 5-5][person:we g(daniel:harold) 7-7]
harold| How about we invite Jack and Eugene to dinner| [person:we g(daniel:harold) 2-2][person:jack m 4-4][location:eugene s 6-6][location:lunch s 8-8]
daniel| Maybe Jack but I m not sure about inviting Eugene to dinner| [person:jack m 1-1][person:daniel m 3-3][location:eugene s 9-9][location:lunch s 11-11]
harold| Why not invite Eugene he s pretty cool| [location:eugene s 3-3][person:eugene m 4-4]
daniel| He only ever wants to go out for burgers and complains if we go anywhere else| [person:eugene m 0-0][person:we g(daniel:harold) 12-12]
harold| Yes I guess you are right We can just invite Jack| [person:harold m 1-1][person:daniel m 3-3][person:we g(daniel:harold) 6-6][person:jack m 10-10]
daniel| I was thinking Chinese for the evening What do you think| [person:daniel m 0-0][person:harold m 9-9]
harold| Yes that sounds really good Let me call Jack and see if he s up for it| [person:harold m 6-6][person:jack m 8-8][person:jack m 12-12][location:lunch s 16-16]
daniel| Sure that sounds good Let me know| [person:daniel m 5-5]

conv:people_2019090101_116:aug_0:chat_0:chataug_0| julia patricia| [person:julia f 0-0][person:patricia f 1-1]
patricia| Hey would you happen to be available tomorrow morning to go workout with me| [person:julia f 2-2][person:patricia f 13-13]
julia| Tomorrow morning Sorry I have to be on work earlier tomorrow for a meeting that I have to go to| [person:julia f 3-3][person:julia f 15-15]
patricia| Really well it won t take too long and we can workout real early so you can make it to the meeting| [location:it s 2-2][person:julia___patricia g(patricia:julia) 9-9][person:julia f 15-15][location:it s 18-18]
julia| I really don t want to push my luck tomorrow the last time I ended up getting stuck in traffic and made it late to the meeting| [person:julia f 0-0][person:julia f 7-7][person:julia f 13-13][location:it s 22-22]
patricia| Yeah I guess it would be better if you played it safe for tomorrow| [person:patricia f 1-1][location:it s 3-3][person:julia f 8-8][location:it s 10-10]
julia| I you d like I do know that someone would be happy to accompany you tomorrow for a workout| [person:julia f 0-0][person:patricia f 1-1][person:julia f 4-4][person:someone u 8-8][person:patricia f 14-14]
patricia| Really who is it Is it someone I know or is it one of your coworkers| [location:it s 3-3][location:it s 5-5][person:someone u 6-6][person:patricia f 7-7][location:it s 11-11][person:julia f 14-14][person:co_workers g() 15-15]
julia| Its nothing like a coworker its Emma my friend from high school that I still keep in touch know and then She s really committed to working out everyday| [person:co_workers g() 4-4][person:emma f 6-6][person:julia f 7-7][person:emma f 8-8][location:high_school s 10-11][person:julia f 13-13][person:emma f 21-21]
patricia| That sounds great would you happen to know her phone number so I can call her if she can make it tomorrow morning| [person:julia f 4-4][person:emma f 8-8][person:patricia f 12-12][person:emma f 15-15][person:emma f 17-17][location:it s 20-20]
julia| Of course its 2115662331 Make sure to give her a call today sometime after 3 pm she should be available by then| [person:emma f 8-8][person:emma f 16-16]

conv:people_2019090101_117:aug_0:chat_0:chataug_0| ashley marie| [person:ashley f 0-0][person:marie f 1-1]
marie| Hey Ashley how have you been| [person:ashley f 1-1][person:ashley f 4-4]
ashley| I ve been doing well It s good to finally see you again| [person:ashley f 0-0][person:marie f 11-11]
marie| I know I m so excited to see everybody again Where are they| [person:marie f 0-0][person:marie f 2-2][person:everybody g(marie:ashley) 8-8][location:where s 10-10][person:everybody g(marie:ashley) 12-12]
ashley| You mean Emily Bradley and Greg| [person:marie f 0-0][person:emily f 2-2][person:bradley m 3-3][person:greg m 5-5]
marie| Yes It s been so long since I ve seen everybody we should go out and do something| [person:marie f 7-7][person:everybody g(marie:ashley) 10-10][person:we g(marie:ashley) 11-11]
ashley| Definitely I m sure everybody would be down| [person:ashley f 1-1][person:everybody g(marie:ashley) 4-4]
marie| What do you think we should do Can you set it all up| [person:marie f 2-2][person:we g(marie:ashley) 4-4][person:ashley f 8-8]
ashley| Yea no problem The only thing is Bradley doesn t like to drive too far so we should pick someplace nearby that will work for him| [person:bradley m 7-7][person:we g(marie:ashley) 16-16][location:someplace_nearby s 19-20][person:bradley m 25-25]
marie| Oh okay As long as we can all get there easy I don t see a problem| [person:we g(marie:ashley) 5-5][location:someplace_nearby s 9-9][person:marie f 11-11]
ashley| Yea I know a place nearby we should go Why don t you give me a minute and i ll call them up Okay| [person:ashley f 1-1][location:someplace_nearby s 4-4][person:we g(marie:ashley) 6-6][person:marie f 12-12][person:ashley f 14-14][person:ashley f 18-18][person:them g(emily:bradley:greg) 21-21]
marie| Yea no problem I m so excited to see everybody again| [person:marie f 3-3][person:everybody g(marie:ashley:emily:bradley:greg) 9-9]

conv:people_2019090101_118:aug_0:chat_0:chataug_0| julia shirley| [person:julia f 0-0][person:shirley f 1-1]
shirley| Julia can you help me plan our party tonight| [person:julia f 0-0][person:julia f 2-2][person:shirley f 4-4][person:our g(shirley:julia) 6-6]
julia| I m excited for the party with Sarah Lara and Margaret| [person:julia f 0-0][person:sarah f 7-7][person:lara f 8-8][person:margaret f 10-10]
shirley| Yes I agree let s plan things out what should we get| [person:shirley f 1-1][person:we g(shirley:julia) 10-10]
julia| I think that we should just get simple things like chips and board games| [person:julia f 0-0][person:we g(shirley:julia) 3-3]
shirley| Sure thing how about you pick up the chips| [person:julia f 4-4]
julia| OK sure what board games are you going to bring| [person:shirley f 6-6]
shirley| I m thinking Monopoly should be fine I know that all the girls love it| [person:shirley f 0-0][person:shirley f 7-7][person:our g(shirley:julia:sarah:lara:margaret) 12-12][location:it s 14-14]
julia| OK I ll bring chips and I might as well pick up some wine too| [person:julia f 1-1][person:julia f 6-6]
shirley| OK sounds good see you at the party later| [person:julia f 4-4]
julia| OK can t wait see ya|

conv:people_2019090101_119:aug_0:chat_0:chataug_0| megan pamela| [person:megan f 0-0][person:pamela f 1-1]
megan| Hey Pamela I got some news about lunch this week| [person:pamela f 1-1][person:megan f 2-2]
pamela| Oh man what s going on Megan| [person:megan f 6-6]
megan| Well I ran into Roger this morning and he said that they can t make it this week| [person:megan f 1-1][person:roger m 4-4][person:roger m 8-8][person:they g(roger) 11-11]
pamela| Aww shoot that stinks Are we still on for lunch| [person:we g(megan:pamela) 5-5]
megan| You and me Yeah of course What time would work best for you| [person:pamela f 0-0][person:megan f 2-2][person:pamela f 12-12]
pamela| Well Im free thursday and wednesday how about you| [person:megan f 8-8]
megan| Thursday works for me and we still wanna do lunch or would you like to do something else| [person:megan f 3-3][person:we g(megan:pamela) 5-5][person:pamela f 12-12]
pamela| Maybe we could go to lunch then head to do some sort of show or movie| [person:we g(megan:pamela) 1-1]
megan| Yeah that sounds awesome we could hit up the movie theater that s right by the sandwich place| [person:we g(megan:pamela) 4-4]
pamela| Great idea and matinees are always cheaper It ll be like we never missed them| [person:we g(megan:pamela) 11-11][person:them g(roger) 14-14]

conv:people_2019090101_120:aug_0:chat_0:chataug_0| julia madison| [person:julia f 0-0][person:madison f 1-1]
madison| Julia there s a really big favor I need to ask from you| [person:julia f 0-0][person:madison f 7-7][person:julia f 12-12]
julia| What is it Madison| [person:madison f 3-3]
madison| You know how my friends Jack and Carlos are coming to town| [person:julia f 0-0][person:madison f 3-3][person:friends g() 4-4][person:jack m 5-5][person:carlos m 7-7][location:town s 11-11]
julia| Yeah what about it|
madison| I won t be able to take them around for one of their days here Can you show them around| [person:madison f 0-0][person:them g(jack:carlos) 7-7][person:their g(jack:carlos) 12-12][location:town s 14-14][person:julia f 16-16][person:them g(jack:carlos) 18-18]
