conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
noel| sure i suggest that you postpone landscaping to next weekend so you can get my hand| [person:noel m 1-1][person:carol f 4-4][person:carol f 11-11][person:noel m 14-14]
noel| you can join us to the lakeside this weekend| [person:carol f 0-0][person:us g(noel:shannon:wade) 3-3]
noel| i will think about that and let you know| [person:noel m 0-0][person:wade m 7-7]

conv:people_chats_0629_398:aug_0:chat_0:chataug_0| forest monisha| [person:forest m 0-0][person:monisha f 1-1]
monisha| We need to get our family together for the reunion| [person:we g(monisha:forest) 0-0][person:we g(monisha:forest) 4-4][person:family g() 5-5]
monisha| It is this summer|
monisha| In good old Galveston Texas| [location:old_galveston s 2-3][location:texas s 4-4]
monisha| Can you see if your sister Miranda can attend the reunion| [person:forest m 1-1][person:forest m 4-4][person:miranda f 5-5][person:miranda f 6-6]
forest| She travels a lot for work so may actually already have a trip booked| [person:miranda f 0-0]
forest| I am not sure though so will call her to find out| [person:forest m 0-0][person:miranda f 8-8]
monisha| Already spoke to my brother Jason and he confirmed he will attend with the family| [person:monisha f 3-3][person:jason m 4-4][person:jason m 5-5][person:jason m 7-7][person:jason m 9-9][person:family g(miranda) 14-14]
monisha| He is excited to get the family together| [person:jason m 0-0][person:family g(miranda) 6-6]
monisha| He wants to teach them to boogie board| [person:jason m 0-0][person:family g(miranda:jason) 4-4]
forest| Should I book one large beach house or leave it to each family to find lodging| [person:forest m 1-1][location:beach s 5-5][person:family g(miranda:jason) 12-12]
monisha| We will need to figure that out| [person:we g(monisha:forest) 0-0]
forest| Yes let s do that|
forest| Jason and the kids will have so much fun| [person:jason m 0-0][person:kids g() 3-3]

conv:people_chats_0629_400:aug_0:chat_0:chataug_0| craig laci| [person:craig m 0-0][person:laci f 1-1]
laci| isvyour favorit moviestill fures bullers day off|
craig| no it is not|
craig| mostly due to the leering principal s actor turning out to have been an actual predator|
laci| is that s true i thought that predator was killed by that one guy with the chopper and whatever Tom| [person:laci f 4-4][person:tom m 19-19]
craig| do you know what the word actual means and more importantly do you really think that the guy that killed the predator was named Tom| [person:laci f 1-1][person:laci f 12-12][person:tom m 24-24]
laci| yes to both he was super brave and smart and stuff so i definitely sure she remembers his name right| [person:tom m 3-3][person:laci f 12-12][person:nina f 15-15][person:tom m 17-17]
craig| you should see more movies with your sister Nina that way you might actually retain something about the classics| [person:laci f 0-0][person:laci f 6-6][person:nina f 7-7][person:nina f 8-8][person:laci f 11-11]
laci| she keeps on interrupting to tell me about random stuff and makes watching movies boring| [person:nina f 0-0][person:laci f 6-6]
craig| your sister is telling you trivia and it s all related to the film and if you would listen instead of texting you might pick up on that| [person:laci f 0-0][person:nina f 1-1][person:laci f 4-4][person:laci f 16-16][person:laci f 22-22]
laci| did my sister tell you to say that just because she s being boring over a movie right now| [person:laci f 1-1][person:nina f 2-2][person:craig m 4-4][person:nina f 10-10]

conv:people_chats_0629_401:aug_0:chat_0:chataug_0| quentin shay| [person:quentin m 0-0][person:shay f 1-1]
quentin| Hey Shay I just wanted to see if you want to take the kids to the zoo this weekend| [person:shay f 1-1][person:quentin m 2-2][person:shay f 8-8][person:kids g() 13-13]
shay| That could be fun Kelly and Kyle love the zoo| [person:kids g() 4-4][person:kids g() 6-6][location:zoo s 9-9]
quentin| Yes they do and they ve been asking to go| [person:kids g() 1-1][person:kids g() 4-4]
shay| True they had so much fun when we went a few months ago| [person:kids g() 1-1][person:kids g(shay) 7-7]
quentin| They did They loved seeing all of the animals| [person:kids g(shay) 0-0][person:kids g(shay) 2-2]
shay| I don t see any reason we can t go on Saturday| [person:shay f 0-0][person:shay___kids g() 6-6]
shay| I have to clean some offices on Sunday but Saturday should work We can tell them when I get home from work today| [person:shay f 0-0][location:offices g() 5-5][person:shay___quentin g(quentin:shay) 12-12][person:kids g(shay) 15-15][person:shay f 17-17][location:home s 19-19]
quentin| That sounds good I m sure they ll be excited| [person:quentin m 3-3][person:kids g(shay) 6-6]
shay| Definitely I m glad you suggested it| [person:shay f 1-1][person:quentin m 4-4]
quentin| Me too| [person:quentin m 0-0]
shay| See you when I get home And we ll tell them| [person:quentin m 1-1][person:shay f 3-3][location:home s 5-5][person:shay___quentin g(quentin:shay) 7-7][person:kids g(shay) 10-10]

conv:people_chats_0629_403:aug_0:chat_0:chataug_0| ann bo| [person:ann f 0-0][person:bo m 1-1]
ann| So what do you think we should do with the cat while we re on vacation| [person:ann f 3-3][person:we g(ann:bo) 5-5][person:we g(ann:bo) 12-12]
bo| What about Kelly from next door| [person:kelly f 2-2]
ann| But she has no pets| [person:kelly f 1-1]
bo| So All she needs to do is come over check on him and give him food and water| [person:kelly f 2-2][person:him m 11-11][person:him m 14-14]
ann| No I want someone with experience to check on the cat| [person:ann f 1-1][person:someone u 3-3]
bo| Well who do you suggest| [person:ann f 3-3]
ann| Let me think for a minute| [person:ann f 1-1]
bo| It s not that big a deal|
ann| It is a big deal I know What about my cousin William| [person:ann f 5-5][person:ann f 9-9][person:cousin u 10-10][person:william m 11-11]
bo| That could work|
ann| He has 2 cats of his own and he loves animals Perfect| [person:william m 0-0][person:william m 5-5][person:william m 8-8]
bo| If you say so| [person:ann f 1-1]

conv:people_chats_0629_405:aug_0:chat_0:chataug_0| able fiora| [person:able m 0-0][person:fiora f 1-1]
fiora| hello|
able| hello|
fiora| How are you| [person:able m 2-2]
able| I am good| [person:able m 0-0]
able| What about you| [person:fiora f 2-2]
fiora| I am fine| [person:fiora f 0-0]
fiora| Do you know about Amira and Jason| [person:able m 1-1][person:amira f 4-4][person:jason m 6-6]
able| I don t know| [person:able m 0-0]
fiora| What is your favorite place| [person:able m 2-2][location:place s 4-4]
able| My favorite place is New York| [person:able m 0-0][location:place s 2-2][location:place s 4-5]
fiora| Do you have any week end plane| [person:able m 1-1]
able| I don t have any plane| [person:able m 0-0]

conv:people_chats_0629_407:aug_0:chat_0:chataug_0| margaret paula| [person:margaret f 0-0][person:paula f 1-1]
margaret| Hey Paula how s it going| [person:paula f 1-1]
paula| Good how are you| [person:margaret f 3-3]
margaret| I m good I was wondering if you felt like playing some poker this Friday| [person:margaret f 0-0][person:margaret f 3-3][person:paula f 7-7]
paula| I d love to but I can t Jess and I are going to Vegas soon and I need to save my luck for the bigtime gambling| [person:paula f 0-0][person:paula f 5-5][person:jess f 8-8][person:paula f 10-10][location:vegas s 14-14][person:paula f 17-17][person:paula f 21-21]
margaret| No need for the explanation a simple no would ve been fine Are you two planning on playing as a team| [person:group g(paula:jess) 13-13][person:team g() 20-20]
paula| Shhh don t mention team play The casino s might be listening| [person:team g() 4-4]
margaret| I think that s a bit paranoid of you| [person:margaret f 0-0][person:paula f 8-8]
paula| You d think so but my brother got kneecapped in a casino backroom for card counting So I don t put anything past them| [person:margaret f 0-0][person:paula f 5-5][person:brother m 6-6][person:team g() 23-23]
margaret| Oh god I m sorry for saying that then Is he ok Is that why you want to get back at the casinos so bad| [person:margaret f 2-2][person:brother m 10-10][person:paula f 15-15]
paula| Yeah that and I want to make money duhhhh| [person:paula f 3-3]

conv:people_chats_0629_408:aug_0:chat_0:chataug_0| holly paco| [person:holly f 0-0][person:paco m 1-1]
holly| Hey Babe Can you do me a favor| [person:paco m 3-3][person:holly f 5-5]
paco| Sure What s up|
holly| I m at Macy s shopping for the kids and I forgot to look at their sizes| [person:holly f 0-0][person:macy f 3-3][person:kids g() 8-8][person:holly f 10-10][person:their g() 15-15]
paco| What do you need me to do| [person:holly f 2-2][person:paco m 4-4]
holly| Can you look in their closets and tell me what their shirt sizes are| [person:paco m 1-1][person:their g() 4-4][person:holly f 8-8][person:their g() 10-10]
paco| Sure Morgan is a 4T| [person:morgan m 1-1]
holly| Cool that s what I thought| [person:holly f 4-4]
paco| Micha is a size 8| [person:micha m 0-0]
holly| Perfect Thanks|
paco| Do you want their shoe sizes as well| [person:holly f 1-1][person:their g() 3-3]
holly| It couldn t hurt|

conv:people_chats_0629_409:aug_0:chat_0:chataug_0| juliet wyatt| [person:juliet f 0-0][person:wyatt m 1-1]
juliet| hey hai|
wyatt| haii|
juliet| where are you now| [person:wyatt m 2-2]
wyatt| now i am waiting for Taylor| [person:wyatt m 1-1][person:taylor m 5-5]
juliet| can you pick me| [person:wyatt m 1-1][person:juliet f 3-3]
wyatt| sorry i went to drop Taylor Taylor s home| [person:wyatt m 1-1][person:taylor m 5-5][person:taylor m 6-6][location:home s 8-8]
juliet| ooh where is the Paula may i ask help to her| [person:paula f 4-4][person:juliet f 6-6][person:paula f 10-10]
wyatt| sorry i think she was busy now better| [person:wyatt m 1-1][person:paula f 3-3]
wyatt| better you can catch any bus or texi now| [person:juliet f 1-1]
juliet| oh thank you| [person:wyatt m 2-2]
wyatt| sorry and take care|
juliet| its okey thanks goodness|

conv:people_chats_0629_410:aug_0:chat_0:chataug_0| aubrey serge| [person:aubrey f 0-0][person:serge m 1-1]
serge| Can you give me a ride today| [person:aubrey f 1-1][person:serge m 3-3]
serge| My car is still in the shop| [person:serge m 0-0]
aubrey| I will but I need 10 minutes because I have to help Trina clean up the break room| [person:aubrey f 0-0][person:aubrey f 3-3][person:aubrey f 8-8][person:trina f 12-12]
aubrey| It s my day to do cleaning| [person:aubrey f 2-2]
serge| It s okay I ll just call my son Mack| [person:serge m 3-3][person:serge m 7-7][person:mack m 8-8][person:mack m 9-9]
serge| I haven t talked to him lately| [person:serge m 0-0][person:mack m 5-5]
serge| I want to talk to him because he is moving| [person:serge m 0-0][person:mack m 5-5][person:mack m 7-7]
aubrey| That sounds nice|
serge| Yes I can t wait to see him| [person:serge m 1-1][person:mack m 7-7]
serge| I miss him| [person:serge m 0-0][person:mack m 2-2]
aubrey| I bet you do| [person:aubrey f 0-0][person:serge m 2-2]
serge| I will see you soon| [person:serge m 0-0][person:aubrey f 3-3]
aubrey| Sure thing See you soon| [person:serge m 3-3]

conv:people_chats_0629_411:aug_0:chat_0:chataug_0| anita shamim| [person:anita f 0-0][person:shamim m 1-1]
anita| Hey Shamim Do you want to go to Target| [person:shamim m 1-1][person:shamim m 3-3]
anita| I need new sheets and a patio table| [person:anita f 0-0]
anita| Want to come with me| [person:anita f 4-4]
shamim| Oh actually yes I want to go| [person:shamim m 3-3]
shamim| I need new jeans| [person:shamim m 0-0]
shamim| Can I bring Bethany and Tobin with me| [person:shamim m 1-1][person:bethany f 3-3][person:tobin m 5-5][person:shamim m 7-7]
shamim| They need to get out of the house| [person:they g() 0-0]
shamim| Plus their mother needs some alone time| [person:they g() 1-1]
anita| Yeah sure|
anita| Are you able to pick me up though| [person:shamim m 1-1][person:shamim m 2-2][person:anita f 5-5]
anita| I don t have car seats in my car| [person:anita f 0-0][person:anita f 7-7]

conv:people_chats_0629_413:aug_0:chat_0:chataug_0| dawn trudy| [person:dawn f 0-0][person:trudy f 1-1]
trudy| Hey girl What are you doing this Friday| [person:dawn f 4-4]
dawn| Um I was planning on studying why| [person:dawn f 1-1]
trudy| Well I just ran into Jason and Devon at the gas station They were telling me about that abandoned insane aslyum by the lake| [person:trudy f 1-1][person:jason m 5-5][person:devon m 7-7][location:station s 11-11][person:they g(jason:devon) 12-12][person:trudy f 15-15]
dawn| Oh no|
trudy| What You don t even know what I m going to ask| [person:dawn f 1-1][person:trudy f 7-7]
dawn| Yes I do Count me out there s no way I m going| [person:dawn f 1-1][person:dawn f 4-4][person:dawn f 10-10]
trudy| Well they said that they were taking some pictures and got the vibe that people had been hanging out in there I thought you of all people would want to check this out C mon I know how you love true crime| [person:they g(jason:devon) 1-1][person:they g(jason:devon) 4-4][person:trudy f 21-21][person:dawn f 23-23][person:trudy f 35-35][person:dawn f 38-38]
dawn| Exactly Beacuse I listen to true crime podcasts Podcasts are safe This sounds totally dangerous You have no idea who we could run into| [person:dawn f 2-2][person:trudy f 15-15][person:we g(trudy:dawn) 20-20]
trudy| Well obviously the guys would come with us| [person:we g(trudy:dawn) 7-7]
dawn| no no no no no I wouldn t even feel safe if they came with us| [person:dawn f 5-5][person:they g(jason:devon) 12-12][person:us g(trudy:dawn) 15-15]
