conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
kendall| Yes I shall not forget and I will make sure that their names get printed on top of the cake| [person:kendall m 1-1][person:kendall m 6-6][person:their g() 11-11]
mary| Yes that will be a nice idea on the other side of the cake the name Darren should be printed| [person:darren m 16-16]
kendall| Sure the names got printed and they will love the cake for sure| [person:their g(darren:bill) 6-6]
mary| That s good to hear and I can t wait to surprise them| [person:mary f 6-6][person:their g(darren:bill) 12-12]
kendall| Yeah I m even excited and let s enjoy the party| [person:kendall m 1-1]

conv:people_chats_04182020_85:aug_0:chat_0:chataug_0| benjamin hillary| [person:benjamin m 0-0][person:hillary f 1-1]
hillary| Hey Benjamin let s join Jacob and Amanda at the Blue Jays game this weekend| [person:benjamin m 1-1][person:jacob m 5-5][person:amanda f 7-7]
benjamin| No Hillary That s a bad idea| [person:hillary f 1-1]
hillary| Why do you think that it is a bad idea| [person:benjamin m 2-2]
benjamin| Because the tickets for this weekend are very much expensive|
hillary| What shall we do then| [person:we g(hillary:benjamin:jacob:amanda) 2-2]
benjamin| Let s go to another game which can be affordable|
hillary| But I really want to meet them| [person:hillary f 1-1][person:them g(jacob:amanda) 6-6]
benjamin| Why are you eager about meeting them| [person:hillary f 2-2][person:them g(jacob:amanda) 6-6]
hillary| Because it has been a long time we met that s why I want to hang out with them| [person:we g(hillary:benjamin:jacob:amanda) 7-7][person:hillary f 12-12][person:them g(jacob:amanda) 18-18]
benjamin| Okay let s meet them in another game which we can afford| [person:them g(jacob:amanda) 4-4][person:we g(hillary:benjamin:jacob:amanda) 9-9]

conv:people_chats_04182020_87:aug_0:chat_0:chataug_0| art spencer| [person:art m 0-0][person:spencer m 1-1]
spencer| Hey Art What are you doing| [person:art m 1-1][person:art m 4-4]
art| Nothing much I m planning to surprise Ruth for Christmas| [person:art m 2-2][person:ruth f 7-7]
spencer| Oh Even I want to plan a surprise my girlfriend for Christmas| [person:spencer m 2-2][person:spencer m 8-8][person:girlfriend f 9-9]
art| Let s think about the gifts and surprise together then|
spencer| Yeah sure Even I need some assistance Art| [person:spencer m 3-3][person:art m 7-7]
art| Let s throw a surprise party and invite all their friends and families| [person:girls g() 9-9][person:friends g() 10-10]
spencer| That s the great idea Let s do it|
art| Yeah I ll make a list for the girls surprise party and invite everyone they know| [person:art m 1-1][person:girls g() 8-8][person:everyone g() 13-13][person:girls g() 14-14]
art| You make all the arrangements that are needed for the party like decorations gifts and cake| [person:spencer m 0-0]
spencer| Okay I will make the arrangements needed for party| [person:spencer m 1-1]

conv:people_chats_04182020_88:aug_0:chat_0:chataug_0| ivan matt| [person:ivan m 0-0][person:matt m 1-1]
ivan| Matt you re all set for the basketball game right| [person:matt m 0-0][person:matt m 1-1]
matt| I am ready but we need two more people What are we going to do about that| [person:matt m 0-0][person:we g(ivan:matt) 4-4][person:we g(ivan:matt) 11-11]
ivan| Yeah that s the main problem do you have anyone in mind who can fill the empty spaces in our team| [person:matt m 7-7][person:anyone u 9-9][person:our g(ivan:matt) 19-19][person:team g() 20-20]
matt| We can invite Richard and Sean to join the team| [person:we g(ivan:matt) 0-0][person:richard m 3-3][person:sean m 5-5][person:team g() 9-9]
ivan| But Richard has poor shooting skills whereas Sean is poor in defense| [person:richard m 1-1][person:sean m 7-7]
matt| Look at the good side Sean is good at shooting and Richard can be the defense| [person:sean m 5-5][person:richard m 11-11]
ivan| Are you sure that having them in our team would help us win the game| [person:matt m 1-1][person:them g(richard:sean) 5-5][person:our g(ivan:matt) 7-7][person:team g() 8-8][person:us g(ivan:matt) 11-11]
matt| I can not be sure but they are good players and practice will make them better| [person:matt m 0-0][person:they g(richard:sean) 6-6][person:them g(richard:sean) 14-14]
ivan| Alright then join them in the team and inform them about the game| [person:them g(richard:sean) 3-3][person:team g() 6-6][person:them g(richard:sean) 9-9]
matt| Good see you at the game then| [person:ivan m 2-2]

conv:people_chats_04182020_89:aug_0:chat_0:chataug_0| george patricia| [person:george m 0-0][person:patricia f 1-1]
george| Hey Patricia Did you hear about our nephews Josh and Ethan| [person:patricia f 1-1][person:patricia f 3-3][person:our g(george) 6-6][person:josh m 8-8][person:ethan m 10-10]
patricia| No Why What happened with them| [person:nephews g(josh:ethan) 5-5]
george| I heard that they are not planning to come over for Christmas| [person:george m 0-0][person:nephews g(josh:ethan) 3-3]
patricia| Why they aren t coming to visit us| [person:nephews g(josh:ethan) 1-1][person:our g(george:patricia) 7-7]
george| They said they want to but they are helpless| [person:nephews g(josh:ethan) 0-0][person:nephews g(josh:ethan) 2-2][person:nephews g(josh:ethan) 6-6]
patricia| What do you mean they are helpless| [person:george m 2-2][person:nephews g(josh:ethan) 4-4]
george| They are very busy with their work as they both are in work retail during the holidays| [person:nephews g(josh:ethan) 0-0][person:nephews g(josh:ethan) 5-5][person:nephews g(josh:ethan) 8-8]
patricia| That s so sad There will be no fun if they don t join us| [person:nephews g(josh:ethan) 10-10][person:our g(george:patricia) 14-14]
george| I know that but we can t do anything about it now| [person:george m 0-0][person:our g(george:patricia) 4-4]
patricia| Yeah okay Let s see what happens on Christmas|

conv:people_chats_04182020_90:aug_0:chat_0:chataug_0| derek jim| [person:derek m 0-0][person:jim m 1-1]
derek| Jim let s order pizza and get beer when Walt and Bradley come over in the weekend| [person:jim m 0-0][person:walt m 9-9][person:bradley m 11-11]
jim| What toppings should we get for them on the pizza| [person:we g(derek:jim) 3-3][person:them g(walt:bradley) 6-6]
derek| Walt is very specific about his toppings He usually chooses his own after he arrives at the party| [person:walt m 0-0][person:walt m 5-5][person:walt m 7-7][person:walt m 10-10][person:walt m 13-13]
jim| But he is always late and we end up waiting for him to order the pizza| [person:walt m 1-1][person:we g(derek:jim) 6-6][person:walt m 11-11]
derek| This time we ll ask him what he d like beforehand so that we won t have to wait for him| [person:we g(derek:jim) 2-2][person:walt m 5-5][person:walt m 7-7][person:we g(derek:jim) 13-13][person:walt m 20-20]
jim| That s a good idea Derek| [person:derek m 5-5]
derek| Also what beer should we get| [person:we g(derek:jim) 4-4]
jim| Bradley is very particular about drinks He only prefers Bud Light| [person:bradley m 0-0][person:bradley m 6-6]
derek| Then let s get Bud Light for all of us| [person:us g(derek:jim:walt:bradley) 9-9]
jim| Cool we are all set for the weekend then| [person:we g(derek:jim) 1-1]

conv:people_chats_04182020_91:aug_0:chat_0:chataug_0| alex kristian| [person:alex m 0-0][person:kristian m 1-1]
kristian| Alex have you heard that there are 2 new kids in the town who are good at basketball| [person:alex m 0-0][person:alex m 2-2][person:kids g() 9-9][location:town s 12-12]
alex| No I didn t have this information Who told you this| [person:alex m 1-1][person:kristian m 9-9]
kristian| You haven t attended the class yesterday A team member of ours have informed me| [person:alex m 0-0][person:team g() 8-8][person:team g(kristian:alex) 11-11][person:kristian m 14-14]
alex| You should have asked whether they were good at it| [person:kristian m 0-0][person:kids g() 5-5]
kristian| I don t know I ve only heard about them Personally I haven t seen them play| [person:kristian m 0-0][person:kristian m 4-4][person:kids g() 9-9][person:kristian m 11-11][person:kids g() 15-15]
alex| Let s challenge them with a game What do you think| [person:kids g() 3-3][person:kristian m 9-9]
kristian| I guess that won t b fair We can have other means to check out their game| [person:kristian m 0-0][person:kristian_and_alex g(kristian:alex) 7-7][person:kids g() 15-15]
alex| What are you suggesting then| [person:kristian m 2-2]
kristian| Instead of challenging them for a game let s involve them in our team check their game| [person:kids g() 3-3][person:kids g() 10-10][person:kristian_and_alex g(kristian:alex) 12-12][person:team g(kristian:alex) 13-13][person:kids g() 15-15]
alex| Well if they are good enough then we can include them in our upcoming final tournament| [person:kids g() 2-2][person:kristian_and_alex g(kristian:alex) 7-7][person:kids g() 10-10][person:kristian_and_alex g(kristian:alex) 12-12]

conv:people_chats_04182020_93:aug_0:chat_0:chataug_0| cheryl tanya| [person:cheryl f 0-0][person:tanya f 1-1]
tanya| Hi Cheryl did you get any text from mom| [person:cheryl f 1-1][person:cheryl f 3-3][person:mom f 8-8]
cheryl| Not yet Hey wait yes i did get the text It says she will be late from the work| [person:cheryl f 5-5][person:mom f 12-12]
tanya| Is there anything else we should be careful about| [person:we g(tanya:cheryl:mom) 4-4]
tanya| I think she wants us to have the dinner prepared for aunt Dorothy and herself| [person:tanya f 0-0][person:mom f 2-2][person:us g(tanya:cheryl) 4-4][person:dorothy f 11-11][person:dorothy f 12-12][person:mom f 14-14]
cheryl| Yes it will be better if we go and make preparations in the kitchen I hope you don t burn the bacon like last time| [person:we g(tanya:cheryl) 6-6][location:kitchen s 13-13][person:cheryl f 14-14][person:tanya f 16-16]
tanya| I will be careful this time Can you help me out in baking the pan cakes Dorothy loves it| [person:tanya f 0-0][person:cheryl f 7-7][person:tanya f 9-9][person:dorothy f 16-16]
cheryl| Yeah sure She loves extra cheese and honey I am afraid that we are running short of milk| [person:dorothy f 2-2][person:cheryl f 8-8][person:we g(cheryl) 12-12]
cheryl| It is better if i go and hit the dairy and buy some milk and eggs In the mean time you get the oven ready| [person:cheryl f 4-4][person:tanya f 20-20]
tanya| I am already on it you go to the dairy and purchase the needful| [person:tanya f 0-0][person:cheryl f 5-5]
cheryl| It s a good idea that we are making pan cakes and bacon I am sure they will enjoy a nice dinner| [person:we g(tanya:cheryl) 6-6][person:cheryl f 13-13][person:they g(mom:dorothy) 16-16]

conv:people_chats_04182020_94:aug_0:chat_0:chataug_0| jordan tyler| [person:jordan m 0-0][person:tyler m 1-1]
jordan| Hey Tyler my birthday is coming on this weekend I want to invite you on my birthday| [person:tyler m 1-1][person:jordan m 2-2][person:jordan m 9-9][person:tyler m 13-13][person:jordan m 15-15]
tyler| Oh this weekend i m glad that you invited me on your birthday| [person:tyler m 3-3][person:jordan m 7-7][person:tyler m 9-9][person:jordan m 11-11]
jordan| Yeah I just want to invite few closest school friends That why I invited you| [person:jordan m 1-1][person:friends g(tyler) 9-9][person:jordan m 12-12][person:tyler m 14-14]
tyler| Well you want to invite only your closest friends So whom you have decided to invite on your birthday| [person:jordan m 1-1][person:jordan m 6-6][person:friends g(tyler) 8-8][person:jordan m 11-11][person:jordan m 17-17]
jordan| I have only few names in my mind Can you tell few more names| [person:jordan m 0-0][person:jordan m 6-6][person:tyler m 9-9]
tyler| I think why cant you invite our friends Macy ans Paula| [person:tyler m 0-0][person:jordan m 4-4][person:our g(jordan:tyler) 6-6][person:friends g(tyler) 7-7][person:macy f 8-8][person:paula f 10-10]
jordan| Macy and Paula are good friends of mine when ever I feel lonely this two be their for me| [person:macy f 0-0][person:paula f 2-2][person:friends g(tyler:macy:paula) 5-5][person:jordan m 7-7][person:jordan m 10-10][person:jordan m 18-18]
tyler| Then you have to invite them Because the persons who are with us in our bad times are the best i feel| [person:jordan m 1-1][person:them g(macy:paula) 5-5][person:our g(jordan:tyler) 12-12][person:our g(jordan:tyler) 14-14][person:tyler m 20-20]
jordan| Yeah for sure I will invite them for my birthday party at school| [person:jordan m 3-3][person:them g(macy:paula) 6-6][person:jordan m 8-8][location:school s 12-12]
tyler| Sound s great let s met on your birthday party| [person:jordan m 7-7]

conv:people_chats_04182020_97:aug_0:chat_0:chataug_0| emily frank| [person:emily f 0-0][person:frank m 1-1]
emily| Tell me something about your sister Val Frank| [person:emily f 1-1][person:frank m 4-4][person:sister f 5-5][person:val f 6-6][person:frank m 7-7]
frank| Val and myself doesn t know each other very well Just for name sake she is my sister| [person:val f 0-0][person:frank m 2-2][person:val f 14-14][person:frank m 16-16][person:val f 17-17]
emily| I find it very hard to understand Did you guys had any issues earlier| [person:emily f 0-0][person:you_guys g(frank:val) 8-8]
frank| Nothing sorts of that Actually from her childhood she always preferred staying at granny s home| [person:val f 6-6][person:val f 8-8][location:home s 15-15]
emily| Alright Does she have any kind of food restriction| [person:val f 2-2]
