conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
tom| She is our favorite teacher He never gives us home works as well Do you think we should do this to him| [person:smith m 0-0][person:our g(tom:susan) 2-2][person:smith m 5-5][person:our g(tom:susan) 8-8][person:susan f 14-14][person:our g(tom:susan) 16-16][person:smith m 21-21]
susan| Common Tom this is a fund side of every teacher If you dunk him now he will not start giving home works from tomorrow Please don t think in that way| [person:tom m 1-1][person:tom m 11-11][person:smith m 13-13][person:smith m 15-15]
tom| I know him for a very long time and also he is a friend to my dad Not sure whether I can do this or not| [person:tom m 0-0][person:smith m 2-2][person:smith m 10-10][person:smith m 13-13][person:tom m 15-15][person:dad m 16-16][person:tom m 20-20]
susan| See he is really a cool teacher in the entire staff I don t think he will find it reason to punish you| [person:smith m 1-1][person:susan f 11-11][person:smith m 15-15][person:tom m 22-22]
tom| Okay Susan let s do this Everyone is failing to strike the target| [person:susan f 1-1][person:everyone g() 6-6]
susan| I reached almost I know how to hit the target It s really easy Let s dunk him| [person:susan f 0-0][person:susan f 3-3][person:smith m 17-17]

conv:chats_1127_190:aug_0:chat_0:chataug_0| dwayne sara| [person:dwayne m 0-0][person:sara f 1-1]
dwayne| Hello dear how you doing how is the day| [person:sara f 3-3]
sara| Hey dear I am good and I am doing well How was your worktrip| [person:sara f 2-2][person:sara f 6-6][person:dwayne m 12-12][location:worktrip s 13-13]
dwayne| I am even doing well and all good with work trip| [person:dwayne m 0-0][location:worktrip s 10-10]
sara| As you said you are landing today Are you sure about it or any changes in the schedule| [person:dwayne m 1-1][person:dwayne m 3-3][person:dwayne m 8-8]
dwayne| No changes dear as I said you I will be there by today and how are our children| [person:sara f 4-4][person:dwayne m 6-6][person:sara f 7-7][location:there u 10-10][person:sara_and_dwayne g(dwayne:sara) 16-16]
sara| Cool They are even doing good but we are missing you a lot| [person:sara_and_dwayne_s_children g() 1-1][person:sara_and_her_children g(sara) 7-7][person:dwayne m 10-10]
dwayne| Good to hear that they are doing good and I am even missing you people a lot| [person:sara_and_dwayne_s_children g() 4-4][person:dwayne m 9-9][person:sara_and_her_children g(sara) 13-13]
sara| Dear I am running out of time and I am saorry that I cant come to airport and recieve you| [person:sara f 1-1][person:sara f 8-8][person:sara f 12-12][location:airport s 16-16][person:dwayne m 19-19]
dwayne| That s ok dear you carry on with your work We shall meet at home| [person:sara f 4-4][person:sara f 8-8][person:sara_and_dwayne g(dwayne:sara) 10-10][location:home s 14-14]
sara| Thank you and yeah see you soon at home Have a safe journey| [person:dwayne m 1-1][person:dwayne m 5-5][location:home s 8-8]

conv:chats_1127_191:aug_0:chat_0:chataug_0| jamie tara| [person:jamie m 0-0][person:tara f 1-1]
jamie| Hey Mom when are you coming home| [person:mom f 1-1][person:tara f 4-4][location:home s 6-6]
tara| Hey I will be late today I got struck with some office work| [person:tara f 1-1][person:tara f 6-6][location:office s 11-11]
jamie| I m really hungry mom I was waiting for you all this while Can I prepare pasta for myself| [person:jamie m 0-0][person:mom f 4-4][person:jamie m 5-5][person:tara f 9-9][person:jamie m 14-14][person:jamie m 18-18]
tara| No Tara you will mess it up Anyhow I m buying dinner for all of you| [person:tara f 1-1][person:jamie m 2-2][person:tara f 8-8][person:jamie m 15-15]
jamie| Okay Mom please take pasta for me I want extra cheese to it| [person:mom f 1-1][person:jamie m 6-6][person:jamie m 7-7]
tara| Great Find out what Owen and Tara wants| [person:owen m 4-4][person:tara f 6-6]
jamie| Owen likes to have something Chinese and he also needs tomato sauce added to the food| [person:owen m 0-0][person:owen m 7-7]
tara| Okay I will try taking it What about Tanya| [person:tara f 1-1][person:tanya f 8-8]
jamie| Tanya wants to eat a burger She also wants nachos as well| [person:tanya f 0-0][person:tanya f 6-6]
tara| Sure I will take everything I will be in two hours meanwhile you take care both of them| [person:tara f 1-1][person:tara f 5-5][person:jamie m 12-12][person:them g(jamie:tara:mom:owen:tanya) 17-17]

conv:chats_1127_192:aug_0:chat_0:chataug_0| claire rob| [person:claire f 0-0][person:rob m 1-1]
rob| When are you returning from work| [person:claire f 2-2]
claire| Today I will be going to meet my friend Ollie So I will be late Any thing urgent| [person:claire f 1-1][person:claire f 7-7][person:ollie m 8-8][person:ollie m 9-9][person:claire f 11-11]
rob| I wanted to give a bath to our cat but shampoo is not there| [person:rob m 0-0][person:our g(rob:claire) 7-7]
claire| Well for that you may call Elsa She is going to the supermarket| [person:rob m 3-3][person:elsa f 6-6][person:elsa f 7-7]
rob| Is it Let me find out| [person:rob m 3-3]
claire| Yeah just find out whether she have completed her shopping or not| [person:elsa f 5-5][person:elsa f 8-8]
rob| Thank you Once I connect her I ll let you know| [person:claire f 1-1][person:rob m 3-3][person:elsa f 5-5][person:rob m 6-6][person:claire f 9-9]
claire| If you cant connect to her then also let me know| [person:rob m 1-1][person:elsa f 5-5][person:claire f 9-9]
rob| Just now I had a call She told that she will bring the shampoo| [person:rob m 2-2][person:elsa f 6-6][person:elsa f 9-9]
claire| That s great Have a nice time with the cat See you later| [person:rob m 11-11]

conv:chats_1127_193:aug_0:chat_0:chataug_0| deborah lance| [person:deborah f 0-0][person:lance m 1-1]
lance| Hello dear how you doing how is the day| [person:deborah f 3-3]
deborah| Hey dear I am good and I am doing well How was your work trip| [person:deborah f 2-2][person:deborah f 6-6][person:lance m 12-12][location:trip s 14-14]
lance| I am even doing well and all good with work trip| [person:lance m 0-0][location:trip s 10-10]
deborah| As you said you are landing today Are you sure about it or any changes in the schedule| [person:lance m 1-1][person:lance m 3-3][person:lance m 8-8]
lance| No changes dear as i said you I will land today and how are our children| [person:lance m 4-4][person:deborah f 6-6][person:lance m 7-7][person:our g(lance:deborah) 14-14]
deborah| Okay They are even doing good but we missed you a lot| [person:our g(lance:deborah) 1-1][person:our g(lance:deborah) 7-7][person:lance m 9-9]
lance| Thats actually good to hear that they are doing good and I even missed you people a lot| [person:our g(lance:deborah) 6-6][person:lance m 11-11][person:deborah f 14-14]
deborah| Dear I am running out of time and I am sorry that i cant come to airport and recieve you| [person:deborah f 1-1][person:deborah f 8-8][person:deborah f 12-12][location:airport s 16-16][person:lance m 19-19]
lance| Thats not a big deal dear you carry on with your work We will meet at home| [person:deborah f 6-6][person:deborah f 10-10][person:our g(lance:deborah) 12-12][location:home s 16-16]
deborah| Thank you and yeah see you soon at home Have a safe journey| [person:lance m 1-1][person:lance m 5-5][location:home s 8-8]

conv:chats_1127_195:aug_0:chat_0:chataug_0| chris lisa| [person:chris m 0-0][person:lisa f 1-1]
lisa| Just help me with some idea dear| [person:lisa f 2-2]
chris| Definitely but for that you need to tell me what happened| [person:lisa f 4-4][person:chris m 8-8]
lisa| I came early to pick Carolyn from school as we have appointment with the dentist| [person:lisa f 0-0][person:carolyn f 5-5][location:school s 7-7][person:we g(lisa:carolyn) 9-9]
chris| Yeah you told me that earlier| [person:lisa f 1-1][person:chris m 3-3]
lisa| Now Carolyn is saying that she don t want to go to visit the dentist as she had her lunch in school and she didn t brush after that| [person:carolyn f 1-1][person:carolyn f 5-5][person:carolyn f 16-16][person:carolyn f 18-18][location:school s 21-21][person:carolyn f 23-23]
chris| Okay then we need to tell her something to convince her| [person:we g(lisa:chris) 2-2][person:carolyn f 6-6][person:carolyn f 10-10]
lisa| I think she wants to skip the dentist visit| [person:lisa f 0-0][person:carolyn f 2-2]
chris| This will effect her teeth that is disturbing her since two days| [person:carolyn f 3-3][person:carolyn f 8-8]
lisa| You are right I cant think of any idea to convince her| [person:chris m 0-0][person:lisa f 3-3][person:carolyn f 11-11]
chris| Just tell doctor will provide her with new brush and toothpaste She can wash her mouth there| [person:doctor u 2-2][person:carolyn f 5-5][person:carolyn f 11-11][person:carolyn f 14-14][location:there u 16-16]

conv:long_chats_0223_1:aug_0:chat_0:chataug_0| scotty tommy| [person:scotty m 0-0][person:tommy m 1-1]
scotty| Hey Tommy this weekend is going to be filled with so much fun Isn t it| [person:tommy m 1-1]
tommy| Yeah I m very excited about it because both Mackenzie and Destiny are coming| [person:tommy m 1-1][person:mackenzie f 9-9][person:destiny f 11-11]
scotty| Our girlfriends are also going to have a jolly time at the beach| [person:our g(scotty:tommy) 0-0][location:beach s 12-12]
tommy| Yes they have been waiting for this party since long| [person:they g(mackenzie:destiny) 1-1]
scotty| I hope you are going to take a day off from the office that day Aren t you| [person:scotty m 0-0][person:tommy m 2-2][location:office s 12-12][person:tommy m 17-17]
tommy| Yes I have planned for the day off because it s going to be a big day for us| [person:tommy m 1-1][person:our g(scotty:tommy) 18-18]
scotty| Great All 4 of us will be finishing our breakfast at home before leaving right| [person:our g(scotty:tommy) 4-4][person:our g(scotty:tommy) 8-8][location:home s 11-11]
tommy| Yes Scotty let s have lunch after beach What do you say| [person:scotty m 1-1][location:beach s 7-7][person:scotty m 10-10]
scotty| I m a bit unsure about the lunch dude I m in a dilemma| [person:scotty m 0-0][person:scotty m 9-9]
tommy| But why What problem do you have with the lunch Scotty| [person:scotty m 5-5][person:scotty m 10-10]
scotty| Destiny would want to have lunch before the beach as she might be hungry after coming straight from school| [person:destiny f 0-0][location:beach s 8-8][person:destiny f 10-10][location:school s 18-18]
tommy| But Mackenzie will most likely want to eat after swimming because she doesn t want to swim with a full stomach| [person:mackenzie f 1-1][person:mackenzie f 11-11]
scotty| Oh is it so What do we do then Both are just the opposite| [person:our g(scotty:tommy) 6-6]
tommy| Well then let s look into the best possible alternative|

conv:long_chats_0223_2:aug_0:chat_0:chataug_0| caitlyn henry| [person:caitlyn f 0-0][person:henry m 1-1]
caitlyn| Hey Henry Are you free next week| [person:henry m 1-1][person:henry m 3-3]
henry| Yeah are you planning for anything| [person:caitlyn f 2-2]
caitlyn| Yes I am planning to watch a concert next week| [person:caitlyn f 1-1]
caitlyn| Would you like to join me| [person:caitlyn f 1-1][person:caitlyn f 5-5]
henry| I would love to join you at the concert| [person:henry m 0-0][person:caitlyn f 5-5]
caitlyn| Okay then I will book tickets for both of us| [person:caitlyn f 2-2][person:us g(caitlyn:henry) 9-9]
henry| But I already asked my cousin Larisa and Albert Even they agreed to my offer and wants to join me| [person:henry m 1-1][person:henry m 4-4][person:larisa f 5-5][person:larisa f 6-6][person:albert m 8-8][person:they g() 10-10][person:henry m 13-13][person:henry m 19-19]
caitlyn| I won t be comfortable if they join us| [person:caitlyn f 0-0][person:they g() 6-6][person:us g(caitlyn:henry) 8-8]
henry| Wait Caitlyn let me talk with them again| [person:caitlyn f 1-1][person:caitlyn f 3-3][person:they g() 6-6]
henry| No need to worry I don t think they will join us they will most likely cancel it| [person:henry m 4-4][person:they g() 8-8][person:us g(caitlyn:henry) 11-11][person:they g() 12-12]
caitlyn| Please think of some plans so that they can cancel joining us Else I have to think something about my plan| [person:they g() 7-7][person:us g(caitlyn:henry) 11-11][person:henry m 13-13][person:henry m 19-19]
henry| Okay I can tell them that I won t be able to go there as I have some work| [person:henry m 1-1][person:they g() 4-4][person:henry m 6-6][person:henry m 15-15]
caitlyn| Okay meet you next week in concert I hope they won t join us| [person:henry m 2-2][person:caitlyn f 7-7][person:they g() 9-9][person:us g(caitlyn:henry) 13-13]
henry| Yeah sure see you at the concert| [person:caitlyn f 3-3]

conv:long_chats_0223_3:aug_0:chat_0:chataug_0| jake peter| [person:jake m 0-0][person:peter m 1-1]
jake| Hey Peter Are you excited about the rock climbing trip| [person:peter m 1-1][person:peter m 3-3][location:trip s 9-9]
peter| Yes man I have been preparing for this trip| [person:peter m 2-2][location:trip s 8-8]
