conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
derek| I mean that s not a bad idea but I think they d really enjoy some food with us Plus it would be a nice thing to pay for their meals since it s their birthday after all| [person:derek m 0-0][person:derek m 9-9][person:they g(tanya:debbie) 11-11][person:us g(derek:randy) 18-18][person:they g(tanya:debbie) 29-29][person:they g(tanya:debbie) 34-34]
randy| Sure but we could make a nice dinner at home too| [person:we g(derek:randy) 2-2]
derek| I mean that s true but they were talking about wanting to go to that restaurant a month ago too I think it d be a nice surprise| [person:derek m 0-0][person:they g(tanya:debbie) 6-6][person:derek m 20-20]
randy| Yeah but didn t they say they already went a couple weeks ago| [person:they g(tanya:debbie) 4-4][person:they g(tanya:debbie) 6-6]
derek| Ah that s right Maybe we could go to a different place| [person:we_4 g(derek:randy:tanya:debbie) 5-5]
randy| I haven t really been to any other fancy restaurants around here I was thinking about another one but it s like an hour s drive away| [person:randy m 0-0][person:randy m 12-12]
derek| Ah that s true Maybe we should just ask them what they d want to do| [person:we g(derek:randy) 5-5][person:they g(tanya:debbie) 9-9][person:they g(tanya:debbie) 11-11]
randy| Eh I think you re right Let s just see what they want Maybe they ll have a better idea than both of us| [person:randy m 1-1][person:derek m 3-3][person:they g(tanya:debbie) 11-11][person:they g(tanya:debbie) 14-14][person:us g(derek:randy) 23-23]

conv:people_0610_26:aug_0:chat_0:chataug_0| dan jason| [person:dan m 0-0][person:jason m 1-1]
jason| i understand that you think its important but the girls should have a say in what they want to do| [person:jason m 0-0][person:dan m 3-3][person:girls g() 9-9][person:girls g() 16-16]
dan| alright lets ask keira and gene what they waant and we can go from there| [person:keira f 3-3][person:gene f 5-5][person:girls g(keira:gene) 7-7][person:we g(jason:dan) 10-10][location:there u 14-14]
dan| sorry about the wait i talked to my daughter and she said both of those are important but she would prefer to be home schooled| [person:dan m 4-4][person:dan m 7-7][person:daughter f 8-8][person:daughter f 10-10][person:daughter f 18-18][location:home s 23-23]
jason| hm thats odd thats exactly what my daughter said well if thats what they think is best we can get them signed up| [person:jason m 6-6][person:daughter2 f 7-7][person:they g(daughter:daughter2) 13-13][person:we g(jason:dan) 17-17][person:they g(daughter:daughter2) 20-20]
dan| i agree but i feel like we should have rules to make sure they dont just stay home and not accomplish anythin| [person:dan m 0-0][person:dan m 3-3][person:we g(jason:dan) 6-6][person:they g(daughter:daughter2) 13-13][location:home s 17-17]
jason| right well let me know how it goes| [person:jason m 3-3]
dan| have a good day and good luck|
jason| you as well| [person:dan m 0-0]
dan| i worry how i will be able to teach her about the arts from home i mean i can have her read books about it but i cant teach her to draw| [person:dan m 0-0][person:dan m 3-3][person:daughter f 9-9][person:dan m 15-15][person:dan m 17-17][person:daughter f 20-20][person:dan m 26-26][person:daughter f 29-29]
dan| its something that we will have to work on i suppose| [person:we g(jason:dan) 3-3][person:dan m 9-9]
jason| see academics would be easier to teach from home just think about it| [location:home s 8-8]

conv:people_0610_29:aug_0:chat_0:chataug_0| pamela vince| [person:pamela f 0-0][person:vince m 1-1]
pamela| vince guess what| [person:vince m 0-0]
vince| i can not guess right now tell me| [person:vince m 0-0][person:vince m 7-7]
pamela| i won four tickets to Friday s football game| [person:pamela f 0-0]
vince| oh that is nice|
pamela| yes|
pamela| so i am inviting you| [person:pamela f 1-1][person:vince m 4-4]
pamela| let us go together| [person:us g(pamela:vince) 1-1]
vince| okay|
vince| that is nice|
vince| but since it is 4 tickets we need to invite 2 more people| [person:us g(pamela:vince) 6-6]
vince| who do you have in mind| [person:pamela f 2-2]
pamela| let us invite Karina and Kathryn to the game| [person:us g(pamela:vince) 1-1][person:karina f 3-3][person:kathryn f 5-5]
vince| that is good|
vince| they enjoy UT footbal| [person:they g(karina:kathryn) 0-0]
vince| they do not have plans for the day| [person:they g(karina:kathryn) 0-0]

conv:people_0610_30:aug_0:chat_0:chataug_0| ashley kim| [person:ashley f 0-0][person:kim f 1-1]
ashley| Hey girl What s up|
kim| Hi Nothing just waiting for this school day to be over| [location:school s 6-6]
ashley| I hear ya It s been a long day for me too| [person:ashley f 0-0][person:kim f 2-2][person:ashley f 10-10]
kim| So we re still meeting up with Dustin and Greg for the football game tonigh right| [person:we g(ashley:kim) 1-1][person:dustin m 7-7][person:greg m 9-9]
ashley| I ran into Dustin in the hallway before 7th period He can t make it| [person:ashley f 0-0][person:dustin m 3-3][person:dustin m 10-10]
kim| That s too bad Did he say why| [person:dustin m 5-5]
ashley| He has a dentist appointment after school| [person:dustin m 0-0][location:school s 6-6]
kim| That s disappointing But I m excited to support our team GO CATS| [person:kim f 4-4][person:our g(ashley:kim:dustin:greg) 9-9][person:team g() 10-10]
ashley| LOL|
ashley| Greg s going to be late so he s just going to join us at the game| [person:greg m 0-0][person:greg m 7-7][person:we g(ashley:kim) 13-13]
kim| Piano practice|
ashley| Yeah he said he had to practice for the music recital| [person:greg m 1-1][person:greg m 3-3]
kim| So I guess it ll just you and me| [person:kim f 1-1][person:ashley f 6-6][person:kim f 8-8]
ashley| Yep I ll meet you in the square after school| [person:ashley f 1-1][person:kim f 4-4][location:school s 9-9]
kim| Sounds good I ll see you soon| [person:kim f 2-2][person:ashley f 5-5]
ashley| Remember to wear your jersey| [person:kim f 3-3]
kim| Girl you know I m on top of it| [person:ashley f 1-1][person:kim f 3-3]

conv:people_0610_32:aug_0:chat_0:chataug_0| erik jaden| [person:erik m 0-0][person:jaden m 1-1]
erik| Hey Jay| [person:jaden m 1-1]
jaden| Sup|
jaden| What do you want| [person:erik m 2-2]
erik| I wanna try the day s special| [person:erik m 0-0]
jaden| Oh man No you don t| [person:erik m 3-3]
erik| Huh|
jaden| My friends Fernando and Athy had that stuff last week| [person:jaden m 0-0][person:fernando_and_athy g() 1-1][person:fernando m 2-2][person:athy f 4-4]
jaden| They couldn t finish is cause it was so bad| [person:fernando_and_athy g(fernando:athy) 0-0]
erik| Oh well then|
erik| I ll just get what ever you re getting then| [person:erik m 0-0][person:jaden m 6-6]
jaden| I don t know what I want man| [person:jaden m 0-0][person:jaden m 5-5]
erik| Ha ha|
erik| I guess we have the time though| [person:erik m 0-0][person:erik_and_jaden g(erik:jaden) 2-2]
erik| It s not like I have anything to do this afternoon| [person:erik m 4-4]

conv:people_0610_33:aug_0:chat_0:chataug_0| demmi nas| [person:demmi f 0-0][person:nas m 1-1]
nas| Hey Demmi what do you think of the political coverage on CNN| [person:demmi f 1-1][person:demmi f 4-4]
nas| I think it s boring I mean who has time to keep up with all of this stuff anyway It s tiresome| [person:nas m 0-0][person:nas m 5-5]
demmi| I think it can get tiresome but it s important for people to be informed and aware of what s going on| [person:demmi f 0-0]
nas| I just want this election cycle to be over Like just fast forward to November so we can move on with our lives What do you think| [person:nas m 0-0][person:we g(nas:demmi) 16-16][person:we g(nas:demmi) 21-21][person:demmi f 25-25]
demmi| I think it s entertaining Plus there s an element of suspense Nobody knows who s going to win| [person:demmi f 0-0]
nas| I ve talked to Paige and Connor about this yesterday and they think all politicians are frauds and deceitful people I think they have a point| [person:nas m 0-0][person:paige f 4-4][person:connor m 6-6][person:they g(paige:connor) 11-11][person:nas m 20-20][person:they g(paige:connor) 22-22]
demmi| That s not very nice Not all politicians are liars or frauds Some actually care about the people they serve| [person:politicians g() 18-18]
demmi| I ll talk to them soon about why they feel so apathetic towards news and politics It s their country too you know| [person:demmi f 0-0][person:they g(paige:connor) 4-4][person:they g(paige:connor) 8-8][person:they g(paige:connor) 18-18][location:country s 19-19][person:nas m 21-21]
nas| I just think the nonstop coverage really gets on people s nerves Like it s constantly blasted in your face and you have to pick a side It s nonsense| [person:nas m 0-0][person:nas m 18-18][person:nas m 21-21]
demmi| I understand where you re coming from but it s important for citizens to participate in a democracy It s what makes this country so great after all| [person:demmi f 0-0][person:nas m 3-3][location:country s 23-23]
nas| I think most people see it they way Paige and Connor do They don t trust the people in power or the news Fake news is a popular term for a reason It s all just political bias| [person:nas m 0-0][person:paige f 8-8][person:connor m 10-10][person:they g(paige:connor) 12-12]
demmi| I don t know why they think that I ve got to talk to them They need to understand that elections are important and affect us all| [person:demmi f 0-0][person:they g(paige:connor) 5-5][person:demmi f 8-8][person:they g(paige:connor) 14-14][person:they g(paige:connor) 15-15][person:us g(nas:demmi:paige:connor) 25-25]

conv:people_0610_34:aug_0:chat_0:chataug_0| faith madeline| [person:faith f 0-0][person:madeline f 1-1]
madeline| I m sorry Faith I m swamped here everyone else called off today Where s Bobby| [person:madeline f 0-0][person:faith f 3-3][person:madeline f 4-4][location:here u 7-7][person:everyone g() 8-8][person:bobby m 15-15]
faith| He had to go out of town to check on the new construction| [person:bobby m 0-0][location:town s 6-6]
madeline| Oh I see Well I have an idea Joshua may be able to take you Hold on I ll text him| [person:madeline f 1-1][person:madeline f 4-4][person:joshua m 8-8][person:faith f 14-14][person:madeline f 17-17][person:joshua m 20-20]
faith| OK Well I don t want to turn this into a big deal I can call someone else| [person:faith f 2-2][person:faith f 13-13][person:someone u 16-16]
madeline| No I want to help Here he is He s available What time do you need to go| [person:madeline f 1-1][location:here u 5-5][person:joshua m 6-6][person:joshua m 8-8][person:faith f 14-14]
faith| They said any time after three So if he could get here about 245 that would work| [person:they g() 0-0][person:joshua m 8-8][location:here u 11-11]
madeline| OK I m going to text him that and your address| [person:madeline f 1-1][person:joshua m 6-6][person:faith f 9-9]
faith| Well thank you for this They just said afterwords I might be dizzy and not to drive myself| [person:madeline f 2-2][person:they g() 5-5][person:faith f 9-9][person:faith f 17-17]
madeline| It s not a problem he s looking for a new job and has time One thing though you might need to give him a few dollars for gas I think things are very tight for him right now| [person:joshua m 5-5][person:faith f 18-18][person:joshua m 23-23][person:madeline f 29-29][person:joshua m 36-36]
faith| No problem at all I even have cash for him He s doing me a big favor I really don t like using Uber without Bobby| [person:faith f 4-4][person:joshua m 9-9][person:joshua m 10-10][person:faith f 13-13][person:faith f 17-17][person:bobby m 25-25]
madeline| Joshua s a good guy I know he ll take good care of you Let me know what the doctor says ok| [person:joshua m 0-0][person:madeline f 5-5][person:joshua m 7-7][person:faith f 13-13][person:madeline f 15-15][person:doctor u 19-19]
faith| I will Thanks again| [person:faith f 0-0]

conv:people_0610_35:aug_0:chat_0:chataug_0| luke veronica| [person:luke m 0-0][person:veronica f 1-1]
luke| Has Bradley picked a science fair topic yet| [person:bradley m 1-1]
veronica| No not yet|
luke| It would be good if he could pick one before he comes to stay with me so I can get whatever he needs to do the project| [person:bradley m 5-5][person:bradley m 10-10][person:luke m 15-15][person:luke m 17-17][person:bradley m 21-21]
veronica| I will ask him again tonight| [person:veronica f 0-0][person:bradley m 3-3]
luke| What will Marco need for his cooking project| [person:marco m 2-2][person:marco m 5-5]
veronica| Probably nothing you don t already have| [person:luke m 2-2]
luke| OK great tell them both I am looking forward to our time together| [person:brad_and_marco g(bradley:marco) 3-3][person:luke m 5-5][person:luke_marco_and_brad g(luke:bradley:marco) 10-10]
veronica| They are very excited to see you too| [person:brad_and_marco g(bradley:marco) 0-0][person:luke m 6-6]
luke| I will let you know when my flight lands| [person:luke m 0-0][person:veronica f 3-3][person:luke m 6-6]
veronica| Have a safe trip| [location:trip s 3-3]

conv:people_0610_37:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Heyyyyy|
rita| Yo what s good|
jane| Nm hey do you think you could drive me and John a ride to the airport| [person:rita f 3-3][person:rita f 5-5][person:jane f 8-8][person:john m 10-10][location:airport s 15-15]
rita| Uhhhh idk i am a little busy I thought you said you dad was going to| [person:rita f 2-2][person:rita f 7-7][person:jane f 9-9][person:jane f 11-11][person:dad m 12-12]
jane| Well yea but with COVID19 he got called in for an emergency shift at the hospital so he can t drive us| [person:dad m 5-5][person:dad m 17-17][person:us g(jane:john) 21-21]
rita| Damn that sucks sorry about that I can try my best to give y all a ride but I got to drop off my kid at swimming practice| [person:rita f 6-6][person:rita f 9-9][person:rita f 18-18][person:rita f 23-23]
jane| Ugh Alright but pls don t take long I know u love gossiping with the other moms| [person:jane f 8-8][person:rita f 10-10]
